"IDRSSD"	RCFD2221	RCFD3210	RCFD3792	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFDA221	RCFDB503	RCFDB504	RCFDB505	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDC227	RCFDC228	RCFDF264	RCFDL136	RCFDL137	RCFDL138	RCON2221	RCON3210	RCON3792	RCON4336	RCON5306	RCON5310	RCON5311	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCONA221	RCONB503	RCONB504	RCONB505	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONC227	RCONC228	RCONF264	RCONL136	RCONL137	RCONL138	
	UNREALIZED GAINS ON A-F-S EQUITY SEC	TOTAL EQUITY CAPITAL	TOTAL RISK-BASED CAPITAL	ACCMLTD NT GN(LOSS) ON CSH FLW HDGS	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 LEVERAGE RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	NET UNRELZD HLDG GAINS(LOSS) ON AVL	NET UNREAL LOSS ON AFS EQTY SEC	ADJSTMNT TO TOTL RSK-BASED CPTL	ADJUSTMENT TO RWA	ADJUSTMENT TO AVERAGE TOTAL ASSETS	NONQUALIFYING PERPETUAL PREFER STOCK	QUALIFYING MINORITY INT CONSOL SUBS	DISALLOWD GOODWILL&OTH INTANG ASSETS	DISALLOWD SERVICING ASSETS & PCCR'S	OTHER ADDITIONS(DEDUCT) FROM TIER1	CUMULATIVE PERPETUAL PREFERRED STOCK	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	SUBTOTAL	ADJMNT TO TIER 1 CPTL	CUMULATIVE CHANGE IN FAIR VALUE	TOTAL ASSETS FOR LEVERAGE RATIO	OTHR ADD DED FOR LEVERAGE CAP PURP	TOTAL ASSETS LEVERAGE CAPITAL PURPOS	UNREALIZED GAINS ON A-F-S EQUITY SEC	TOTAL EQUITY CAPITAL	TOTAL RISK-BASED CAPITAL	ACCMLTD NT GN(LOSS) ON CSH FLW HDGS	QUALIFYING SUBORDINATED DEBT	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	DEFRD TAX ASSETS DISALWD FOR REGLTRY	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 LEVERAGE RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	TIER 2 CPTL ALLWBL UNDR RISK-BASED	NET UNRELZD HLDG GAINS(LOSS) ON AVL	NET UNREAL LOSS ON AFS EQTY SEC	ADJSTMNT TO TOTL RSK-BASED CPTL	ADJUSTMENT TO RWA	ADJUSTMENT TO AVERAGE TOTAL ASSETS	NONQUALIFYING PERPETUAL PREFER STOCK	QUALIFYING MINORITY INT CONSOL SUBS	DISALLOWD GOODWILL&OTH INTANG ASSETS	DISALLOWD SERVICING ASSETS & PCCR'S	OTHER ADDITIONS(DEDUCT) FROM TIER1	CUMULATIVE PERPETUAL PREFERRED STOCK	OTHER TIER 2 CAPITAL COMPONENTS	DEDUCTIONS FOR TOTL RISK-BASED CAPTL	SUBTOTAL	ADJMNT TO TIER 1 CPTL	CUMULATIVE CHANGE IN FAIR VALUE	TOTAL ASSETS FOR LEVERAGE RATIO	OTHR ADD DED FOR LEVERAGE CAP PURP	TOTAL ASSETS LEVERAGE CAPITAL PURPOS	
37																																				0	19311	19238	0	0	542	542	0	0.2168	0.4484	0.4358	0.0000	0.0000	0.0000	18696	542	615	0	0	0	0	0	0	0	0	0	0	0	0	18696	0	0	86243	0	86243	
242																																				0	5125	5186	0	0	189	189	0	0.1169	0.1252	0.1207	0.0000	0.0000	0.0000	4997	189	128	0	0	0	0	0	0	0	0	0	0	0	0	4997	0	0	42759	0	42759	
279																																				0	26921	27465	0	0	733	733	0	0.1508	0.2638	0.2567	0.0000	0.0000	0.0000	26732	733	186	0	0	0	0	0	0	0	3	0	0	0	0	26735	0	0	177291	0	177288	
354																																				0	937	1006	0	0	39	39	83	0.0942	0.3371	0.3241	0.0000	0.0000	0.0000	967	39	-113	0	0	0	0	0	0	0	0	0	0	0	0	1050	0	0	10343	0	10260	
457																																				0	4540	5007	0	0	467	467	0	0.105393	0.134171	0.121657	0	0	0	4540	467	0	0	0	0	0	0	0	0	0	0	0	0	0	4540	0	0	43077	0	43077	
505																																				0	34156	38406	-3025	0	3245	3245	0	0.080447	0.155969	0.142791	0.000000	0.000000	0.000000	35161	3245	1028	0	0	0	0	0	0	978	14	0	0	0	0	35175	0	0	438062	0	437070	
1155																																				0	18763	20491	0	0	1933	1933	0	0.086116	0.132565	0.120060	0.000000	0.000000	0.000000	18558	1933	205	0	0	0	0	0	0	0	0	0	0	0	0	18558	0	0	215500	0	215500	
1351																																				0	23474	24799	0	0	1300	1300	0	0.1459	0.2364	0.2240	0.0000	0.0000	0.0000	23499	1300	-25	0	0	0	0	0	0	0	0	0	0	0	0	23499	0	0	161034	0	161034	
1454																																				9	70460	73042	0	0	2902	2911	0	0.098218	0.239168	0.229637	0.000000	0.000000	0.000000	70131	2911	329	0	0	0	0	0	0	0	0	0	0	0	0	70131	0	0	714031	0	714031	
