"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
37	0	415					103	0	42868					0			0	21839	0	0	0									
242	0	0					275	0	11309					4747			0	6598	7	0	130									
279	0	0					1292	35902	8388					16074			14900	2922	1	0	0									
354	0	0					5	0	5665					0			0	746	0	0	0									
457	0	0					136	161	398					1200			160	398	0	0	0									
505	0	0					3937	0	75884					31500			0	33529	0	0	0									
1155	0	1023					1158	79	27450					0			0	9501	0	0	8403									
1351	0	0					0	78908	2771					0			46094	0	0	0	0									
1454	0	8017					1047	0	317191					0			0	104370	33	0	0									
1557	0	0					419	0	29170					6328			0	7828	0	0	0									
1669	0	6596					915	50006	72174					0			24008	0	0	0	0									
1829	0	0					2203	0	92615					10182			0	24605	2119	0	5684									
1856	0	0					1597	0	21530					30000			0	0	0	0	0									
2040	0	0					1546	0	58666					0			0	27486	0	0	6776									
2161	0	0					823	1	27036					0			0	15635	0	0	0									
2376	0	0					45960	30628	339338					931826			0	0	0	0	0									
2554	0	0					16	0	3157					0			0	2277	0	0	0									
2732	0	0					174	0	85702					0			0	65273	0	0	0									
2750	0	0					562	0	13473					8100			0	2872	3915	0	0									
3177	0	35					6320	2778	121859					113296			2328	0	29	0	0									
3252	0	0					325	692	69120					3500			692	16973	0	0	0									
3458	0	0					188	2898	12714					0			2898	0	0	0	7150									
3720	0	0					270	304	41538					0			304	9853	0	0	3016									
3971	0	0					1994	0	86924					6026			0	0	991	0	0									
4156	0	251					2061	0	49829					15900			0	21315	0	0	2456									
4231	0	0					0	0	43910					0			0	13048	0	0	0									
4437	0	0					741	0	87759					2458			0	19196	0	0	2222									
4839	0	0					1082	0	67388					22000			0	20945	0	0	5711									
5069	0	1254					0	0	34130					0			0	15679	4673	0	0									
5135	0	4600					1289	0	25742					18749			0	3947	0	0	0									
5210	0	0					6575	94373	129111					87800			0	41522	1033	0	42252									
5461	0	1500					1988	0	137865					15000			0	56515	0	0	0									
5751	0	4403					626	0	50767					0			0	23955	0	0	0									
