"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								3941										
242								1771										
279								7437										
354								390										
457																		
505								54498	0		0	0	1689		0	200	52609	
1155								31267										
1351								4072										
1454								97425	5081		0	0	5542		0	1277	85525	
1557								5695										
1669								27354										
1829								10271	2142		0	0	2011		0	1947	4171	
1856								52129										
2040								7196										
2161								16318										
2376								18549	0		0	0	2939		0	8338	7272	
2554								3878										
2732								101429	3896		0	0	2702		0	9666	85165	
2750								1859										
3177								93116	70		0	0	7400		0	1270	84375	
3252								6544										
3458								2417										
3720								11466										
3971								44396	1070		0	0	5184		0	38112	30	
4156								6734										
4231								9234										
4437								26454										
4839								6466	1333		0	0	1940		0	2521	672	
5069								39077	705		0	0	224		0	996	37152	
5135								57561	4416		0	0	3821		0	320	49004	
5210								24008	7935		0	0	6361		0	2799	6913	
5461								17144	5231		0	0	7158		0	4627	128	
5751								4536										
6039								16885										
6141								7966										
6329								37731	273		0	0	7749		0	6832	22877	
7009								7812	281		2000	0	15		0	5491	25	
7045								7063										
7072								1343										
7157								778										
7456								4862										
7634								5999										
8033								19531										
8462								31477										
8631								11314										
9357								28860	7760		0	0	225		0	1205	19670	
9553								8556										
9807								59402	6560		0	0	5394		0	7867	39581	
9955																		
10250								35576	3715		0	0	1269		15392	0	15200	
10849								28754	77		0	0	1358		0	3530	23789	
11145								11032										
11275								79538	8742		0	0	5008		0	4073	61715	
11640								14764	238		0	0	2960		0	5313	6253	
11837								4111										
12030								46447	0		0	0	4796		0	22980	18671	
12142								12750										
12179								4920										
12245								6630										
12311	859660	573358	0	2307	0	90515	193480	859660	259501	2307			313857	90515			193480	
12647								10784										
12656								601	0		0	0	273		0	322	6	
12937								26339										
12946								12367	5619		0	0	4931		0	1710	107	
12955								23480										
13103								21458	0		0	0	3020		0	14299	4139	
13251																		
13457								5230										
14052								8058										
14155								8552										
14650								8139										
14753								6201										
14865								21193										
14977								5761										
16458								18177										
16551								5669										
16748								8683										
16944																		
16953								5052										
17110								25806										
17147								95124	0		0	0	33549		0	61575	0	
17259								5484	0		0	0	701		0	4783	0	
17464								137014	23761		0	0	18547		0	4160	90546	
17950								11794	0		0	0	2288		0	5113	4393	
17978								8553	656		0	0	2373		0	5524	0	
18050								26865	3270		0	0	3939		0	2317	17339	
18135								4739										
18377								15265										
18827								43451	3267		0	0	2044		0	13650	24490	
18836								9588										
18854								65159	6612		0	0	1775		0	20783	35989	
19356								2106										
19730								243387	17413		0	0	18008		0	3826	204140	
19936								39216										
19972								29758										
20053								1714										
20512								2922										
20633								5612	1459		0	0	1311		0	2800	42	
20857								64280										
21256								4395										
21359								10780										
21630								5110										
21658								4585										
22048								9095										
22543								21042										
22552								1675										
22730								8588										
22936								22828	0		0	0	1840		0	375	20613	
23045								3093										
23456								2615										
23504								47761	19922		0	0	16953		0	5584	5302	
23643								5318										
23755								6764										
