"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								12621										
242								4428										
279								6368										
354								431										
457								2018										
505								60286	0		0	0	1120		0	259	58907	
1155								57125										
1351								5276										
1454								90559	8699		0	0	6280		0	3868	71712	
1557								5059										
1669								30476										
1829								29695	2106		0	0	1787		0	8038	17764	
1856								26155										
2040								7807										
2161								16064										
2376								11170	0		0	0	2626		0	1325	7219	
2554								5503										
2732								90884	2151		0	0	2694		0	12064	73975	
2750								2610										
3177								153486	1330		0	0	6509		0	330	145317	
3252								8164										
3458								6521										
3720								31000										
3953								2184										
3971								101019	555		0	0	3429		0	96988	47	
4156								5109										
4231								12717										
4437								13935										
4839								6334	2080		0	0	1465		0	1092	1697	
5005								32262	1303		0	0	1391		0	2546	27022	
5069								58233	888		0	0	233		0	3083	54029	
5135								68003	0		0	0	2911		0	1860	63232	
5210								30202	6760		0	0	5094		0	1719	16629	
5331								8148	853		0	0	1015		0	3074	3206	
5461								32454	8474		0	0	6706		0	397	16877	
5751								1599										
6039								21303										
6141								7594										
6329								50050	441		0	0	6585		0	11151	31873	
7009								7650	220		2000	0	15		0	5390	25	
7045								7531										
7072								2689										
7157								638										
7456								8734										
7634								10942										
8033								8471										
8462								33447										
8631								8542										
9357								8762	5101		0	0	365		0	886	2410	
9553								8146										
9807								61076	9035		0	0	4588		0	11346	36107	
9955								14602										
10250								35751	3665		0	0	1314		9522	0	21250	
10849								24015	144		0	0	1066		0	5174	17631	
10858								30840	3766		0	0	1722		0	24114	1238	
11145								15048										
11275								44940	11209		0	0	4517		0	4513	24701	
11640								37002	155		0	0	4157		0	7670	25020	
11837								7192										
12030								35157	10		0	0	3280		0	2802	29065	
12142								16480										
12179								3929										
12245								1858										
12311	1208350	510088	0	1198	0	200133	496931	1208350	251553	1198			258535	200133			496931	
12647								23242										
12656								256	0		0	0	161		0	87	8	
12937								47395										
12946								11759	5134		0	0	4213		0	2310	102	
12955								15839										
13103								42789	0		0	0	2377		0	12620	27792	
13251								16375										
13457								1040										
14052								8569										
14155								3038										
14650								5323										
14753								4308										
14865								22930										
14977								12068										
16458								30223										
16551								10340										
16748								8846										
16944								6292										
16953								10291										
17110								17685										
17147								93449	0		0	0	21254		0	72195	0	
17259								4802	0		0	0	0		0	4802	0	
17464								136655	13013		0	0	9797		0	3111	110734	
17950								11635										
17978								17708	1397		0	0	2259		0	14052	0	
18050								23854	92		0	0	3768		0	6250	13744	
18135								9278										
18377								19115										
18827								29435	3180		0	0	2047		0	10065	14143	
18836								7168										
18854								40517										
18957								8008										
19356								2194										
19730								290157	5057		0	0	17628		0	13618	253854	
19936								57414										
19972								30201										
20053								6872										
20512								3759										
20633								7879	2805		0	0	2178		0	2870	26	
20857								26284										
21256								2219										
21359								6202										
21630								3315										
21658								14795										
22048								12883										
22356								7451	2875		0	0	3013		0	1343	220	
22543								13353										
22552								1066										
22730								12195										
22936								35287	0		0	0	1655		0	354	33278	
22954								12465										
23045								3680										
23456								2260										
23504								24057	11344		0	0	4331		0	4531	3851	
23540								32191										
23643								9266										
23755								16385										
24006								139002	5206		0	0	3308		0	3111	127377	
24378								8934										
24453								64495	547		0	0	539		0	238	63171	
24659								4545										
24668								9585										
24855								7100										
24949								100849	0		0	0	6102		0	7814	86933	
25357								3651										
25647								14433										
26176								13572	661		0	0	331		0	6391	6189	
26242								14824	0		0	0	2257		0	3818	8749	
26457								3094										
26765								18643										
26859								99558	25		0	0	2675		0	94911	1947	
27070								12310	0		0	0	605		0	11705	0	
27548								22781	107		0	0	5633		0	7680	9361	
27614								18114	6871		0	0	2232		0	2754	6257	
27847								20145	0		0	0	3292		0	5489	11364	
28013								45737	0		0	0	7903		0	14847	22987	
28152								11262										
28255								146156										
28349								10505										
28406								35833	603		0	0	1982		0	24785	8463	
28572								7582										
28675								5141										
28732								4825										
29104								78207	0		0	0	2734		0	1291	74182	
29476								8509	0		0	0	314		0	8195	0	
29636								26227	5031		0	0	7390		0	13806	0	
29878								79973	0		0	0	3424		0	46789	29760	
29953								5586										
30052								3521										
30418								5551	0		0	0	0		0	5245	306	
30502								15228	3959		0	402	3415		0	5907	1545	
30650								6264										
30810								5985088	278775		17655	0	366		575000	355848	4757444	
30874								8405	5578		0	0	2509		0	59	259	
31134								34157										
31255								29057	4189		0	0	1682		0	784	22402	
31657								2285										
31826								31152										
31835								3568										
32234								25041										
32766								14052										
32971								24887										
33147								60894	1629		0	0	1881		0	245	57139	
33259								43538	1		0	0	1291		0	4874	37372	
33268								3260	1384		0	0	977		426	0	473	
33370								3257										
33754								4725										
33839								10020	0		0	0	241		0	9779	0	
33857								3733										
34153								101598	3382		0	0	3971		0	1655	92590	
34359								3364										
34425								21523	0		0	0	1683		0	3285	16555	
34434								9845										
34452								4955										
34537								272034	0		0	0	8382		0	5662	257990	
34555								10139										
34742								12174	0		0	0	1563		0	2750	7861	
34836								2874										
35057								3502	0		0	0	1099		2403	0	0	
35301	27503328	73130	126927	16832781	0	69418	10401072	10532183	61692	0			1	69418			10401072	
35570								84427	49317		0	34	16595		0	8298	10183	
35646								9754										
35842								11711										
35879								11562										
36054								336151	10284		0	0	2192		0	35725	287950	
36456								12802										
36858								9899										
36933								14991										
37051								8089										
37341								2014										
37378								31327										
37435								128213	53		0	0	9220		0	12260	106680	
37640								117224	0		0	0	8093		0	32119	77012	
37659								1614										
37743								6145										
37949								14144										
38535								65574	4351		0	0	1962		0	1123	58138	
38740								29058										
39327								32488	3885		0	0	3964		0	23331	1308	
39420								44112	8202		0	0	9274		0	25971	665	
39475								298876	25165		0	0	16368		0	2590	254753	
39756								52393	8327		0	0	2454		0	2238	39374	
40033								5416										
40350								8293										
40707								57809										
40855								5461										
41245								5208										
41553								8119										
41629								13741										
41759								4719										
41825								9656										
41937								3450										
41955								2210										
42037								8155										
42055								2492										
42354								4203										
42372								11348	0		0	0	542		6776	0	4030	
42420								80991	40823		0	0	32777		0	1128	6263	
42448								97117	393		0	0	4086		0	191	92447	
42457								3367										
42671								293452	2424		0	0	1757		0	2379	286892	
43052								4559										
43351								2279										
43454								2849										
43744								11576										
43856								12915										
43959								12096										
44040								30832										
44433								5449	0		0	0	691		0	2605	2153	
44741								41272	0		0	0	3173		0	639	37460	
44750								8136										
44929								8467										
45038								6544										
45047								16091										
