"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
37	5717	0	2670	6500	0	13766	0	0	0	0	0	53029	0	475		30153	1984	4825	15568	0	4066	11502	13905	680	2442	6763	5653	316	11096	52554	0	0	719	0	14858	316	0	0	9205	0	0	
242	3719	0	310	5360	0	10077	0	0	0	0	0	15932	0	1253		6814	2744	1937	4450	0	1378	3072	1881	483	142	1484	829	200	9767	14679	0	0	247	0	2655	0	0	0	1626	0	0	
279	17359	0	0	7350	0	20905	0	0	0	0	0	85673	0	0		35524	2149	12178	26812	0	9077	17735	7480	1232	8430	14068	7381	761	20905	85673	0	0	4120	0	29288	1352	0	0	21145	1352	0	
354	1263	0	125	2541	0	2541	0	0	0	0	0	6913	0	1723		3139	1277	0	3139	0	630	2509	0	0	1035	200	0	0	2416	5190	0	0	0	0	1235	0	0	0	1235	0	0	
457	3582	0	207	3388	0	5990	0	0	0	0	0	24048	0	1426		10180	6724	2363	7910	0	2004	5906	1812	458	1315	1639	100	508	5783	22622	0	0	459	0	3059	503	0	0	2701	253	0	
505	106435	1	3825	16483	0	29884	0	0	123	1219	0	289401	0	73660		42396	113599	8324	35557	123	8573	26984	5049	1790	10745	13295	1944	987	26058	215741	0	0	2356	1096	18505	8466	1096	0	15848	8192	0	
1155	565	0	1193	14898	0	72527	0	0	0	0	0	97958	0	4260		53128	12107	14793	33020	0	28076	15682	5926	3444	16123	10935	2974	2126	71330	93448	4	250	5982	0	25079	7079	0	0	16623	4876	0	
1351	4047	0	5486	13424	0	23412	0	0	0	0	0	112796	0	4708		50023	20329	9537	40148	0	10272	29876	9875	0	9028	23026	6343	0	17926	108088	0	0	3573	0	29671	8726	0	0	24389	7665	0	
1454	1208	0	9589	128731	0	228478	0	0	0	0	0	253933	621	28970		52122	136458	24036	34570	0	16694	20048	7968	7412	39035	14424	6540	4146	218889	224342	0	0	7123	0	21673	42472	0	0	15574	15208	0	
1557	4611	0	2054	13004	0	20015	0	0	0	0	0	28298	0	3431		12155	2847	1964	8866	0	3365	5501	2348	941	3561	2705	1285	1134	17961	23122	0	1745	250	0	4530	4155	0	0	2569	2600	0	
1669	15172	1	19826	38102	0	89568	0	0	0	0	0	108495	0	365		48976	15618	11866	37773	0	16006	22802	7449	2719	11715	9514	6253	1247	69599	108090	142	40	2306	0	21116	7613	0	0	15243	0	0	
1829	44276	0	197	71799	0	89946	0	0	1224	2553	0	248594	0	6950		77221	86719	23387	35613	1000	12115	23498	20113	21495	9282	8895	10824	11377	89749	241483	0	161	8957	1029	25686	14692	347	0	8734	9443	0	
