"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
37	0	0					130	0	39323					0			0	19240	0	0	0									
242	0	0					242	0	8576					4297			0	7071	1	0	0									
279	0	0					1235	43458	9075					10140			12015	2891	1	0	0									
354	0	0					0	0	5353					0			0	590	0	0	0									
457	0	0					196	167	460					2500			165	460	0	0	0									
505	0	0					4583	0	81374					45500			0	35606	0	0	0									
1155	0	1552					1155	97	26232					0			0	8181	0	0	6713									
1351	0	0					0	82026	5584					0			46770	0	0	0	0									
1454	0	8083					1077	0	293560					0			0	97967	26	0	0									
1557	0	0					147	17454	2581					1723			17454	649	0	0	0									
1669	0	8227					913	49627	72552					0			20029	0	0	0	0									
1829	0	0					1602	0	77696					13962			0	15855	1713	0	3506									
1856	0	0					1525	0	7773					30000			0	0	0	0	0									
2040	0	0					1546	0	45349					0			0	24813	0	0	6577									
2161	0	0					811	1	42480					0			0	18570	0	0	0									
2376	0	0					44919	33974	398777					921958			0	0	0	0	0									
2554	0	0					0	0	2888					0			0	1960	48	0	0									
2732	0	0					174	0	81421					0			0	63214	0	0	0									
2750	0	0					551	0	12736					5900			0	3755	0	0	0									
3177	0	69					6390	9785	102413					113622			9143	0	13	0	0									
3252	0	0					323	727	75450					3500			727	17193	0	0	0									
3458	0	0					187	2611	8124					0			2611	0	0	0	3850									
3720	0	0					333	1380	36319					0			1380	10536	0	0	1161									
3971	0	0					2701	0	84831					20138			0	0	523	0	0									
4156	0	1004					2035	0	51187					10000			0	24792	0	0	2820									
4231	0	0					0	0	34775					0			0	9909	0	0	0									
4437	0	0					795	0	93952					2734			0	22071	0	0	2410									
4839	0	0					996	0	76120					19000			0	22859	0	0	7205									
5005	0	0					4425	22791	63894					49178			0	0	0	0	0									
5069	0	1292					0	0	34613					0			0	15310	5053	0	0									
5135	0	0					1226	0	26618					15041			0	3440	0	0	0									
5210	0	0					5032	50159	165010					58000			0	51804	1096	0	47303									
5461	0	500					1959	0	99684					15000			0	48416	0	0	0									
