"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
37	6400	0	3555	9688	0	17902	0	0	0	0	0	50346	0	318		27125	2914	4603	18405	0	4115	14290	7636	1084	2155	8021	3510	220	14347	50028	0	0	463	0	13574	332	0	0	10176	0	0	
242	4993	0	325	6669	0	13490	0	0	0	0	0	16887	0	2335		5818	3176	1771	4105	0	1715	2401	1359	343	316	2069	207	308	13165	14552	0	0	256	0	1650	1250	0	0	1135	1250	0	
279	20450	0	0	7939	0	24328	0	0	0	0	0	89406	0	0		31808	3240	12628	22017	0	5905	16112	8553	1238	6492	14180	11842	1395	24328	89406	0	0	4606	0	29680	4229	0	0	18296	2376	0	
354	1803	0	96	3361	0	3361	0	0	0	0	0	6563	0	1097		2582	1394	0	2582	0	617	1965	0	0	307	475	0	0	3265	5466	0	0	0	0	782	0	0	0	782	0	0	
457	4834	0	299	4930	0	8115	0	0	0	0	0	27467	0	1559		9205	10702	2415	7141	0	1300	5841	1712	352	200	1620	636	270	7816	25908	0	0	455	0	2726	0	0	0	1820	0	0	
505	136927	0	6959	12839	0	28820	0	0	147	611	0	306146	0	93666		31358	123405	6816	25741	76	9996	15745	5229	388	5243	6534	2553	126	21861	212480	0	0	1667	464	10865	3591	228	0	8186	3591	0	
1155	677	2	4336	20721	0	106589	0	0	0	0	0	81574	0	1865		44563	8833	13777	27370	0	24376	11750	6300	2137	17117	6106	2817	1461	102203	79459	48	250	5345	0	19987	7514	0	0	12838	5684	0	
1351	4563	0	9714	15431	0	29548	0	0	0	0	0	116216	0	6193		49010	18212	10128	37513	0	11943	25570	11496	0	10855	24201	9375	0	19834	110023	0	0	3928	0	33543	10888	0	0	27579	7477	0	
1454	1116	0	12138	159329	0	279027	0	0	0	0	0	288665	680	24717		48610	184098	24305	28157	0	14539	16486	12633	4952	34327	9473	7772	3269	266889	263268	0	0	6834	0	19870	34971	0	0	20360	0	0	
1557	9597	0	5068	25731	0	37521	0	0	0	0	0	28542	0	2079		11098	2706	1865	7339	0	2048	5291	3118	641	1865	1728	1548	0	32453	21507	0	4956	242	0	3549	1592	0	0	2152	830	0	
1669	19564	9	18764	46096	0	100415	0	0	0	0	0	109649	0	357		40977	26529	11051	31667	0	11673	21055	5607	2642	4008	10598	6077	1896	81546	109252	96	40	2060	0	18449	4130	0	0	12584	0	0	
1829	47492	0	5	87135	0	108591	0	0	237	597	0	236329	0	2539		66519	84701	21994	29740	237	8373	21367	21491	15288	7218	10393	8534	11472	108586	233714	0	76	8008	360	25939	11678	360	0	10718	6705	0	
1856	1154	0	780	3076	0	5132	0	0	36313	36313	0	63978	0	539		60796	1928	0	19025	14211	6020	13005	25622	16148	0	0	100	0	4352	45264	0	18175	0	0	100	0	0	0	0	0	18424	
2040	13423	6	4442	16807	0	42868	0	0	31319	49331	0	132058	0	6535		46463	63224	6483	9402	6757	3864	5538	21293	15769	3225	2434	1860	1428	38420	125046	0	477	1640	18012	7249	1698	17658	0	3020	881	0	
2161	19854	0	10106	24614	0	57991	0	0	0	0	0	62469	0	10929		12664	5631	7463	10873	0	3036	7837	1350	441	13105	10238	669	308	47885	51540	0	0	187	0	10017	14303	0	0	9291	14052	0	
2376	416676	0	8328	20606	0	53119	0	0	22888	22888	0	1335340	0	80228		309474	428423	71700	219551	0	79566	142750	62358	24800	51934	83204	43187	2442	44791	1255112	0	0	22929	0	145504	35263	0	0	106954	25428	0	
2554	2088	0	150	81	0	5313	0	0	0	0	0	5795	38	676		3106	0	1	2601	0	592	2009	293	211	0	601	0	0	5163	5081	0	0	0	0	601	0	0	0	601	0	0	
2732	53747	0	12146	85950	0	144477	0	0	0	0	0	314288	0	11259		48844	67661	15232	37924	0	12879	25502	9423	1040	89287	46713	7247	789	132331	303029	0	0	5039	0	44055	99981	0	0	36585	99414	0	
2750	11391	0	1678	6548	0	16505	0	0	0	0	0	30381	0	6028		11390	770	1783	8236	0	3128	5647	2471	144	2025	1839	2866	100	14827	24013	0	340	258	0	5065	1765	0	0	2658	1103	0	
