"IDRSSD"	RCFDJJ04	RCFDJJ05	RCFDJJ06	RCFDJJ07	RCFDJJ08	RCFDJJ09	RCFDJJ11	RCFDJJ12	RCFDJJ13	RCFDJJ14	RCFDJJ15	RCFDJJ16	RCFDJJ17	RCFDJJ18	RCFDJJ19	RCFDJJ20	RCFDJJ21	RCFDJJ23	RCFDJJ24	RCFDJJ25	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
204237																																									
204826																																									
205243																																									
205346																																									
205458																																									
205542																																									
206156																																									
206174																																									
206473																																									
206772																																									
206950																																									
207041																																									
207050																																									
207452																																									
207470																																									
207555																																									
207845																					51631	350085	216542	222703	1985	8997	851943	380	4379	2977	2039	78	418	32	10303						
207872																																									
207957																																									
208057																																									
208244	850743	4459827	2332873	4439994	0	1532279	13615716	11331	62655	14244	33033	0	7131	0	128394	0	0	0	0	0																					
208347																																									
208440																																									
208459																																									
208570																																									
208655																																									
208972																																									
209148																																									
209362																																									
209447																																									
209559																																									
209858																																									
210238																																									
210256																																									
210434	515619	2982943	6792865	23151769	0	274578	33717774	10629	44118	44699	110241	0	491	0	210178	0	4674	0	1822	6496																					
210779																																									
211114																																									
211271																																									
211338																																									
211851																																									
212018																																									
212335																																									
212344																																									
212465	0	0	37648825	47695922	0	0	85344747	0	0	520344	915576	0	0	0	1435920	0	0	0	0	0																					
