"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	8948	0	6445	15137	0	26194	0	0	0	0	33952	0	595		16402	2356	2699	19749	33357	0	0	221	0	0	2263	8258	7373	3633	10521	0	868	0	253	5125	1121	0	0	868	0	true							
242	5610	0	621	8301	0	13968	0	0	0	0	19828	0	3938		4558	4219	1542	13347	15890	0	0	131	0	0	1554	1899	1309	1316	3453	262	3408	251	0	1520	3921	0	0	3670	0	true							
279	44358	0	0	24975	0	65691	0	0	0	0	135144	0	0		31668	10647	14159	65691	135144	0	0	5586	0	0	12227	32569	26475	2189	44796	1715	1900	3065	0	41791	6679	0	0	3615	1493	true							
354	2267	0	103	3652	0	3652	0	0	0	0	6652	300	1036		1669	1018	0	3549	5316	0	0	0	0	0	630	2158	28	0	2788	0	552	0	0	1146	552	0	0	552	0	false							
457	6622	0	416	7228	0	10367	0	0	2788	0	29990	0	2793		8823	10448	2063	9951	23417	0	3780	843	2788	2788	1635	8317	1660	1037	9933	0	273	0	0	3824	273	0	0	273	992	true							
505	222742	1	11927	34096	0	53956	0	0	0	0	389101	0	109267		19533	126950	4486	42028	279834	0	0	1264	0	0	9930	12389	8492	918	22186	1786	3589	2303	0	12196	7679	0	0	5375	0	false							
1155	839	0	8824	35027	0	143486	0	0	0	0	79781	0	5205		29425	23241	8046	133908	74576	754	0	2618	0	0	13498	16704	13483	1277	25722	2977	3494	4267	0	15537	10738	3565	0	6471	0	true							
1351	6463	0	8741	19891	0	35402	0	0	0	0	99446	0	6065		36243	23342	8854	26661	93381	0	0	4019	0	0	10214	31533	17524	0	41747	4209	2952	3210	0	23027	10371	0	0	7161	0	false							
1454	688	0	16442	189255	0	336795	0	0	0	0	323487	614	37019		36363	235898	25806	320353	285854	0	0	8578	0	0	19820	17647	12107	3537	30574	24935	6142	1774	938	16748	33789	0	0	9073	0	true							
1669	30687	1	26961	67336	0	143610	0	0	0	0	97186	0	355		24972	21248	9364	116569	96791	79	40	2379	0	0	8598	17904	9400	3177	25444	1283	2685	1861	342	14108	6171	0	0	3968	0	false							
1856	1250	0	647	3384	0	5545	0	0	2550	0	58165	0	580		8152	24559	0	4898	38598	0	18987	0	2550	0	4065	11910	10195	1583	15975	513	4090	0	0	19600	4603	0	0	4578	13604	false							
2040	16659	3	2211	20858	0	57710	0	0	12001	0	93807	0	2336		22209	41999	3851	55496	91471	0	0	907	12001	2662	4091	8341	17401	593	12432	2000	1104	1620	0	8215	4724	21786	0	3104	0	true							
2161	27577	0	1775	40965	0	81395	0	0	0	0	63498	0	657		9902	8796	6833	79620	62841	0	0	0	0	0	2799	13930	2783	370	16729	1747	4713	784	0	9980	7244	0	0	6460	0	true							
2376	881310	0	66155	34135	0	191489	0	0	462440	0	2741786	0	423727		441354	618145	122754	122634	2207805	2700	110254	46875	462440	462440	308703	390831	297879	17532	696608	78917	81504	63950	3015	573590	227386	0	0	160113	93637	true	11887	15695	203220	266662	492836	107985	
2554	2776	0	272	58	0	6003	0	0	0	0	6348	0	957		2972	0	0	5731	5391	0	0	0	0	0	571	2053	402	46	2624	500	0	0	0	100	500	0	0	500	0	false							
