"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							2193	1200	0	0	49255	0	383	50	775	85585	65566	201	65767	0	1013	0	0	0	19818	1200	85585	0	0	14602	0	0	3500	0	13514	52051			0	32742	31729	516	0	0	0	0	19818	
242																																							1074	972	0	0	11670	0	267	0	526	40232	29449	16	34988	0	197	0	5523	0	5244	120	40232	0	0	4812	0	0	120	0	6929	22520			0	25440	25243	192	480	0	0	0	5244	
279																																							5436	1964	30	27413	7233	0	5488	0	6991	199255	139867	929	171840	0	864	0	31044	0	27415	1	199255	0	0	27259	0	0	0	0	10873	128994			0	143445	142581	155	2119	0	0	0	27415	
354																																							200	58	0	0	5667	0	64	0	127	9154	7812	2	8157	0	186	0	0	0	997	25	9154	0	0	491	0	0	500	0	2377	5435			0	3224	3038	-19	0	0	343	0	997	
457																																							3047	597	0	153	281	0	300	66	1321	46871	38973	103	42476	0	491	0	3400	0	4395	60	46871	0	0	392	0	0	3940	0	8076	30897			0	41460	40969	3	137	0	0	0	4395	
505																																							47973	1663	115	0	71572	0	10433	1289	12119	430259	380264	4373	395137	54	4228	1595	10500	0	35068	6480	430259	0	0	19916	0	0	10653	0	81693	298571			0	287728	283500	-1981	0	0	0	0	35122	
1155																																							15621	3568	0	47	30745	0	4108	2803	5532	206528	175345	2069	187317	0	2306	0	0	0	19211	1600	206528	0	0	12430	0	0	4900	64	27455	147890			0	146346	144040	281	0	0	0	9903	19211	
1351																																							0	1945	0	65808	2576	0	1761	430	1304	154260	129025	510	129535	0	1296	0	0	0	24725	240	154260	0	0	23952	0	0	530	0	16140	112885			0	81732	80436	3	0	0	0	0	24725	
1454																																							136077	11670	0	0	338290	0	4840	0	11123	750332	673179	1533	674712	0	2897	0	0	0	75620	1000	750332	0	0	71196	0	0	1214	488	178813	494366			0	250741	247844	2210	0	0	0	0	75620	
