"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONJ448	RCONJ449	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
6329																CONF				846	728	4537	15680	576	3214	0	0	0	0	0	2492	0	0	0	CONF	2180	0	2529				
6972																CONF				0	4933	0	19748	0	4594	0	0	0	0	0	3674	0	0	0	CONF	0	0	6547				
7009																CONF				0	0	225	10663	0	7254	5250	0	0	0	0	3184	0	0	0	CONF	0	0	0	Receivables			
7045																CONF				0	261	0	1866	126	591	0	0	0	0	0	1014	0	0	0	CONF	0	0	0				
7157																CONF				0	23	0	586	0	194	76	0	0	0	0	369	0	0	0	CONF	0	0	0	Lease Contracts Receivable			
7456																CONF				0	322	0	1060	0	290	130	0	0	0	0	448	0	0	0	CONF	0	0	0	Prepaid Health Insurance			
7634																CONF				0	250	0	757	153	220	0	0	0	0	0	287	0	0	0	CONF	0	0	0				
8033																CONF				0	1288	0	3788	37	295	25	52	0	0	0	1219	0	0	0	CONF	986	0	0	ATM/CHECK CARD SUSPENSE	OTHER ASSETS		
8462																CONF				0	21	0	999	0	322	0	0	0	0	0	656	0	0	0	CONF	0	0	0				
8631																CONF				6	138	122	2642	83	246	0	0	0	0	0	168	0	0	0	CONF	1968	0	0				
9357																CONF				0	4044	0	6138	0	939	0	0	0	0	0	1155	0	0	0	CONF	0	0	0				
9553																CONF				0	938	0	4573	287	886	452	0	0	0	0	1837	0	0	0	CONF	912	0	0	Nebraska Fund XV Investment			
9807																CONF				0	18071	0	120913	155	10386	8488	1500	0	0	0	9429	0	0	0	CONF	0	83027	0	Settlement Claim	Performance Bond		
9955																CONF				0	1044	0	2337	0	282	0	0	0	0	0	1011	0	0	0	CONF	0	0	0				
10250																CONF				86	991	9953	13218	366	759	221	0	0	0	0	1253	0	0	0	CONF	262	0	0	Computer Software			
10849																CONF				0	1667	1226	6354	135	1579	0	0	0	0	0	875	669	0	0	CONF	1007	0	0				
10858																CONF				0	1449	0	5644	0	1856	0	0	0	0	0	2339	0	0	0	CONF	0	0	0				
11145																CONF				293	1497	220	6331	77	906	0	0	0	0	0	451	0	0	0	CONF	1104	0	2153				
11640																CONF				0	2597	0	13365	301	1097	0	0	0	0	0	2661	0	0	0	CONF	7010	0	0				
11837																CONF				0	503	434	1985	0	410	130	0	0	0	0	638	0	0	0	CONF	0	0	0	State Income Tax Receivable			
12030																CONF				0	3863	2302	10137	227	1246	0	0	0	0	0	2261	0	0	0	CONF	465	0	0				
12142																CONF				133	741	0	3657	216	1811	0	0	0	0	0	1105	0	0	0	CONF	0	0	0				
12245																CONF				0	416	0	1321	198	480	0	0	0	0	0	425	0	0	0	CONF	0	0	0				
12311	0	286515	397256	3104958	0	753776	0	0	0	0	0	163184	0	0	0	CONF	278087	470777	755363		286515														CONF							
12647																CONF				0	310	0	1245	0	362	0	0	0	0	0	573	0	0	0	CONF	0	0	0	12			
12656																CONF				0	29	30	267	56	92	0	0	0	0	0	116	0	0	0	CONF	0	0	0				
12937																CONF				0	864	0	2077	192	529	0	0	0	0	0	684	0	0	0	CONF	0	0	0				
12946																CONF				0	2097	0	19443	0	2312	0	0	0	0	0	3722	0	0	0	CONF	1085	10227	0				
12955																CONF				0	453	0	1278	454	454	0	0	0	0	0	371	0	0	0	CONF	0	0	0				
13103																CONF				0	12036	8536	34625	0	5235	0	0	0	0	0	3555	0	0	0	CONF	5263	0	0				
13251																CONF				0	195	0	871	20	98	0	0	0	0	0	257	0	0	0	CONF	321	0	0				
13457																CONF				0	0	0	1740	26	26	0	0	0	0	0	398	0	0	0	CONF	1316	0	0				
14052																CONF				0	247	202	2360	83	324	0	0	0	0	0	224	0	0	0	CONF	1025	338	0				
14155																CONF				5	646	0	4918	306	538	0	0	0	0	0	1058	0	0	0	CONF	2676	0	0				
14650																CONF				0	68	102	1656	57	111	0	0	0	0	0	109	0	0	0	CONF	1266	0	0				
14753																CONF				0	9	0	541	0	109	0	0	0	0	0	423	0	0	0	CONF	0	0	0				
14865																CONF				0	560	909	9788	353	1692	0	0	0	0	0	2475	0	0	0	CONF	0	0	4152				
14977																CONF				0	208	46	803	28	119	0	0	0	0	0	290	0	0	0	CONF	0	140	0				
16458																CONF				0	781	0	2830	187	685	0	0	0	0	0	1364	0	0	0	CONF	0	0	0				
16551																CONF				0	2169	501	7002	165	1048	0	0	0	0	0	1168	0	0	0	CONF	2116	0	0				
16748																CONF				0	277	0	2342	0	176	0	0	0	0	0	431	0	0	0	CONF	1458	0	0				
16944																CONF				7	0	0	376	44	136	0	0	0	0	0	240	0	0	0	CONF	0	0	0				
16953																CONF				0	0	0	409	10	69	0	0	0	0	0	340	0	0	0	CONF	0	0	0				
17110																CONF				0	219	0	2828	0	2517	1128	0	0	0	0	92	0	0	0	CONF	0	0	0	INVESTMENT ADVISORY/TRUSTEE FEES RECEIVABLE			
17147																CONF				0	31270	24464	215956	12214	19056	0	0	0	0	0	17714	5241	0	0	CONF	57427	60877	5148				
17259																CONF				20	372	0	2589	117	271	0	0	0	0	0	386	0	0	0	CONF	1560	0	0				
17464																CONF				0	10472	0	53730	3692	5336	0	0	0	0	0	3416	0	0	0	CONF	7919	26587	0				
17950																CONF				15	1007	0	4325	118	569	0	0	0	0	0	2271	0	0	0	CONF	0	0	478				
18050																CONF				0	717	0	3361	289	926	0	0	0	0	0	1718	0	0	0	CONF	0	0	0				
18135																CONF				0	1501	0	7758	241	766	0	0	0	0	0	1024	0	0	0	CONF	4467	0	0				
18377																CONF				0	114	19	389	20	144	31	0	0	0	0	112	0	0	0	CONF	0	0	0	Delayed Principal Payments on MBS			
18827																CONF				0	900	1207	4523	431	1097	0	0	0	0	0	1319	0	0	0	CONF	0	0	0		0		
18836																CONF				0	747	974	6367	0	1007	263	0	0	0	0	644	0	0	0	CONF	2995	0	0	PREPAID EFT RECEIVABLE			
18854																CONF				0	680	0	3127	0	751	241	68	147	0	0	1696	0	0	0	CONF	0	0	0	CORE DEPOSITS	CDAR RATE BRIDGE	MORTGAGE SER FEES	
18957																CONF				0	260	0	420	0	29	0	0	0	0	0	131	0	0	0	CONF	0	0	0				
19356																CONF				0	162	0	1313	84	312	0	0	0	0	0	469	0	0	0	CONF	370	0	0				
19730																CONF				0	18195	33686	118545	0	16307	0	0	0	0	0	6236	0	0	0	CONF	40525	0	3596				
19936																CONF				0	491	678	5745	182	1312	0	0	0	0	0	1211	0	0	0	CONF	0	2053	0				
19972																CONF				0	166	286	3311	0	133	0	0	0	0	0	204	0	0	0	CONF	2522	0	0				
20053																CONF				0	503	595	1556	64	64	0	0	0	0	0	394	0	0	0	CONF	0	0	0				
20512																CONF				0	830	993	5133	0	2788	0	0	0	0	0	522	0	0	0	CONF	0	0	0				
20633																CONF				0	1380	458	10557	380	1207	0	0	0	0	0	946	0	0	0	CONF	6566	0	0				
20857																CONF				0	1169	0	3421	40	218	0	0	0	0	0	1797	0	0	0	CONF	237	0	0				
21256																CONF				0	87	0	644	0	16	0	0	0	0	0	32	0	0	0	CONF	509	0	0				
21359																CONF				0	164	0	669	21	111	41	0	0	0	0	289	0	0	0	CONF	105	0	0	Other Misc Assets			
21630																CONF				0	353	0	894	44	191	0	0	0	0	0	350	0	0	0	CONF	0	0	0				
21658																CONF				88	442	0	4004	73	401	0	0	0	0	0	764	0	0	0	CONF	2397	0	0				
22048																CONF				5	818	0	7951	257	2266	1175	0	0	0	0	1053	0	0	0	CONF	3814	0	0	Note Rec ZM Irrevocable Trust			
22356																CONF				0	3186	0	10193	102	714	249	233	0	0	0	2741	0	0	0	CONF	3552	0	0	Computer Software	Income Tax Recievable		
22543																CONF				0	195	337	1105	0	343	0	0	0	0	0	230	0	0	0	CONF	0	0	0				
22552																CONF				0	271	0	1532	45	311	0	0	0	0	0	950	0	0	0	CONF	0	0	0				
22730																CONF				0	307	0	2845	136	448	0	0	0	0	0	451	0	0	0	CONF	1639	0	0				
22936																CONF				0	754	0	2737	300	485	147	0	0	0	0	1433	0	0	0	CONF	0	65	0	Taxes Receivable			
22954																CONF				0	1285	233	3268	0	245	0	0	0	0	0	803	0	0	0	CONF	702	0	0				
23045																CONF				0	208	0	414	0	38	0	0	0	0	0	168	0	0	0	CONF	0	0	0				
23456																CONF				10	431	0	1725	36	524	303	0	0	0	0	770	0	0	0	CONF	0	0	0	Guaranteed Loan Receivables			
23504																CONF				0	1660	1068	13119	2513	5451	0	0	0	0	0	4940	0	0	0	CONF	0	0	0				
23540																CONF				0	625	0	2270	0	851	0	0	0	0	0	794	0	0	0	CONF	0	0	0				
23643																CONF				0	267	0	1867	152	642	0	0	0	0	0	958	0	0	0	CONF	0	0	0				
23755																CONF				0	798	0	2298	822	1097	0	0	0	0	0	403	0	0	0	CONF	0	0	0				
24006																CONF				0	1158	4537	12067	792	3411	0	0	0	0	0	2961	0	0	0	CONF	0	0	0				
24453																CONF				322	3150	0	4925	349	1146	301	0	0	0	0	629	0	0	0	CONF	0	0	0	purchased computer software			
24659																CONF				0	0	0	387	0	64	0	0	0	0	0	323	0	0	0	CONF	0	0	0				
24668																CONF				167	548	19	3194	356	1262	0	0	0	0	0	1365	0	0	0	CONF	0	0	0				
24855																CONF				0	29	0	274	0	42	0	0	0	0	0	78	0	0	0	CONF	125	0	0				
24949																CONF				0	3167	5927	17854	0	3286	0	0	0	0	0	2273	0	0	2711	CONF	3201	0	0				
25357																CONF				0	3976	0	5248	674	932	240	1	17	0	0	340	0	0	0	CONF	0	0	0	Interest on Investments	Lease Purchase	Non Post DDa	
25647																CONF				0	0	0	296	28	74	0	0	0	0	0	222	0	0	0	CONF	0	0	0				
26176																CONF				0	4089	850	14573	0	5331	3041	0	0	0	0	1694	0	0	0	CONF	0	0	2609	ACCRUED INCOME TAX DEBIT BALANCE			
26242																CONF				0	1993	0	16834	510	1397	0	0	0	0	0	2065	0	0	0	CONF	11379	0	0				
26457																CONF				0	0	0	248	0	47	1	0	0	0	0	201	0	0	0	CONF	0	0	0	211800 DDA unposted			
26765																CONF				0	2205	203	3866	0	877	0	0	0	0	0	581	0	0	0	CONF	0	0	0				
26859																CONF				0	797	4060	10474	0	4878	3076	0	0	0	0	739	0	0	0	CONF	0	0	0	accounts receivable-usda			
27548																CONF				175	4114	830	18588	470	2960	0	0	0	0	0	1964	0	0	0	CONF	8720	0	0				
27614																CONF				0	1606	0	10435	0	975	0	0	0	0	0	1334	0	0	0	CONF	6520	0	0				
27847																CONF				0	1976	0	12998	212	1253	0	0	0	0	0	2553	0	0	0	CONF	3535	0	3681				
28152																CONF				0	471	0	1846	0	112	0	0	0	0	0	265	0	0	0	CONF	998	0	0				
28255																CONF				0	562	22	2238	0	966	0	0	0	0	0	688	0	0	0	CONF	0	0	0				
28349																CONF				120	1317	0	2786	224	703	0	0	0	0	0	766	0	0	0	CONF	0	0	0				
28406																CONF				0	13149	0	58904	0	7944	0	0	0	0	0	5891	0	0	0	CONF	31920	0	0				
28572																CONF				0	1122	0	1316	28	53	0	0	0	0	0	141	0	0	0	CONF	0	0	0				
28732																CONF				0	218	579	3062	111	307	0	0	0	0	0	426	0	0	0	CONF	1532	0	0				
29104																CONF				0	9233	11099	58393	638	2899	0	0	0	0	0	6219	0	0	0	CONF	20045	0	8898				
29636																CONF				0	3882	895	32664	0	3060	0	0	0	0	0	4445	0	0	0	CONF	17388	2994	0				
29953																CONF				0	1767	0	2623	0	371	0	0	0	0	0	457	0	0	0	CONF	28	0	0				
30052																CONF				0	111	0	274	31	104	31	12	0	0	0	59	0	0	0	CONF	0	0	0	Software and Art	Account Receivables		
