"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37		0	54																																	5	0	2152								
242		0	102																																	0	0	2746								
279		8955	714																																	2062	0	2104								
354		694	0																																	361	0	303								
457		526	314																																	3331	0	2922								
505		8304	22936																																	23318	1056	14203								
1155		1508	6138																																	19769	0	10707								
1351		606	204																																	3724	0	762								
1454		297	4801																																	8508	0	25555								
1669		963	3800																																	3119	0	354								
1856		0	4025																																	4557	0	2710								
2040		35	3024																																	4796	0	6781								
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																5131	0	3014								
2376	177000	0	83829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2084	0	2993								
2554		0	0																																	0	0	1990								
2732		6029	34070																																	38906	0	1101								
2750		304	828																																	1068	0	9076								
3252		0	30																																	1873	0	8482								
3458		417	111																																	480	0	257								
3720	5000	1064	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3448	0	7712								
3971		3487	61419																																	23608	0	20272								
4156		1451	2783																																	5480	0	5485								
4231		142	0																																	463	0	2945								
5069		31954	16027																																	700	0	0								
5135		825	2927																																	6983	0	59731								
5210	0	8064	51238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																53011	0	32452								
5461		1979	3451																																	15251	0	20592								
5751		627	2226																																	9812	0	12218								
6039	0	4815	10107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1475	0	9643								
6329	0	18724	13766	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																11295	0	14678								
7009		0	0																																	0	0	0								
7045	0	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1796	0	3023								
7072		1164	1111																																	4588	0	7958								
7456		362	739																																	6288	0	16154								
7634		767	275																																	10	0	579								
