"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
32234																																		1083	0	0	0	0	0	true	0	0	0	0	0	9149	2	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			0	1083																	0	0			true	false	false	false						www.qwickrate.com																www.firstnbtc.com	
32766																																		0	0	0	0	0	0	true	0	0	0	0	0	282	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			true	false	false	false																						http://www.Lakeside.bank	
32971																																		390	135	0	0	390	10000	true	0	0	19	0	116	1775	1	390	false	0	0	0	7500	2500	0	0	0	0	0	0	0	0	true	true				0																	0	0	1	true	true	false	false	false																						www.secfedbank.com	
33147																																		0	595	10000	0	0	25576	true	97	0	418	0	80	2668	1	0	false	0	0	10000	15236	340	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						www.fbtbly.com	
33259																																		0	7923	37000	0	0	37000	true	2204	1819	64	0	3836	3451	3	0	false	0	0	37000	0	0	0	0	0	0	0	0	10000	0	false	false			0	0																	0	0			true	false	false	false						remotedeposit.premierbanks.com																www.premierbanks.com	
33268																																		0	0	0	0	0	0	true	0	0	0	0	0	2178	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false																						http://www.roscoestatebank.com	
33370																																		0	0	2500	0	0	2500	false	0	0	0	0	0	705	0	0	false	0	0	2500	0	0	0	0	0	0	0	0	0	0	false	false			0	0																	0	0	1	true	false	false	false	false																						www.homesavingsbanknky.com	
33839																																		0	0	0	0	0	0	false	0	0	0	0	0	522	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			true	false	false	false																						http://www.psbofcolfax.com	
33857																																		15218	249	1753	15213	0	79126	true	0	0	0	0	249	3250	2	0	false	0	0	50753	5545	4301	18527	0	0	0	0	0	0	0	true	true	0	0		5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						www.frontbank.com	
34425																																		13673	3597	100000	10503	977	100000	true	1740	0	1340	0	517	5149	2	977	false	0	0	100000	0	0	0	0	0	0	0	0	0	0	false	true	0	0		2193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false						https://www.qwickrate.com																http://www.vcb.bank	
34434																																		603	1309	0	603	0	0	true	529	21	0	0	759	1061	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false			0	0																	0	0			false	false	false	false																						www.bankmagnolia.com	
34452																																		0	1030	3000	0	0	3000	true	0	0	0	0	1030	0	0	0	false	0	0	3000	0	0	0	0	0	0	0	0	0	0	true	false			0	0																	0	0			false	false	false	false																						www.firstnationalbankparkfalls.com	
34537																																		234351	12802	380000	208374	1169	380000	true	1543	0	297	0	10962	2062	1	1169	true	0	0	380000	0	0	0	0	0	0	0	0	0	0	true	true	0	0		24808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false		1	6457	215891	0																	www.seacoastbank.com	
34555																																		1231	0	167	764	467	2425	true	0	0	0	0	0	3643	2	467	true	0	0	167	333	333	1592	0	0	0	0	0	0	0	true	true	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false						http://www.maconatlantafs.com																http://www.mabank.com	
34742																																		570	3694	25100	570	0	25100	true	1856	0	1545	0	293	8616	4	0	true	0	0	25100	0	0	0	0	0	0	0	0	0	0	false	false				0																	0	0			true	false	false	false						https://www.urfirst.com																http://www.fwbank.com	
35057																																		934	77	0	0	934	0	true	0	0	77	0	0	0	0	934	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.alliantbank.com	
35301	9514739	0	2000000	7165747	0	4841584	false	0	0	0	true	0	270640	2000000	0	0	0	0	2841584	0	0	0	930926	0	0	3758	2348992	0	0	0	0	0	0						2841584		0	0	0	0	0																0		true	true					0	0	0	0	0	0	0	0	0		0	0	0	0	0						true	false	false	false		1	103	5521	0	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	http://www.statestreet.com	
35570																																		99063	6911	2750129	82546	11712	5014565	true	1	0	6594	0	316	1295	0	14863	true	0	0	2750129	1775000	400551	0	0	88885	0	0	0	0	88885	false	false	0	0		4805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	true	false		3	14493	42904	0	www.yourstylechecking.com	Investors Commercial Inc.	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	www.myinvestorsbank.com	
35646																																		0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false				0																	0	0			true	false	false	false																						www.bonduelbank.com	
35879																																		426	0	23733	287	139	45242	true	0	0	0	0	0	521	0	307	false	0	0	23733	9783	11726	0	9892	0	0	0	0	0	0	true	false				0																	0	0	1	true	true	false	false	false																						http://www.eastwis.com	
