"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	76	79															16	536	5	620	0	0	4	137	1	102	1	273	false	true	
242	74	97													68	77	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
279	74	66													7	30													true	true	
354			1	29	0	0	0	0	5	114	0	0	2	393			7	370	5	558	0	0	16	395	2	182	0	0	false	false	
457			11	478	13	1680	5	1894	46	1184	11	1330	10	4012			20	832	8	1090	6	1471	48	1045	7	949	8	1768	false	false	
505			11	500	32	4240	34	16103	162	4264	36	3315	18	6274															false	false	
1155			42	1686	43	5649	38	12434	184	3926	42	4485	37	9925			13	472	9	999	9	2919	54	1477	8	827	7	1249	false	false	
1351			138	3837	17	2070	17	5314	230	3544	33	3490	13	4161			66	2669	31	4449	7	1924	137	2305	9	1004	1	250	false	false	
1454			44	1476	73	7751	40	14410	453	7982	58	5970	26	6510			8	381	8	954	6	1121	52	1388	10	886	3	693	false	false	
1557	30	107															13	645	12	1644	6	1589	223	4998	30	4108	19	4421	false	true	
1669			75	2411	20	2569	11	3046	188	2988	18	1532	7	1404			1	14	1	51	0	0	130	1846	2	93	1	350	false	false	
1829			70	2775	58	8286	72	28577	113	3735	26	2845	18	5760															false	false	
1856			15	367	1	156	1	238	32	966	71	8722	9	2605			4	179	1	34	6	1579	16	266	1	81	0	0	false	false	
2040			43	2341	28	3914	43	16843	58	1938	19	2678	19	6570			4	217	2	573	3	700	11	236	1	50	3	961	false	false	
2161			36	944	10	1023	1	104	207	4017	38	4764	17	3125			2	37	0	0	0	0	75	4192	1	144	1	401	false	false	
2376			10	604	48	8126	210	92827	23	901	3	242	3	790															false	false	
2554	3	47													45	34	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
2732			15	684	50	7440	143	67790	46	1314	27	3001	25	7538			0	0	1	143	0	0	0	0	0	0	0	0	false	false	
2750			12	512	2	399	0	0	29	785	8	1297	1	749			9	455	10	1512	4	857	25	621	18	1914	14	2575	false	false	
3177			60	2545	86	11096	103	28875	79	1715	26	2464	20	3878															false	false	
3252			22	962	14	2047	10	3429	240	6062	19	2244	5	1245			33	1166	30	3718	29	8347	649	20429	56	6486	19	4661	false	false	
3458			9	186	4	608	3	1423	33	939	7	697	6	932			32	1094	14	1370	5	1194	49	575	0	0	1	116	false	false	
3720			66	2535	50	6672	51	20064	224	4937	37	3719	18	4801			55	1964	26	2353	14	4223	35	782	14	1365	6	1069	false	false	
3971			24	719	28	2733	47	20648	52	1077	12	1326	18	6969			20	995	41	5481	32	8200	52	1181	30	2628	23	4413	false	false	
4156			49	1767	21	2262	21	9672	168	3344	16	1782	15	4774			83	3026	44	5441	14	3283	269	4834	20	2322	5	1322	false	false	
4231			138	4602	34	4982	20	7261	58	1054	7	741	1	258			157	4208	31	3056	7	1594	25	378	0	0	0	0	false	false	
4437			63	2433	38	4437	57	21160	96	2218	30	2614	13	4188			5	207	4	447	3	928	2	95	1	160	2	470	false	false	
4839			73	3797	85	13106	142	106769	121	1178	10	1523	15	5833															false	false	
5005			6	271	14	2030	53	22794	18	578	6	755	2	788															false	false	
5069			2	104	4	603	38	22108	2	72	1	0	3	1823															false	false	
5135			114	3775	59	6660	46	15990	333	5985	33	3061	18	5947			164	6344	85	9793	50	14264	249	6597	62	5509	36	5852	false	false	
5210			113	4438	150	18757	166	67923	243	5417	47	5301	38	12793			29	1101	20	2292	16	4087	28	523	1	134	1	238	false	false	
5461			23	1174	57	8201	117	50441	184	6218	79	6973	66	22028			0	0	3	615	6	2042	5	125	5	299	3	528	false	false	
5751			52	1954	34	4516	22	8907	295	7207	47	5001	22	6750			21	946	16	2315	14	3554	105	3232	38	4132	25	5489	false	false	
6039			69	1975	15	1467	22	8974	86	1709	12	1383	8	2989			44	1249	9	1082	9	2368	82	1526	7	776	5	870	false	false	
6141			41	1260	16	2198	7	2374	32	600	5	430	1	270			37	1067	5	664	3	861	56	946	4	290	3	345	false	false	
6329			127	9339	96	13000	68	24430	736	16817	49	5078	6	1506			42	2479	14	1795	9	2174	97	1865	9	1502	1	475	false	false	
7009			0	0	0	0	0	0	0	0	0	0	8	4305															false	false	
