"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP755	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	DEP OTHR TRNS ACCTS INDV PRTNRS CRPS	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	7743	0	3835	11797	0	19214	0	0	0	0	0	45270	0	216		24485	3167	4344	12612	0	2738	9874	6947	4926	785	4336	3225	1529	15379	45054	0	0	452	0	9530	345	0	0	5121	0	0	false								
242	4459	0	613	7414	0	14181	0	0	0	0	0	16616	0	2397		5301	2788	1786	3355	0	1010	2345	1291	655	1250	2003	418	396	13568	14219	0	0	248	0	1917	2150	0	0	1103	2150	0	true								
279	26587	0	0	10170	0	30551	0	0	0	0	0	95726	0	0		30010	2575	12435	19370	0	4813	14557	9087	1553	4569	15256	15659	1069	30551	95726	0	0	4759	0	31491	5062	0	0	17380	2445	0	true								
354	1471	0	171	2511	0	2511	0	0	0	0	0	5906	0	987		2498	1429	0	2498	0	872	1626	0	0	408	100	0	0	2340	4919	0	0	0	0	508	0	0	0	508	0	0	false								
457	5005	0	322	4803	0	7561	0	0	0	0	0	29367	0	2310		8051	13434	2254	6654	0	1810	4844	1236	161	0	1575	1173	129	7239	27057	0	0	737	0	2877	0	0	0	1575	0	0	true								
505	152005	0	10483	20395	0	28795	0	0	71	308	0	324696	0	105050		25091	135080	6141	21672	71	8763	12909	2793	626	5467	5610	1046	397	18312	219646	0	0	1955	237	9161	3359	237	0	7718	3359	0	true								
1155	822	1	4561	23334	0	107287	0	0	0	0	0	69518	0	1391		35764	10911	12315	21062	0	20616	8854	4836	1458	12780	4402	2610	2229	102518	68127	207	0	4550	0	16927	5094	0	0	10599	2561	0	true								
1351	4868	0	9309	17418	0	31632	0	0	0	0	0	106095	0	7192		44027	19566	9466	34192	0	9092	25100	9835	0	7538	22808	7288	0	22323	98903	0	0	3502	0	27483	10151	0	0	21233	9113	0	false								
1454	901	0	10550	179268	0	306164	0	0	0	0	0	317054	963	30412		47789	207913	26410	29407	0	14392	18048	11325	4024	26080	26302	5563	2506	295614	285679	0	0	8416	0	20119	40332	0	0	14589	11597	0	true								
1557	10174	0	3712	30836	0	38802	0	0	0	0	0	29782	0	2185		9371	3016	1831	6507	0	1858	4649	1975	889	971	5183	857	210	35090	27597	0	0	0	0	3831	3390	0	0	2764	3390	0	false								
1669	22731	2	18880	47623	0	104110	0	0	0	0	0	101246	0	351		35222	22641	10647	26587	0	9618	18033	5122	2449	5411	11596	2453	1192	85208	100855	20	40	2271	0	17136	3516	0	0	13490	0	0	true								
1829	47869	0	2	97914	0	121115	0	0	45	258	0	199241	0	2652		52739	71420	19063	26181	0	7790	18391	14547	12012	6006	5587	7628	7991	121113	196589	0	0	7215	213	18625	8587	0	0	7318	4275	0	true								
1856	1325	0	618	3308	0	4931	0	0	16596	16596	0	75316	0	314		39422	7276	0	15109	5101	4811	10298	14965	9347	6326	5610	14860	499	4313	32077	0	42925	0	0	26295	1000	0	0	11935	0	40890	false								
2040	14661	7	307	22244	0	47147	0	0	18023	43646	0	115238	0	5749		30353	64398	5673	13157	7008	2108	11049	15236	1959	1905	1305	1943	673	46833	109312	0	177	1244	25623	5221	605	25623	0	2906	303	0	true								
2161	23030	0	552	25111	0	54158	0	0	0	0	0	54653	0	642		12206	6240	7586	10643	0	3679	6964	1162	401	4908	6880	1389	0	53606	54011	0	0	0	0	8677	4500	0	0	7542	4246	0	true								
2376	554809	0	21034	21675	0	71285	0	0	36055	83611	0	1628175	26000	204391		317636	449467	75764	203779	23208	68295	138101	75399	35840	72738	115734	76842	40949	50251	1392287	0	5497	25736	47556	212157	94106	47556	0	129979	55854	0	true	7490	28008	14753	269329	117967	308594	59372	
2554	2308	0	173	39	0	5819	0	0	0	0	0	5935	38	551		3092	0	0	782	0	782	1853	406	51	232	303	0	0	5646	5346	0	0	0	0	535	0	0	0	535	0	0	false								
2732	54998	0	11320	96336	0	156735	0	0	0	0	0	290582	0	11217		41540	74098	14328	34749	0	13145	22002	3074	3319	70159	45381	3112	1294	145415	279365	0	0	4628	0	32315	87631	0	0	27161	88379	0	true								
2750	14690	0	3253	5899	0	15145	0	0	0	0	0	30467	0	5513		10088	694	1585	6920	0	2903	4405	2292	488	2090	1218	1689	0	11892	24416	0	538	103	0	4478	519	0	0	3043	265	0	true								
3177	507790	0	16956	28943	0	71800	0	0	0	0	0	738726	0	169140		116464	51890	44801	83936	0	49861	42864	18544	5195	27939	20772	10992	2880	54844	569339	0	247	12579	0	48532	14051	0	0	33613	8314	0	true	8979	15928	29937	0	51890	419015	88734	
3252	13972	0	33976	22612	0	61870	0	0	344	15475	0	86063	2660	31094		17157	16111	5727	11409	249	4125	7284	4418	1330	13528	16756	6576	1963	27894	50095	0	2214	0	15131	20643	18180	12820	0	6522	15912	0	false								
3458	1863	0	3149	3619	0	10438	0	0	0	0	0	15960	0	1863		6624	3492	752	4606	0	1208	3398	1673	345	912	1854	1083	132	7289	14097	0	0	106	0	3681	300	0	0	2169	597	0	false								
3720	29617	0	19420	31549	0	89056	0	0	0	0	0	87081	0	7111		25248	5264	6716	23812	0	9067	14994	1153	34	8378	17714	508	352	69636	79970	0	0	2726	0	16062	10890	0	0	15553	10539	0	false								
3971	97157	0	730	18790	0	36351	0	0	0	0	0	505779	0	13219		125517	219447	29211	72066	0	20506	51560	43027	10424	10186	26928	18576	7968	35621	491266	0	1294	10654	0	53133	10525	0	0	30667	6447	1294	true								
4156	19580	0	12338	27919	0	70609	0	0	791	11799	0	97628	0	8703		25538	23251	6155	16848	655	5234	11614	6286	2404	10375	10878	6023	1982	58271	85638	0	3287	2671	11008	24922	4336	9944	0	17544	3709	0	true								
4231	14329	0	5145	18938	0	27818	0	0	0	0	0	69222	0	2924		20302	8430	16986	11403	0	2940	10997	3771	2594	1707	12669	8378	3407	22673	66298	0	0	11135	0	19721	6440	0	0	12450	1926	665	false								
4437	71597	0	2680	25518	0	79342	0	0	262	3071	0	141047	0	3107		25006	16524	11118	11276	191	3691	7585	12906	824	3428	7575	15153	1764	76662	137940	0	0	0	2809	22517	5403	1974	0	9746	1256	0	true								
4839	24325	0	4392	48048	0	60839	0	0	0	10345	0	203531	0	17981		36020	50393	11430	28190	0	6939	21251	6942	888	18902	39913	32384	1594	56447	157515	0	28035	4362	10345	73866	18927	5943	0	41903	16912	28035	true								
5069	46688	0	0	21078	0	23129	0	0	53528	76580	0	209397	0	248		59209	13103	1044	17513	15337	9300	8213	38253	3443	14548	40375	32831	2643	23129	177239	0	31910	519	23052	66668	23729	6973	0	35452	19471	4615	false								
5135	15844	0	16224	52407	0	90600	0	0	33367	46731	0	243855	0	3329		57768	46759	17639	54540	33367	14313	40326	3129	0	53362	65906	4216	0	74376	193049	0	47477	7389	12422	69423	54061	11290	942	65930	53338	496	true								
5210	377366	9	32550	61847	0	94916	0	0	32	1015	0	735949	0	48157		165076	121075	54353	96320	32	32914	68726	59277	4159	8024	35737	26034	2637	62357	687792	0	0	9845	983	54632	17800	983	0	28980	14781	0	true	30957	25451	5948	72311	48764	273189	55994	
5461	220566	0	4401	31531	0	41334	0	0	114	16859	0	384596	0	10291		10354	125440	3776	9434	114	3592	5842	777	143	7518	17856	2072	790	36933	374305	0	0	2048	16245	13771	14465	16245	499	11512	13862	0	true								
5751	6110	10	1389	22034	0	42275	0	0	297	2671	0	107198	0	19777		19051	65316	8017	12236	297	5193	7043	5740	1075	4340	5057	4836	2488	40876	85991	0	1430	3443	2374	14281	2440	647	0	8329	1068	0	true								
6039	8288	0	6446	23853	0	33932	0	0	0	0	0	42923	0	820		19594	4529	6296	19049	0	4705	14344	445	100	3403	7003	106	0	27486	42097	0	6	1795	0	8432	2080	0	0	8327	2079	0	false								
6141	3263	11	9861	15802	0	33925	0	0	0	0	0	17765	0	2155		5268	1857	1146	4613	0	1552	3061	594	62	2879	4069	429	0	24053	15610	0	0	412	0	3574	3803	0	0	3145	3803	0	true								
6329	26110	0	12164	110335	0	147816	0	0	0	0	0	293143	0	7374		74672	48050	13425	63960	0	25683	38277	7938	2774	36461	74187	27451	6212	135652	285769	0	0	3899	0	106546	37765	0	0	79055	31593	17207	false								
7009	0	0	0	85256	0	85256	0	0	0	0	0	479503	0	0		0	479503	28	0	0	0	0	0	0	0	0	0	0	85256	479503	0	0	0	0	0	0	0	0	0	0	0	false								
7045	18220	0	9878	21937	0	95165	0	0	0	0	0	74478	0	12158		23723	20039	6188	10058	0	2050	8312	8826	4535	916	3131	4074	4375	85287	62320	0	0	2036	0	9084	3412	0	0	2568	1354	0	true								
7072	24260	0	0	5451	0	13663	0	0	111	1500	0	115085	0	488		44069	24257	19097	32636	0	9290	23346	9335	2098	3189	10685	7551	1074	13663	114344	0	253	6896	1389	18996	3503	0	0	10722	3152	0	false								
7157	1774	0	1316	7800	0	13188	0	0	0	0	0	27924	13	507		11790	9781	3152	9803	0	3011	6792	1987	0	1450	2146	983	0	11872	27404	0	0	1040	0	4048	531	0	0	3336	260	0	false								
7456	15017	0	11460	16218	0	31235	0	0	0	0	0	30799	0	953		11345	0	2286	8413	0	2227	6186	2722	210	1620	2161	656	0	19775	29846	0	0	344	0	3560	877	0	0	2904	877	0	true								
7634	6023	0	3558	9629	0	15671	0	0	0	0	0	36694	0	175		14649	1276	4615	13208	0	3169	10039	1088	353	4350	8537	1670	189	12113	35280	0	1239	2316	0	13272	1474	0	0	11935	952	2233	true								
8033	15744	0	2239	66172	0	90985	0	0	0	0	0	96190	0	968		39960	105	6728	33655	0	9214	24441	5606	699	10094	23927	6260	100	88746	95222	0	0	3395	0	27043	13338	0	0	24109	9912	0	true								
8462	1838	0	1584	72363	0	111103	0	0	0	0	0	56156	0	9150		10527	10074	3881	9042	0	4789	4731	1007	0	11872	21046	799	0	109269	47006	250	0	1032	0	15264	18453	0	0	14356	18453	0	true								
8631	16619	0	313	16068	0	22536	0	0	0	0	0	36308	0	1251		9879	2900	3012	5962	0	2459	3503	2853	1064	3288	1462	1592	568	22223	35057	0	0	1105	0	5601	1309	0	0	3440	1309	0	true								
9357	110075	88	292	39289	0	44734	0	0	127	4618	0	306267	7702	0		986	193874	1183	717	127	747	239	0	0	325	538	469	0	44354	298565	0	0	569	4491	1332	0	4491	0	863	0	0	true								
9553	16508	0	8779	17933	0	36316	0	0	100	13709	0	73265	0	12638		18748	9721	6989	14748	99	3610	11138	3999	1	8874	13937	5032	446	27537	57396	0	3231	0	13609	24128	4161	11074	0	19232	3579	0	true								
9807	350565	0	122721	100118	0	197361	0	0	60000	60000	0	1410415	0	208559		167131	698225	60914	124787	60000	19020	105767	35001	7343	83018	63838	35547	12091	74640	1201856	0	0	5889	0	96351	98143	0	0	51420	95436	122908	true	38710	31082	4848	338392	359833	263368	87197	
9955	11892	14	2279	22531	0	43135	0	0	0	2482	0	56834	0	11729		9353	27054	1592	7432	0	2949	4483	1654	267	4416	2685	1225	209	40842	45105	0	0	0	2482	5650	2885	2482	0	5215	1885	0	true								
10250	101421	0	1248	20256	0	38519	0	0	297	3157	0	285260	0	7611		58406	83318	36954	27801	297	8849	18952	18667	11938	6198	9613	11014	15289	37271	277076	0	573	14408	201	29617	12497	0	1989	12111	3700	374	true								
10849	74586	0	2782	9019	0	18036	0	0	0	0	0	208404	0	40061		51680	29017	8572	38442	0	13480	24962	12724	514	9924	24991	17497	709	15253	168343	1	0	1628	0	39310	13811	0	0	26519	8396	0	false								
11145	20950	0	27734	26599	0	79072	0	0	0	0	0	79236	0	6329		18695	20001	7937	9669	0	2729	6982	6836	2148	3139	7179	6749	2524	51230	72907	108	0	3452	0	10238	9353	0	0	5524	4794	0	true								
11275	47765	0	4187	64540	0	90051	0	0	48901	152710	0	936402	0	56987		195058	526055	31365	144780	48086	50126	94654	47187	3091	40177	78399	46191	2757	85864	874376	0	5039	10067	103809	120884	46640	100837	0	85924	32652	0	true	11185	37665	37014	135119	364928	38404	9361	
11640	143063	2	6280	14039	0	26228	0	0	0	0	0	261285	0	39190		43414	26631	18304	26459	0	6346	20164	9841	7063	11741	15165	14397	6875	19906	222095	40	0	9747	0	30282	17896	0	0	15461	11445	0	false								
11837	4434	0	14653	8318	0	30389	0	0	0	0	0	36839	0	1555		16421	4212	3536	9968	0	3699	6269	3735	2718	2721	5407	2009	1634	15736	35284	0	0	1310	0	10563	1208	0	0	7225	903	0	true								
12030	26883	0	12563	61815	0	92048	0	0	0	0	0	177286	0	2050		75268	20178	21057	62662	0	18042	44620	9248	3358	12417	29976	10968	1596	79485	174937	0	299	7700	0	45856	9101	0	0	36831	5562	0	false								
12142	22972	0	8551	52824	0	100572	0	0	0	0	0	86918	0	7144		24105	13255	8081	17838	0	13069	10202	834	0	15484	10501	601	0	92021	79774	0	0	1834	0	14748	11838	0	0	13255	11538	0	false								
12179	4757	294	0	2895	0	6550	0	0	0	0	0	22241	0	1002		9834	4471	2207	6073	0	1409	4664	3138	623	1312	481	1185	200	6256	21239	0	0	337	0	1920	1258	0	0	791	1002	0	true								
12245	17850	0	2411	19078	0	29075	0	0	4577	6087	0	71617	0	8621		24779	14307	6109	13105	57	4783	8583	6674	4739	3095	5216	4803	1568	26664	62509	0	487	1984	1510	13278	1404	445	0	6460	1404	0	true								
12311	4291790	4960	1124313	4004648	0	4622972	0	0	86862	2357136	0	45962594	0	3396443		3310783	37071897	745594	1780582	86062	611486	1169096	1412552	117649	451408	410474	402251	23991	3492723	42566151	976	0	108463	2070274	995238	292886	2067318	200000	488660	373221	0	true	352559	470362	2669802	14843451	19079465	641567	3631453	
12647	7839	0	642	16488	0	21137	0	0	0	11633	0	62276	0	3264		11325	21626	3975	8540	0	2092	6449	2784	0	5108	5821	10557	0	20495	59012	0	0	1125	250	6953	14533	250	4331	4933	5778	0	false								
12656	1964	0	612	3722	0	6016	0	0	0	0	0	10359	0	1160		3474	1325	908	2902	0	1158	1744	571	1	631	1938	614	413	5404	9199	0	0	236	0	3596	0	0	0	2569	0	0	true								
12937	11651	0	0	40416	0	60721	0	0	8	3559	0	95961	0	0		9554	35171	5918	8287	8	2674	5613	1174	93	15202	20527	3593	263	60721	95961	0	0	4059	3551	14596	24989	2365	1185	12058	22649	1000	true								
12946	42502	0	49481	35174	0	98611	0	0	644	1324	0	648058	0	159213		114647	205178	33369	85118	644	24550	61559	23967	4571	68974	154431	53782	8544	49130	488845	0	0	13945	680	97311	188420	680	0	78679	144495	0	true								
12955	9823	0	1433	27713	0	43584	0	0	0	0	0	72156	0	8901		14220	30523	5318	9549	0	2594	6955	3541	1130	2100	3312	4429	7749	42151	63255	0	0	1402	0	14956	2634	0	0	3569	1842	8262	true								
