"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
336950	7925	0	108	2886	0	2886	0	0	194	0	16549	0	2398		4425	0	0	2778	14151	0	0	0	194	194	1935	3611	1397	680	5546	1000	0	0	0	3199	1000	0	1000	0	true							
337247	5795	0	3168	4515	0	10112	0	0	0	0	29160	0	4269		8732	8525	1132	6944	24891	0	0	215	0	0	1183	4639	4029	999	5762	1000	2989	0	0	2118	3989	0	3989	0	true							
337340	26645	0	0	20358	0	41649	0	0	0	0	85327	0	0		11175	40008	3269	41649	85327	0	0	0	0	0	4988	7907	1995	366	12895	0	3051	367	0	4081	3418	0	3051	0	true							
338178	33449	0	0	17628	0	36883	0	0	0	0	192218	0	0		43941	36148	14025	36883	170873	0	21345	4962	0	0	20614	46578	24102	6371	67192	4260	13125	6564	1008	53724	24957	0	17385	19255	false							
338646	19364	2	17890	74390	0	115809	0	0	0	0	79600	0	2361		23246	21304	10927	97917	71773	0	5466	4311	0	0	4898	11403	13642	5764	16163	1014	0	1651	559	12461	3225	0	1014	5466	true							
338851	0	0	487	12892	0	25898	0	0	0	0	37205	0	544		11496	25424	1886	25411	36661	0	0	0	0	0	2569	6717	2233	262	9286	0	0	0	0	285	0	0	0	0	true							
338945	9358	1	1390	8385	0	13810	0	0	0	0	46616	0	5490		9795	11497	680	12419	41044	0	82	230	0	0	2018	7595	6250	2384	9613	5489	552	1136	337	8452	7514	0	6041	0	true							
339054	6774	0	1107	16642	0	20320	0	0	0	0	37828	0	8975		3768	12213	2238	19089	28853	124	0	856	0	0	3012	7388	1762	0	10204	1510	3250	1918	0	8394	6678	0	4760	0	false							
339072	19796	0	0	53001	0	63018	0	0	0	0	617964	0	0		36386	540410	20612	63018	617964	0	0	4536	0	0	10366	25747	12019	4480	36038	953	1598	2303	292	16227	5146	0	2551	0	true	17633	6763	93801	446609	19578	218	
339353	10443	0	5243	18615	0	31876	0	0	0	0	23795	999	3765		2952	9468	494	26633	19031	0	0	0	0	0	662	2270	391	56	2932	0	0	505	0	427	505	0	0	0	true							
339456	21695	0	1854	194352	0	216242	0	0	0	0	186786	0	707		19473	77479	5047	213969	186079	419	0	2886	0	0	11930	28861	13348	1100	40791	10628	18678	2816	251	35766	32373	0	29306	249	true							
339607	35862	0	2009	88560	0	123701	0	0	81091	0	507705	0	18151		161730	149415	55755	121692	463408	0	26146	17412	81091	52096	45044	91861	123580	25849	136905	2653	14539	8455	10447	124604	36094	0	17192	24815	true							
339773	365594	63	766	9871	0	55261	0	0	84322	0	1399312	0	13496		313372	332905	77070	54355	1375829	77	9987	38785	84322	56047	99212	257051	124629	52483	356263	36990	79843	32023	18582	220003	167438	0	116833	0	true	117	54238	332905	0	263128	85740	
