"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							5218	1220	0	0	43597	0	396	0	835	84729	66058	287	66345	0	946	0	0	0	18383	1200	84728	0	0	13629	0	0	3500	0	11879	54180			0	34409	33463	54	0	0	0	0	18383	
242																																							824	1043	0	0	13008	0	266	0	528	41332	32063	17	36477	0	190	0	4397	0	4855	120	41332	0	0	4538	0	0	120	0	8299	23764			0	25210	25020	77	643	0	0	0	4855	
279																																							3911	2913	39	33734	7369	266	5718	0	6991	174078	122477	658	147575	0	716	0	24440	0	26503	1	174078	0	0	26284	0	0	0	0	8823	113654			0	108357	107641	218	5496	0	0	0	26503	
354																																							150	119	0	0	6482	0	29	0	167	9762	8761	3	8915	0	187	0	0	0	846	25	9761	0	0	500	0	0	500	0	2366	6395			0	3002	2815	-179	0	0	151	0	846	
457																																							1420	786	0	159	344	0	135	67	1158	42760	37238	62	38500	0	474	0	1200	0	4260	60	42760	0	0	759	0	0	3440	0	4620	32618			0	39010	38536	1	155	0	0	0	4260	
505																																							28544	1342	155	0	74415	0	10633	1289	16201	394580	322672	4970	359142	56	4144	1595	31500	0	35382	6480	394580	0	0	18379	0	0	10653	0	50215	272457			0	264550	260406	-130	0	0	0	0	35438	
1155																																							23982	6171	0	65	30255	0	4300	2043	5815	214072	178662	1971	194925	0	2438	0	0	0	19147	1600	214072	0	0	12561	0	0	4900	411	25969	152693			0	143468	141030	86	0	0	0	14292	19147	
1351																																							0	4938	0	74158	2274	0	1025	456	1453	163172	139985	447	140432	0	1337	0	0	0	22740	240	163172	0	0	22021	0	0	530	0	16704	123281			0	75693	74356	-51	4512	0	0	0	22740	
1454																																							62896	20781	0	0	327924	0	5160	0	10630	667568	602006	1441	603447	0	2967	0	0	0	64121	1000	667568	0	0	65151	0	0	1214	993	172196	429810			0	242151	239184	-3244	0	0	0	0	64121	
1557																																							2785	1986	353	0	21365	0	812	0	1154	76230	65007	30	66288	0	351	70	1251	0	9942	200	76230	0	0	525	0	0	9624	0	25916	39091			0	45514	45163	-407	2542	0	0	0	9942	
1669																																							20658	7021	249	49142	73156	0	2150	111	12343	252940	207280	382	207662	0	2823	0	0	0	45278	800	252940	0	0	43374	0	0	800	0	46255	161025			0	90933	88110	304	0	0	0	0	45278	
1829																																							7155	6550	229	0	94057	0	3226	29	12611	409955	341847	1268	364631	0	3399	8144	13372	0	45324	390	409955	0	0	40739	0	0	3100	719	103010	238837			0	280634	277235	1095	0	0	0	8144	45324	
