"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK195	RCFDK196	RCFDK203	RCFDK204	RCFDK207	RCFDK208	RCFDK209	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK195	RCONK196	RCONK203	RCONK204	RCONK207	RCONK208	RCONK209	RCONK256	RIADG377	
2749059																																																																												0	222	5118		0			3051	1106	0	0	90348	0	0	0	20077	1031	7808	9686	142	4680	5728	5789	259	2691	12062	14903	15463	9216	3630	14996								0	29			0	0	672	1650	32118	24235			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	40893		0	3							0	48	0	0	0	0	0			0	0				0	0	988			0	0	
2751007																																																																												0	23679	14433	0	8898	43496	0	43496	21460	0	0	343176	0	0	0	54560	3183	15097	86832	2776	4775	11788	17822	8319	9075	37061	42220	50670	101617	52171	4724		0	0	0		0	0	0	230	0		0	0	18791	12922	32155	105478	0	0	0			691	8																							0	0	0	0	0	0	0	0	0	0	0	0		137779	0	0	0							0	1286	0	0	0	876	0	118	0	698	86	587			0	25	2605			118		
2753588																																																																												0	3763	605		63			15986	7628	0	1345	128910	303	0	0	21698	726	2099	44316	1137	2428	6171	3976	1857	6130	15668	31701	19228	25337	14992	575								0	16			0	0	15705	12129	35793	13310			0			871	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	37164		0	108							0	189	0	0	0	0	0			0	0				0	0	149			0	0	
2753917																																																																												0	228	17		0			16880	7333	0	0	49232	7	0	0	0	1352	0	8050	0	0	0	0	0	0	31207	3683	5885	6618	1079	0								0	21			0	0	1219	1685	6319	13246			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		36786		0	0							0	30	0	0	0	0	0			0	0				0	0	909			0		
2754222																																																																												0	224	2120		0			460	1972	0	0	54852	0	0	0	35815	55	5415	5415	886	4704	13304	8821	2115	5687	1082	1573	6129	5259	4880	0								0	0			0	0	772	3087	5924	3558			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		28710		0	0							0	118	0	0	0	0	0			0	0				0	0	747			0		
2754389																																																																												0	0	1257	0	0	6262	0	6262	206	0	0	65179	0	0	0	23318	5911	13252	15292	4832	4088	7155	3197	3370	423	9967	8863	8754	4667	4020	1044		0	0	0		0	0	0	63	0		0	0	4898	849	10506	11815	0	0	0			1079	477																							0	0	0	0	0	0	0	0	0	0	0	0	0	6463	2	0	2							0	0	185	849	0	623	3532	1224	0	0	0	0			0	0	92			1224	0	
2756730																																																																												0	9624	273		36910			11477	0	0	0	89790	0	0	0	14337	306	0	27919	835	2095	2379	5737	2165	632	24957	14115	13142	18463	2595	837								0	0			0	0	2774	1497	6072	3449			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		28309		0	113							0	1207	0	0	0	0	0			0	0	0			0	0	1751			0		
2756767																																																																												0	167	6527		0			8126	3076	0	0	80926	0	0	0	40202	1642	24843	8927	1913	7154	7668	8990	5237	7765	6958	3817	9905	12977	5720	0								0	7			0	0	4117	1217	13234	2027			0			240	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	30214		0	0							0	301	0	0	0	0	0			0	0				0	0	283			0	0	
2756909																																																																												0	0	16368	0	0	95022	0	95022	9816	0	20	353429	504	0	0	21056	5518	5857	63122	1770	4130	2395	293	9643	2825	55851	15809	42332	63296	141095	9605		0	0	0		0	0	0	56	0		244	216	12655	8021	74977	110048	0	0	0			353	999																							0	0	0	0	0	0	0	0	0	0	0	0	0	14197	97	0	97							0	29	0	0	0	6248	0	503	0	0	0	0			0	0	250			503	0	
2757205																																																																												0	490	46911	0	0	181384	0	181384	68299	0	16017	1199182	0	0	0	217623	9403	63270	302754	3495	13549	10200	19920	41948	127666	246176	145640	188623	148423	175308	71697		0	0	0		0	0	70	12	0		0	0	139411	110112	144199	250726	0	0	0			209	178	0	0	0	123109	0	0	30366	0	0	0	0	0	0	0	123109	0	0	30366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136112	367	0	367							0	4132	0	0	0	265	2282	3268	0	0	0	0	0	0	0	0	10026	0	0	3268	0	
2757951																																																																												0	0	0		0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0			0	0	0	0	0	0			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	0							0	0	0	0	0	0	0			0	0				0	0	0			0		
2758024																																																																												340	2134	4541	0	0	50892	0	50892	27115	0	0	737379	0	0	6478	548070	3014	317253	64987	8835	22079	24926	60087	117094	313128	29191	30312	23035	17390	60967	27794		0	340	0		0	0	0	4347	0		0	0	9893	9245	23776	37492	0	0	0			326	378																							0	0	0	0	0	0	0	0	0	0	0	0	0	548070	4995	4363	4995							0	1361	0	0	0	229	0	89	0	0	0	0			0	0	5801			89	0	
2758613																																																																												0	0	95	0	0	91587	0	91587	33920	0	8128	1235403	0	0	0	210778	4280	147106	77924	12143	39536	17006	49025	38947	53096	136820	20869	72086	185023	600499	9220		0	0	0		0	0	896	262	0		0	0	31278	52895	53250	583534	0	0	0			994	764	0	0	0	31196	0	0	0	0	0	0	0	0	0	0	30156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		223930	332	0	332							0	354	0	0	0	0	0	0	0	74	0	0	0	0	0	0	163814	0	0	0		
2759629																																																																												0	5092	0		49886			27066	0	0	0	107543	0	0	0	13490	321	4178	53918	536	834	1486	959	8494	1072	39758	16882	8739	17212	7607	876								0	0			0	0	413	0	3756	5233			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	38388		0	159							0	1606	0	0	0	0	0			0	0	0			0	0	521			711	0	
2760102																																																																												0	1703	4404	0	0	156255	0	156255	8185	0	0	354443	0	0	47	50594	3322	2746	107441	2696	6364	16610	20323	3508	1093	63269	52319	107316	70990	7681	56		0	0	0		0	0	0	1412	0		0	0	5931	24392	54496	32377	0	0	0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	127676	270	0	270							0	1816	0	0	0	0	0	0	0	0	0	0			0	0	9286			0	0	
2760232																																																																												0	288	8721	12	0	37773	0	37773	20460	0	0	349629	0	0	276	69830	5753	29020	41673	20008	15129	17753	11107	1580	2582	108589	27033	41867	47310	44015	10129		0	0	0		0	0	0	747	0		0	0	7166	24834	68305	52598	0	0	0			3712	0																							0	0	0	0	0	0	0	0	0	0	0	0		11076	218	0	230							0	276	0	484	0	4798	2549	0	0	0	0	0			0	0	52648			0		
2761967																																																																												0	187	3517		0			21782	4951	0	0	98222	0	2950	0	46469	691	19070	7727	621	3864	2361	2970	8818	26040	4718	4562	9060	16335	7418	8447								0	0			0	0	877	345	5247	5743			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		2	0							0	0	0	0	0	0	0			0	0				0	0	5461			601		
2764212																																																																												0	0	36282	2113	0	18691	0	18691	4613	0	0	817403	673	0	71	271014	2954	171334	73523	8061	11949	8298	4224	90360	147197	44148	40386	54096	43731	331328	23030		0	0	0		0	0	0	23	0		0	0	8929	59283	128275	266393	0	0	0			1554	0																							0	0	0	0	0	0	0	0	0	0	0	0		199469	3194	0	5307							0	0	0	5200	0	4012	15172	0	0	0	0	0			0	0	16312			0		
2765602																																																																												0	355	5691		0			22894	6723	0	0	236405	0	0	0	23214	960	15674	16945	2564	668	7248	8799	2223	1591	22286	10405	66789	78250	27247	4394								0	143			0	0	4513	13490	62356	95693			0			149	0																							0	0	0	0	0	0	0	0	0	0	0	0		62848		0	0							0	235	0	2136	0	185	0			0	0				0	0	138			0		
2769570																																																																												0	1001	0		3906			22807	0	0	3281	85427	0	0	0	25359	2210	0	23402	1560	3019	12777	6493	999	0	6758	12065	23447	13952	2065	1500								0	0			0	0	538	5384	15007	1117			0			130	313																							0	0	0	0	0	0	0	0	0	0	0	0	0	240		0	6							0	2324	0	0	0	0	0			30	0	0			30	0	2487			0	0	
2769589																																																																												0	2934	44509	12623	3	73576	0	73576	14617	0	0	822901	0	0	0	59838	444	12542	97658	2247	4199	8258	14273	19383	11477	135388	51128	154445	237740	174118	10245		0	0	0		0	0	0	224	95		0	0	5601	57527	76588	473542	0	0	0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	487748	234	0	12857							0	422	0	0	0	0	0	0	0	0	0	0			0	0	219			0	0	
2769954																																																																												0	4154	541		1994			6857	2683	0	49	63754	11	0	0	18390	1029	2013	19531	2806	1960	7940	5278	383	0	12008	10557	14064	3150	5273	0								16	54			0	0	947	4658	10166	10985			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	56							0	444	0	0	0	0	0			0	0				0	0	742			0	0	
