"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
37								9195										
242								2063										
279								6276										
354								221										
457																		
505								52933	0		0	0	1192		0	344	51397	
1155								40859										
1351								4808										
1454								89472	11451		0	0	6996		0	1745	69280	
1557								3818										
1669								34498										
1829								12673	3480		0	0	1708		0	2476	5009	
1856								40626										
2040								11381										
2161								16712										
2376								14494	0		0	0	2792		0	11459	243	
2554								5476										
2732								113512	6044		0	0	2964		0	9924	94580	
2750								2912										
3177								82465	1825		0	0	6844		0	1067	72728	
3252								6863										
3458								7217										
3720								30738										
3971								45763	334		0	0	3996		0	41377	56	
4156								7585										
4231								10170										
4437								13532										
4839								8906	2262		0	0	1755		0	1870	3019	
5069								50540	692		0	0	173		0	937	48738	
5135								60549	4948		0	0	4095		0	321	51185	
5210								19215	9422		0	0	5596		0	4061	136	
5461								40579	9771		0	0	7082		0	4689	19037	
5751								5132										
6039								18522										
6141								7863										
6329								49299	198		0	0	7459		0	6171	35471	
7009								21003	247		2000	0	15		0	18716	25	
7045								8028										
7072																		
7157								685										
7456								8707										
7634								7297										
8033								11614										
8462								31687										
8631								9094										
9357								62138	14686		0	0	294		0	1447	45711	
9553								8870										
9807								150093	8447		0	0	5046		0	9939	126661	
9955								25123										
10250								28590	4685		0	0	1468		10137	0	12300	
10849								22126	82		0	0	1400		0	3960	16684	
11145								10795										
11275								123324	12414		0	0	4822		0	4210	101878	
11640								31364	283		0	0	3045		0	6907	21129	
11837								7021										
12030								46819	2		0	0	3911		0	24041	18865	
12142								17073										
12179								5328										
12245								3795										
12311	895191	627318	0	13004	0	90331	164538	895191	347216	13004			280102	90331			164538	
12647								13350										
12656								760	0		0	0	311		0	442	7	
12937								33755										
12946								12409	5949		0	0	4539		0	1797	124	
12955								27279										
13103								54134	0		0	0	2978		0	18709	32447	
13251								15097										
13457								6954										
14052								8706										
14155								9055										
14650								8764										
14753								6869										
14865								34079										
14977								9877										
16458								19366										
16551								11424										
16748								10434										
16944								4884										
16953								7999										
17110								21401										
17147								147038	0		0	0	37037		0	110001	0	
17259								5172	0		0	0	638		0	4534	0	
17464								50014	19416		0	0	9569		0	2788	18241	
17950								10304	0		0	0	2137		0	5096	3071	
17978								13484	1038		0	0	2383		0	10063	0	
18050								23159	5378		0	0	4154		0	1430	12197	
18135								4909										
18377								18147										
18827								52714	4086		0	0	2044		0	9791	36793	
18836								9624										
18854								92245	3487		0	0	1438		0	19700	67619	
19356								1241										
19730								279806	7566		0	0	18619		0	17426	236195	
19936								56612										
19972								32312										
20053								2509										
20512								2761										
20633								10001	1522		0	0	3097		0	5364	18	
20857																		
21256								4006										
21359								7099										
21630								2941										
21658								4720										
22048								7855										
22543								20886										
22552								2106										
22730								10203										
22936								34122	0		0	0	1570		0	347	32205	
23045								3029										
23456								2453										
