"IDRSSD"	RCFN2133	RCFN2898	
	TOTAL IBF ASSETS	TOTAL IBF LIABILITIES	
157650			
157744			
157856			
157904			
158554			
158741			
158750			
158947			
158974			
159636			
159645			
159953			
160360			
160454			
160557			
160614	0	0	
160650			
160959			
161273			
161433			
161602			
162337			
163343			
163370			
163549			
163857			
164032			
164153			
164331			
164377			
164854			
164957			
164975			
165039			
165628			
165758			
165806			
166111			
166531			
166652			
166803			
166849			
167060			
167453			
167556			
167565			
167752			
167864			
168441			
168571			
169073			
169327			
169354			
169653			
169756			
169952			
170051			
170257			
170332			
170640			
170716			
170976			
171133	7866	9727	
171656			
171759			
171768			
172158			
172251			
172457			
172475			
172859			
173306			
173342			
173548			
173557			
173575			
173641			
173959			
174321			
174367			
175056			
175140			
175458			
175609			
175672			
176053			
176101			
176325			
176437			
176464			
176642			
177135			
177443			
177500			
177546			
177555			
177751			
177920			
177957			
178057			
178150			
178244			
178271			
178356			
178851			
179148			
179335			
179700			
179755			
180041			
180078			
180144			
180443			
180537			
180845			
181347			
181459			
181758			
181963			
182353			
182652			
182951			
183042			
183051			
183154			
183668			
183770			
183846			
183958			
184142			
184245			
184656			
184759			
185037			
185251			
185448			
185457			
185859			
186221			
186548			
186717			
186744			
186838			
186856			
187358			
187451			
187648			
187899			
187947			
188056			
188430			
188449			
188720			
188739			
188757			
188917			
188926			
189044			
189129			
189352			
189549			
189745			
189820			
189950			
190246			
190451			
190554			
190563			
190639			
190648			
190947			
190956			
191355			
191449			
191935			
192147			
192156			
192558			
192651			
192857			
193162			
193247			
193537			
193649			
193809			
194253			
194440			
194936			
195111			
195157			
195456			
196257			
196743			
196752			
196800			
197142			
197254			
197302			
197478			
197759			
198046			
198103			
198149			
198251			
198831			
198859			
198961			
199052			
199137			
199351			
199436			
199454			
199463			
200042			
200435			
200640			
201049			
201254			
201441			
201638			
201647			
201834			
202251			
202514			
202541			
202550			
202907			
203052			
203418			
203575			
204004			
204237			
204826			
205159			
205243			
205346			
205458			
205542			
205654			
206156			
206174			
206772			
206950			
207041			
207050			
207452			
207555			
207845			
207872			
207957			
208057			
208244			
208347			
208440			
208459			
208655			
208972			
209148			
209335			
209362			
209447			
209559			
209830			
209858			
210238			
210256			
210434	0	0	
210452			
210555			
211114			
211338			
211851			
211954			
212018			
212335			
212344			
212465	0	0	
212522			
213538			
213912			
213958			
214414			
214722			
214807	0	509000	
214843			
215130			
215251			
215345			
215354			
215653			
215662			
215710			
216164			
216230			
216632			
216922			
217059			
217620			
218131			
218261			
218757			
218775			
218850			
218878			
219044			
219259			
219343			
219651			
219857			
220059			
220527			
220844			
221476			
222147			
222156			
222446			
222558			
222754			
223322			
223331			
223452			
223751			
223845			
224178			
224552			
224637			
224655			
224954			
225054			
225157			
225241			
225335			
225559			
225942			
226752			
226949			
227151			
227179			
227357			
227656			
228000			
228055			
228158			
228345			
229342			
229454			
229801			
229913	0	278293	
229940			
229959			
230254			
230357			
230423			
230535			
230610			
230740			
230759			
231149			
231242			
231279			
231336			
232258			
232847			
232856			
233031			
233246			
233358			
233442			
233451			
233527			
233554			
234056			
234355			
234506			
234739			
234841			
235017			
235231			
235316			
235446			
235530			
235558			
235950			
236050			
236153			
236256			
236452			
236603			
236706			
236957			
237066			
237150			
237619			
237954			
238045			
238139			
238241			
238250			
238737			
238755			
239015			
239042			
239275			
239556			
239613			
239640			
239659			
239752			
240356			
240459			
240954			
241009			
241157			
241559			
241607			
242248			
242257			
242444			
242949			
242958			
243375			
243414			
243647			
243955			
244037			
244149			
244158			
244251			
245016	48588	91485	
245276			
245351			
245557			
245856			
246022			
246134			
246237			
246451			
246657			
246947			
246956			
247140			
247355			
247449			
247476			
247551			
247908			
248240			
248352			
248455			
248633			
248745			
248969	1012	7576	
249153			
249304			
249416			
249546			
249564			
249612			
249658			
249872			
249957			
250047			
250430			
250850			
251352			
251558			
251745			
251857			
252041			
252256			
252452			
252658			
252836			
253262			
253356			
253440			
253468			
253646			
253730			
253776			
254317			
254504			
254652			
254670			
254849			
255136			
255350			
255547			
255556			
255574			
255659			
255873			
256049			
256058			
256179			
256553			
256964			
257233			
257345			
257466			
257653			
257756			
257868			
258146			
258306			
258351			
258379			
258445			
258539			
258632			
258771			
259059			
259330			
259442			
259657			
259956			
260055			
260354			
260831			
260868			
261070			
261146			
261258			
261360			
261940			
262059			
262237			
262358			
262741			
262844			
262956			
263243			
263551			
263627			
264156			
264455			
264558			
265340			
265407			
265452			
265676			
266066			
266244			
266253			
266271			
266655			
266851			
266879			
266945			
267652			
268136			
268257			
268556			
268828			
268976			
269049			
269058			
269478			
269759			
270148			
270353			
270504			
270531			
270652			
271136			
271154			
271275			
271341			
271529			
271631			
271743			
271752			
272030			
272058			
272151			
272218			
272245			
272272			
272302			
272870			
273149			
273251			
273336			
273550			
273653			
273662			
273840			
273859			
274025			
274052			
274164			
274548			
274641			
