"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	18064	17273	209	0	0	0	0	0	17273	0	0	582	
242	4743	4563	138	0	0	124	0	0	4563	0	0	166	
279	26243	26028	229	0	0	0	0	0	26028	1	0	-15	
354	773	719	-18	0	0	0	0	0	719	0	0	72	
457	4133	4010	219	0	0	96	0	0	4010	0	0	0	
505	34612	33997	724	0	0	272	0	0	33997	0	0	163	
1155	18660	18041	900	0	0	686	0	0	18041	0	0	405	
1351	22244	21724	740	0	0	282	0	0	21724	0	0	62	
1454	57824	52250	2131	0	0	1350	0	0	52250	0	0	4793	
1557	9760	9183	216	0	0	0	0	0	9183	0	0	361	
1669	44555	43952	630	0	0	0	0	0	43952	0	0	-27	
1829	44014	43006	685	0	0	410	0	0	43006	0	0	733	
1856	15129	13373	560	0	0	0	0	0	13373	0	0	1196	
2040	20864	19369	273	0	0	0	0	0	19369	0	0	1222	
2161	14749	14042	431	0	0	65	0	0	14042	0	0	341	
2376	436085	423113	10238	0	0	0	0	0	423113	0	2172	562	
2554	1288	1273	47	0	0	35	0	0	1273	0	0	3	
2732	80207	80327	238	0	0	265	0	0	80327	0	0	-93	
2750	5610	5290	199	0	0	100	0	0	5290	0	0	221	
3177	104758	103231	1712	0	0	1000	0	0	103231	232	0	583	
3252	20990	20391	837	0	0	400	0	0	20391	0	0	162	
3458	3430	3317	40	0	0	0	0	0	3317	0	0	73	
3720	30365	29750	556	0	0	120	0	62	29812	0	0	117	
3971	106905	105967	394	0	0	0	0	0	105967	0	0	544	
4156	21566	21227	349	0	0	205	0	0	21227	0	0	195	
4231	13503	12746	86	0	0	0	0	0	12746	0	0	671	
4437	26625	25976	332	0	0	80	0	0	25976	0	0	397	
4839	33937	33030	416	0	0	231	0	0	33030	0	0	722	
5069	158626	151547	6083	0	0	0	0	0	151547	0	0	996	
5135	47637	46306	1143	0	0	0	0	0	46306	0	0	188	
5210	91439	90294	2169	0	0	1198	0	0	90294	0	0	174	
5461	44479	43003	654	0	0	202	0	0	43003	0	0	1024	
5751	28979	28087	943	0	0	300	0	0	28087	0	0	249	
6039	7708	7736	-23	0	0	0	0	0	7736	0	0	-5	
6141	5592	5507	85	0	0	0	0	0	5507	0	0	0	
6329	39577	37433	2110	0	0	0	0	0	37433	0	0	34	
7009	56823	57612	4950	0	0	5500	0	0	57612	0	0	-239	
7045	17288	16571	435	0	0	0	0	0	16571	0	0	282	
7072	31337	31132	201	0	0	0	0	0	31132	0	0	4	
7157	4567	4540	22	0	0	0	0	0	4540	0	0	5	
7456	5270	5064	214	0	0	26	0	0	5064	0	0	18	
7634	6361	6338	223	0	0	286	0	0	6338	0	0	86	
8033	19999	19640	756	0	0	450	0	0	19640	0	0	53	
8462	16913	16174	491	0	0	86	0	0	16174	0	0	334	
8631	6619	6447	93	0	0	40	0	0	6447	0	0	119	
9357	75041	74243	1106	0	0	320	0	0	74243	0	0	12	
9553	10693	10586	561	0	0	574	0	0	10586	0	0	120	
9807	238499	232122	5658	0	0	0	0	0	232122	0	0	719	
9955	14991	14737	462	0	0	300	0	0	14737	0	0	92	
10250	31875	30773	796	0	0	0	0	0	30773	0	0	306	
10849	26290	25668	164	0	0	0	0	0	25668	0	0	458	
