"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
34452	749	75	36	0	648	10	0					
34537	33865	9388	1476	0	27122	4121	0				0	
34555	2628	90	119	0	2497	78	0			0	0	
34742	3356	171	4	0	3300	119	0					
35057	1469	0	14	0	1479	24	0			0	0	
35301	59530	6694	0	0	54146	1310	0			0	0	
35570	230818	8500	11507	0	230969	20158	0			0	0	
35646	204	10	1	0	228	35	0					
35879	917	0	1	0	939	23	0					
36456	1312	180	59	0	1114	41	0					
36933	1106	180	18	0	969	61	0					
37051	729	0	0	0	707	0	22					
37341	581	67	3	0	539	28	0					
37435	11766	41	663	0	11778	716	0				0	
37640	16051	2070	396	0	15694	2109	0			0	35	
37659	430	55	9	0	453	87	0			0	0	
37949	2161	180	46	0	1955	20	0					
38740	1825	75	10	0	1767	27	0					
39327	758	25	17	0	793	77	0					
39756	6528	1375	106	0	5135	88	0				0	
40033	444	0	2	0	447	5	0					
40499	19440	2326	216	0	18489	1591	0				0	
40855	978	72	3	0	917	14	0					
41245	511	0	34	0	484	7	0					
41553	633	0	5	0	667	39	0					
41629	2037	217	183	0	2005	368	0					
41825	3412	447	4	0	3051	90	0				0	
41937	237	0	0	0	238	1	0					
41955	277	0	0	0	277	0	0					
42037	439	4	0	0	440	5	0					
42354	1190	69	11	0	1154	44	0					
42372	2129	-2	19	0	2152	40	0					
42420	50746	11032	1704	2197	48298	8091	0				0	
42448	17341	4909	471	0	14287	2326	0			0	549	
42457	562	53	0	0	509	0	0					
43052	779	144	9	0	1401	775	0					
43351	3109	643	138	0	2467	139	0					
43856	243	0	0	0	243	0	0					
43959	720	-87	156	0	675	24	0					
44040	4557	225	63	0	4299	30	0					
44433	5016	75	23	0	5361	443	0				0	
44741	4999	560	105	0	4600	266	0					
44750	1258	480	7	0	1053	282	0					
44929	1116	0	5	0	1116	5	0				0	
45038	1844	75	231	0	1748	210	0			0	0	
45047	2007	224	71	0	1895	183	0					
45056	449	40	0	0	463	54	0					
45430	536	-15	8	0	605	62	0					
45458	1054	308	1	0	804	59	0					
45551	8801	585	133	0	8542	459	0				0	
45560	11492	1125	59	0	10492	184	0				0	
45775	807	36	0	0	821	50	0					
46053	2246	93	46	0	2157	50	0					
46941	1480	74	18	0	1453	65	0					
47247	3770	17	440	0	3378	65	0				0	
47256	357	46	0	0	312	1	0					
47452	1208	318	90	0	800	0	0					
47500	3591	403	137	0	3344	293	0					
48057	632	171	11	0	469	19	0					
48150	168	0	0	0	170	2	0					
48374	10167	700	121	0	10473	1127	0			0	0	
48440	1009	0	28	0	1063	82	0					
49054	2663	300	2	0	2388	27	0					
49148	602	45	0	0	563	6	0					
49241	6729	1015	238	0	6446	1014	44					
49652	2332	45	0	0	2334	47	0					
49858	915	21	17	0	881	4	0					
49951	1040	185	1	0	872	18	0					
50144	522	30	30	0	488	26	0					
50461	4138	200	0	0	3938	0	0				0	
50872	1135	-19	19	0	1192	57	0					
51253	5765	370	497	0	5611	713	0			0	0	
51356	186	80	3	0	152	49	0				0	
51459	1923	1	24	0	1906	8	0					
51842	12027	750	35	0	11245	3	0				0	
52719	0	0	0	0	0	0	0			0	0	
52951	2959	621	94	0	2733	489	0					
53051	323	0	0	0	325	2	0					
53752	85	23	0	0	62	0	0					
54049	1737	-775	780	0	1737	5	0					
54058	7067	1125	35	0	7457	1550	0				0	
54441	1694	54	5	0	1635	0	0					
54656	2595	105	71	0	2708	289	0			0	0	
54973	54127	12337	2984	0	53637	14831	0				0	
55336	2548	280	104	0	2542	378	0					
55635	1746	66	12	0	1686	18	0					
55653	712	0	13	0	713	14	0					
55970	5303	422	0	0	4912	31	0					
56258	2303	180	2	0	2121	0	0					
56351	12872	2250	258	0	11284	920	0				0	
56548	5168	0	48	0	5222	102	0					
56557	35186	-1846	830	0	37656	1454	0				0	
56717	8087	500	264	0	7582	259	0					
57040	1207	200	23	0	1026	42	0			0	0	
57451	4959	-600	713	0	4860	14	0					
58225	2500	45	54	0	2547	146	0					
58243	69770	0	9498	0	61993	1721	0				0	
58355	281	34	0	0	247	0	0					
58551	2214	225	89	0	2087	187	0					
58636	3100	210	71	0	3054	215	-20					
58757	709	0	17	0	740	48	0					
58971	91026	2300	4909	0	86784	2967	0				0	
59316	8280	1350	60	0	7634	764	0				0	
59352	3908	270	1	0	3883	246	0				0	
59370	2517	145	8	0	2446	82	0					
59754	121	8	4	0	127	18	0					
60143	663541	-7628	41602	0	711761	81785	-409			0	0	
60330	9046	1146	778	0	11104	3982	0			0	0	
60545	2186	991	11	0	2360	1176	0				0	
60554	912	128	5	0	788	9	0				0	
60648	3988	120	67	0	3892	91	0					
61122	10323	1187	834	0	9971	1669	0				0	
61355	11032	3598	306	0	10095	3392	425					
61476	1319	90	0	0	1229	0	0					
61757	3593	260	19	0	3314	0	0				0	
61832	2757	0	16	0	2845	104	0					
61953	404	-14	25	0	404	11	0					
62044	180	0	1	0	179	0	0					
62110	0	0	0	0	0	0	0					
62147	749	2	19	0	730	2	0					
62772	5701	425	86	0	5660	470	0					
63050	2302	280	14	0	2018	10	0					
63069	383072	14440	13982	0	379528	22311	-2567			0	4900	
63201	392	40	1	0	356	5	0					
63573	5901	265	42	0	5594	0	0					
63733	7797	712	234	0	7574	723	0			0	0	
63742	4026	0	90	0	3963	27	0					
63751	112	2	8	0	104	2	0				0	
64150	1727	0	2	0	1725	0	0					
64552	1291	184	1	0	1109	3	0				0	
64730	2061	0	27	0	2035	1	0					
65205	4371	420	3	0	4109	161	0					
65513	47	0	0	0	47	0	0				0	
65559	3330	310	0	0	3020	0	0				0	
65746	6457	0	5	0	6902	450	0			0	0	
65858	15597	1500	515	0	15018	1436	0				0	
66154	617	50	40	0	594	67	0					
66275	2800	315	249	0	2304	68	0					
66677	1404	45	0	0	1359	0	0				0	
67142	337	0	1	0	363	27	0					
67151	11368	638	97	0	10642	9	0					
67209	6732	772	22	0	6380	442	0					
67254	7	0	0	0	10	3	0					
67656	38652	23491	1879	0	37463	24181	0				0	
67870	3153	-571	278	0	3470	24	0					
68448	610	217	5	0	389	1	0					
68671	500	76	19	0	500	95	0					
68756	4235	625	162	0	4284	836	0			0	0	
68831	1057	117	29	0	1005	94	0				0	
68840	2041	306	0	0	1735	0	0					
69333	12336	540	198	0	12000	402	0			0	0	
69678	6246	0	88	0	6226	68	0					
70058	226	5	13	0	235	27	0					
70218	992	0	0	0	992	0	0			0	0	
70414	3052	259	11	0	2910	128	0					
70638	3032	563	174	0	2996	701	0					
70955	148	0	0	0	148	0	0					
71073	404	0	80	0	324	0	0					
71318	6559	850	338	0	5843	472	0				0	
71457	4836	180	14	0	4644	2	0					
71859	49	0	1	0	49	1	0					
72258	2557	90	27	0	2536	96	0					
72351	1246	0	32	0	1305	91	0					
72454	739	0	13	0	726	0	0					
72678	1867	0	165	0	1781	79	0					
73116	3778	-653	372	0	4140	81	0					
73152	928	18	8	0	908	6	0					
73554	2844	0	153	0	2763	72	0					
73956	633	0	83	0	610	60	0					
74056	952	21	3	0	928	0	0			0	0	
74140	8100	636	612	0	7700	848	0				0	
74403	4893	858	31	0	4236	232	0				209	
74449	83	0	0	0	83	0	0					
75053	2483	0	33	0	2467	17	0					
75259	5169	695	21	0	4815	362	0					
75446	2971	50	13	0	2936	28	0					
75455	679	0	1	0	678	0	0					
75558	3638	660	59	0	3347	428	0					
75633	686923	100838	75265	0	649868	139048	0			0	40419	
75651	576	45	7	0	567	43	0					
76153	401	18	53	0	418	88	0			0	0	
76443	797	3	7	0	799	12	0					
76854	4626	60	112	0	4454	0	0					
77150	676	145	0	0	531	0	0			0	0	
77253	1531	200	39	0	1391	99	0					
77422	1792	-114	154	0	1752	0	0					
77851	14863	905	640	0	13555	237	0			0	0	
78157	343	27	3	0	318	5	0					
78241	479	0	11	0	472	4	0					
78559	1006	-76	91	0	997	6	0					
79042	601	0	50	0	716	165	0				0	
79127	722	144	83	0	733	238	0				0	
79145	1745	0	3	0	1894	152	0					
79257	104	-64	12	0	162	6	0					
79855	997	0	3	0	1367	373	0					
80150	273	25	246	0	259	257	0					
80374	171	60	0	0	111	0	0					
80431	1074	111	41	0	1006	84	0					
80552	104	5	0	0	105	6	0					
80936	1356	0	16	0	1412	72	0			0	0	
81175	4020	-84	15	0	4462	373	0					
81429	1332	0	11	0	1352	31	0					
82033	2067	0	59	0	2074	66	0					
82257	653	262	5	0	482	96	0					
82350	277	0	1	0	295	19	0					
82659	880	210	1	0	1244	575	0			0	0	
83151	1091	6	77	0	1020	12	0					
83236	247	45	0	0	202	0	0					
83375	7300	619	261	0	6800	380	0					
83638	69471	1750	1553	45	72000	5787	0			5387	0	
83834	1360	48	23	0	1316	27	0			0	0	
83852	10	10	0	0	171	0	-171					
83955	621	186	15	0	478	58	0					
84046	204	-50	0	0	254	0	0					
84541	7891	2191	391	0	6701	1392	0					
84804	581	100	1	0	539	59	0					
85052	1055	90	0	0	980	15	0					
85258	1797	180	6	0	1612	1	0					
85454	1048	0	21	0	1122	95	0					
85472	16821	2984	824	0	15721	2708	0				0	
85931	2118	310	148	0	1816	156	0					
