"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONJH84	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	Total reciprocal deposits as of June	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	9291	0	4688	14014	0	23667	0	0	0	0	36272	0	551		17639	2194	2699	18979	35721	0	0	103	0	0	3334	9864	7198	3276	13198	0	864	0	252	6032	1116	0	0	0	864	0	true							
242	5736	0	669	9707	0	15203	0	0	0	0	20898	0	3764		4445	5743	1591	14534	17134	0	0	130	0	0	572	2449	1603	1130	3021	0	3664	0	0	1310	3664	0	0	0	3664	0	true							
279	40147	0	0	15884	0	53237	0	0	0	0	118366	0	0		30591	1668	13578	53237	118366	0	0	5281	0	0	12962	29725	25412	1606	42687	1544	3136	2166	0	39113	6846	0	0	0	4680	1493	true							
354	1614	0	94	3080	0	3080	0	0	0	0	5489	0	968		1636	949	0	2986	4521	0	0	0	0	0	581	2346	0	0	2927	0	0	0	0	1291	0	0	0	0	0	0	true							
457	6816	0	491	6475	0	9759	0	0	1253	0	28685	0	2959		5673	10723	2090	9268	25726	0	0	352	0	0	880	5445	2357	940	6325	0	1523	0	0	3950	1523	0	0	1253	1523	0	true							
505	229324	0	15544	33207	0	52830	0	0	0	0	388421	0	120113		19552	120166	4540	37286	268308	0	0	1403	0	0	7690	16161	6812	672	23520	2206	3872	1266	251	11784	7595	0	0	0	6078	0	false							
1155	1746	0	17320	45980	0	148047	0	0	0	0	69204	0	3687		29769	12990	8345	129509	65273	1218	244	2792	0	0	14482	13736	16238	1362	23619	1173	3874	3602	0	16049	8649	21336	8663	0	4135	0	true							
1351	6361	0	8284	19786	0	34188	0	0	0	0	95220	0	6134		35678	20790	8629	25904	89086	0	0	3602	0	0	11625	31673	15440	0	43298	500	6791	2040	0	23060	9331	0	0	0	7291	0	false							
1454	732	0	12836	198740	0	335539	0	0	0	0	302059	616	31388		36523	214719	25486	322703	270055	0	0	8900	0	0	18848	17200	14108	4103	30212	26105	2890	2412	942	17735	32349	0	0	0	7219	0	true							
1669	30553	1	22257	66853	0	138060	0	0	0	0	94585	0	353		24866	22314	9571	115774	94192	28	40	2289	0	0	9380	17773	6365	3439	26493	1329	2282	763	387	12092	4761	0	0	0	3611	0	false							
1856	1411	0	680	2974	0	5071	0	0	2550	0	57926	0	330		8898	23854	0	4391	36506	0	21090	0	0	0	8999	6687	8181	1389	15686	513	3892	3000	0	16359	7405	0	0	0	4405	15523	false							
2040	16437	4	5557	21567	0	51040	0	0	14335	0	97651	0	6321		24480	43236	3979	45234	90594	245	736	940	14335	3996	4965	9271	15949	2838	14236	1335	3300	320	0	8542	4955	13656	15071	0	4635	746	true							
2161	29934	0	1358	35512	0	74957	0	0	0	0	63280	0	642		9213	9070	7121	73599	62638	0	0	0	0	0	3897	9895	3281	258	13792	3202	2719	768	256	8118	6945	819	817	0	5921	0	true							
2376	785182	0	75860	31528	0	213183	0	0	462130	0	2739816	0	440494		447871	715286	124459	135114	2181745	2209	117577	48140	462130	462130	161337	565354	246671	45252	723566	42811	131370	36750	9802	570743	220734	0	0	0	173874	102214	true	11167	17274	295262	283455	362530	112986	
2554	2646	1	266	4	0	5435	0	0	0	0	5815	0	504		205	0	0	5168	5311	0	0	0	0	0	907	1793	330	138	2700	0	0	0	0	2964	0	0	0	0	0	0	false							
2732	55906	0	7918	127250	0	172428	0	0	6920	0	316362	0	11260		39079	121797	11252	164510	305102	0	0	3321	6920	6920	15998	35833	14448	3461	51541	32092	26300	9728	799	30661	68919	0	0	0	58392	0	false							
2750	13548	0	2897	4869	0	13350	0	0	0	0	32901	0	6929		8442	552	1252	10453	24480	0	1492	107	0	0	2630	5546	7619	362	7950	0	1633	1011	0	7715	2644	0	0	0	1633	1492	true							
3252	14089	0	57962	28797	0	87728	0	0	12959	0	82408	0	28005		11281	14249	5276	29666	52919	100	1484	0	12959	12123	16291	9514	4242	5758	25805	10259	6397	1234	375	24524	18265	3320	3367	0	16656	248	false							
3458	2534	0	3346	5092	0	12217	0	0	2000	0	33127	0	5474		10813	3066	1094	8871	27653	0	0	147	2000	1000	1910	11797	8394	1515	12707	0	1851	2060	0	12803	3911	0	0	0	1851	0	false							
3720	40620	0	20428	45398	0	121457	0	0	0	0	95612	0	3111		19700	7804	5243	101029	92501	0	0	1540	0	0	9090	18738	1966	6	27825	4949	11641	797	0	10100	17387	0	0	0	16590	0	true							
3971	101918	0	57	22574	0	38728	0	0	75887	0	554641	0	10914		123616	243307	18922	38671	495461	0	48266	5938	75887	67284	23707	86158	52303	24546	109865	4039	11201	3541	3921	63098	22702	0	0	0	15240	2379	true							
4156	22479	0	12614	45458	0	91966	0	0	12881	0	94882	0	13043		18366	26383	4285	79352	77854	0	3985	1604	12881	12881	11744	16858	10322	3010	28602	752	2995	339	0	23568	4086	12881	13795	0	3747	4979	true							
4231	17294	0	9809	25688	0	40419	0	0	0	0	53488	0	1568		14052	5673	11653	30610	51920	0	0	6583	0	0	3409	11580	6802	5505	14989	0	890	532	1804	13243	3226	0	0	0	890	0	true							
5069	31743	0	0	61378	0	64569	0	0	70936	0	221174	0	494		44883	23359	955	64569	182843	0	37837	480	70936	37713	17574	62837	40919	4191	80411	13539	20298	2016	4698	80638	40551	0	0	0	33837	22571	false							
5135	19388	0	32285	60717	0	119431	0	0	67379	0	286661	0	12072		112898	50624	15943	87131	198824	15	75765	8063	67081	67081	92343	86975	7974	421	179318	6626	20464	1848	0	74813	28938	0	0	298	27090	8136	true							
5210	714996	3	42217	68047	0	115885	0	0	0	0	1243648	0	102265		203118	166113	61424	73665	1141148	0	235	18087	0	0	53910	127463	108794	13808	150482	8657	29728	18096	2083	100857	58564	0	0	0	34220	4332	true	23041	24957	104328	61785	437405	137346	
5461	343882	0	9924	47528	0	58419	0	0	0	0	546989	0	16056		7125	171897	3140	48495	530933	0	0	1836	0	0	5585	8515	2507	415	14100	3585	10603	0	0	9897	14188	70036	59194	0	14188	0	true							
5751	10000	1	3655	24755	0	46841	0	0	3556	0	113072	0	18554		18427	56927	9078	43185	91935	0	2583	4238	3556	1586	11835	13722	12408	1719	25557	2681	2009	1771	0	21257	6461	0	0	0	4690	0	true							
6039	37574	0	11702	99800	0	118553	0	0	0	0	123950	0	4954		40490	16745	11730	106851	118996	0	0	2300	0	0	14876	34263	15752	564	49138	254	1803	2119	0	24964	4176	0	0	0	2057	99	false							
6329	56170	0	12052	223045	0	275373	0	0	11304	0	394809	0	8247		96425	65531	13098	263321	386562	0	0	3297	11304	5690	50949	125962	44512	4495	176911	10113	26737	9701	639	129493	47190	0	0	0	36850	23453	false							
7009	0	0	0	154997	0	154997	0	0	0	0	411918	0	0		0	411918	0	154997	411918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false							
7045	24699	0	13481	22663	0	112491	0	0	0	0	74636	0	5512		20424	15860	6085	99010	69124	0	0	255	0	0	2019	8296	17032	3205	10315	263	251	3011	0	10128	3525	0	0	0	514	0	true							
7072	69973	0	1346	43637	0	64910	0	0	3456	0	190945	0	12311		44766	35102	17702	63564	178634	0	0	4602	3456	2478	14428	30593	20280	5795	45021	0	11084	2811	879	26331	14774	0	0	0	11084	0	true							
7456	23477	0	17595	18639	0	39584	0	0	0	0	43325	0	1616		11653	0	2335	21989	39975	0	1734	0	0	0	3454	8118	5776	551	11572	0	1698	251	0	6246	1949	0	0	0	1698	1734	true							
7634	7681	0	2199	11869	0	17548	0	0	0	0	41113	0	161		12470	882	6173	15349	40852	0	100	4054	0	0	4141	18024	2768	732	22165	2548	3249	1087	0	13195	6884	0	0	0	5797	0	false							
8033	26448	0	2154	62074	0	97688	0	0	0	0	131430	0	961		39639	86	6311	95534	106510	0	23959	3024	0	0	14426	39584	29356	8016	54010	1029	7577	3512	1396	51743	13514	0	0	0	8606	23959	true							
8462	1377	0	8742	64856	0	107713	0	0	0	0	40025	0	8822		7103	5865	3402	98720	31203	251	0	1261	0	0	8126	10113	899	0	17478	10377	3268	0	0	12035	13645	0	0	0	13645	0	true							
8631	18394	0	399	16617	0	22306	0	0	0	0	35373	0	993		8063	2953	2686	21907	34380	0	0	1055	0	0	3225	4486	2647	1997	7710	1107	254	312	0	4290	1673	0	0	0	1361	0	true							
9357	115841	202	0	39399	0	45553	0	0	7710	0	312464	7442	0		1351	191536	1576	45351	305022	0	0	457	7710	7710	781	1298	178	202	2079	1228	1400	0	0	1108	2628	7702	7229	0	2628	0	true							
9553	17744	0	14343	18656	0	42951	0	0	3833	0	59860	0	3900		14060	8771	5973	28608	51500	0	4460	0	3374	3125	4487	17276	7274	250	21763	289	2586	1184	0	15227	4058	0	0	459	2875	2729	true							
9807	492805	0	26949	116115	0	166916	0	0	0	0	1780169	0	390867		83187	855597	72753	139967	1389302	0	0	2726	0	0	37044	133415	124958	2705	170459	80965	48206	3763	710	214936	133644	10600	10600	0	129171	187060	true	7573	12658	459150	396447	293435	199370	
9955	11841	30	3528	22275	0	40319	0	0	4471	0	69548	0	20395		7230	41240	1151	36761	49153	0	0	0	4471	4471	7821	5858	2428	360	9208	0	0	0	0	9237	0	0	0	0	0	0	true							
10250	147412	0	755	31070	0	55396	0	0	0	0	340483	0	7416		44356	104975	29732	54641	332570	0	497	12298	0	0	12196	20279	35661	3063	32475	2352	5235	7848	1462	26844	16897	2159	12944	0	7587	746	true							
10849	65977	0	3464	11230	0	27892	0	0	0	0	216934	0	45263		46237	22211	8794	24427	171671	1	0	2365	0	0	23087	53370	28444	538	70793	3994	14774	4540	0	59201	23308	0	0	0	18768	5119	false							
11145	34119	0	45215	54277	0	117441	0	0	1069	0	104192	0	12312		17234	28291	7655	72061	91880	165	0	4018	0	0	2361	5517	15744	4796	7878	324	1606	9833	1602	11185	13365	0	0	0	1929	0	true							
11640	180279	8	5881	14360	0	27297	0	0	0	0	287826	0	42743		34399	26612	18183	21408	245083	0	0	9959	0	0	9759	24792	17688	10654	34541	3624	6636	4752	3031	28494	18043	0	0	0	10260	0	true							
11837	5225	1	14563	8833	0	33425	0	0	5152	0	38643	0	185		13014	6752	2725	18861	38458	0	0	648	0	0	4598	7236	4317	4472	11834	5152	262	629	0	7609	6043	0	0	5152	5414	0	true							
12030	38419	0	17154	89315	0	128211	0	0	0	0	178283	0	1525		54777	47908	18769	111057	176558	0	200	1269	0	0	19428	49515	13573	3417	68943	667	4030	1037	289	31156	6023	0	0	0	4697	0	false							
12142	29653	0	12081	60638	0	114636	0	0	0	0	77994	0	3281		20527	12409	7513	102555	74713	0	0	1790	0	0	14827	13098	1494	0	25042	1182	5331	0	0	8892	6513	0	0	0	6233	0	true							
12179	6204	0	3	7437	0	10568	0	0	0	0	23820	0	504		7165	7478	1558	10565	23316	0	0	399	0	0	892	3442	4045	1255	4334	504	0	0	0	2469	504	0	0	0	504	0	true							
12311	9951587	42	1015306	4544730	0	8188007	0	0	3520214	0	76325850	0	4693227		4339726	59328261	681748	7164319	71621251	8340	11372	126167	3520214	3509966	423702	2109801	3378925	115097	2533503	185173	279630	549275	4400	1687799	1018477	1483217	100	0	464803	0	true	577822	475074	22244014	34707274	598038	9338560	
12647	24815	0	1614	40150	0	49511	0	0	9768	0	90189	0	5423		14188	31957	4850	47897	84766	0	0	817	9768	3091	5207	10328	5312	0	15535	1436	4457	6677	0	6659	12570	0	0	0	5893	0	false							
12656	2226	0	665	4059	0	6197	0	0	0	0	8705	0	1271		2726	1163	876	5532	7434	0	0	225	0	0	1190	2001	1663	462	3191	0	0	0	0	2590	0	0	0	0	0	0	true							
12937	11498	0	1473	38627	0	52380	0	0	5930	0	108244	0	982		7807	32257	4524	50172	107016	735	246	3155	5930	5930	8445	11816	2423	151	20261	25671	11680	784	3519	15028	41654	5930	5930	0	37351	0	true							
12946	66087	17	110845	97086	0	302845	0	0	28426	0	973884	0	311190		133216	350184	48288	191983	662694	0	0	21745	0	0	53462	142641	68223	15214	194797	78491	143688	52214	3680	146324	278073	14323	24333	11404	221857	0	true	30792	26099	157908	77540	59859	6228	
13103	484016	0	34518	95805	0	218547	0	0	40166	0	1535572	0	342806		182733	671368	66616	183660	1191406	369	1360	23998	40166	15000	46198	92007	107165	26543	138205	33748	43335	25793	5400	89179	108276	0	0	0	77083	0	true	8874	75309	314037	134785	178493	184515	
13251	3613	0	1720	7656	0	13219	0	0	0	0	28228	0	1338		6399	17597	1220	11499	26890	0	0	0	0	0	1685	4399	935	0	5664	0	0	0	0	620	0	0	0	0	0	0	true							
13457	3191	0	504	4341	0	7340	0	0	0	0	9298	0	794		2175	1448	1099	6836	8504	0	0	0	0	0	1091	1890	718	0	2981	397	562	0	0	1524	959	0	0	0	959	0	false							
14052	10020	0	2125	15559	0	22992	0	0	0	0	30221	0	3666		4742	11254	2373	20867	26555	0	0	813	0	0	1701	4343	1191	0	6044	0	593	1119	0	2493	1712	0	0	0	593	0	true							
14155	20093	0	6995	44921	0	86668	0	0	8171	0	93440	0	10298		14820	33354	6213	78447	83135	1226	7	2527	0	0	4316	15232	7887	2082	19548	2000	3494	3400	1582	14697	10476	30676	39517	4000	5494	0	true							
14650	7443	0	2783	9146	0	14055	0	0	0	0	13157	0	107		2980	1019	1059	11272	13050	0	0	247	0	0	1256	2241	826	0	3497	0	372	0	0	1343	372	0	0	0	372	0	false							
14753	14590	0	939	13895	0	13895	0	0	0	0	24886	0	2194		6803	0	2966	12956	22692	0	0	753	0	0	2034	7160	330	10	9194	500	262	0	0	2731	762	0	0	0	762	0	false							
14865	80767	3	20473	189209	0	189209	0	0	0	0	166681	0	14857		21771	45295	11119	168733	151719	0	105	3092	0	0	18196	11181	6154	2420	25586	1091	1010	567	0	16180	2668	32860	40387	0	1822	0	true							
14977	5180	0	0	7765	0	11604	0	0	0	0	29625	0	0		8129	1318	3320	11604	29625	0	0	1229	0	0	3533	9782	4348	344	13310	500	4620	0	0	9878	5120	0	0	0	5120	0	false							
16551	44336	0	7168	62680	0	106855	0	0	7016	0	169550	0	12632		57200	42754	24338	98899	156918	788	0	7347	7016	99	8516	22938	32016	7907	31454	2044	2278	5663	1097	14177	11082	0	0	0	4322	0	true							
16748	16638	0	2978	22749	0	27898	0	0	0	0	44199	0	1409		10611	8814	3421	24920	42790	0	0	1198	0	0	1850	5320	8731	870	6987	567	884	525	0	6161	1976	0	0	0	1451	0	false							
17110	0	0	0	0	0	0	0	0	0	0	99818	0	6544		16142	0	6552	0	93274	0	0	3747	0	0	51232	0	0	0	51232	48588	0	0	0	35090	48586	0	0	0	48588	0	false							
17147	4497559	0	85109	342142	0	544687	0	0	513219	0	7146033	0	1250748		947506	1098813	155831	459078	5895285	500	0	31621	513219	344022	343701	512531	378710	61660	848948	95049	93779	57845	6386	349096	253059	7674	10913	0	188828	0	true	1663	48163	657997	313940	1778592	2397202	
17259	11954	0	1717	10685	0	17309	0	0	0	0	31674	0	3564		9576	1567	4640	15592	28110	0	0	1864	0	0	3393	7021	4145	619	10414	0	1643	827	505	5602	2975	0	0	0	1643	0	false							
17950	62247	278	30839	85040	0	165335	0	0	54472	0	284577	261	45813		32117	133660	11363	134218	215984	0	22519	4833	34652	19820	13703	26992	10943	2832	40632	16368	15278	2554	0	22353	34200	34652	32778	19820	31646	0	true							
17978	56496	0	0	3196	0	29889	0	0	0	0	157937	0	934		49652	3648	34389	29889	144981	0	12022	15100	0	0	12146	34262	12742	17151	46408	1857	16014	0	3622	26648	21493	0	0	0	17871	0	true							
18050	76360	0	48895	178924	0	248356	0	0	0	0	237199	0	5246		42885	49689	10844	199461	231953	0	0	3323	0	0	20274	34547	19198	1926	53218	7887	10690	16116	514	33059	35207	0	0	0	18212	0	false							
18135	30156	0	0	104089	0	120189	0	0	24393	0	131369	0	13095		11842	61294	3718	120189	117048	0	1226	693	24393	24393	3574	7418	4454	1612	10636	12303	6525	4033	0	5215	22861	24393	23623	0	15828	0	true							
18827	263214	0	152178	342985	0	595986	0	0	156	0	534289	0	100103		69995	111996	21953	441999	433839	1809	347	4829	156	0	15894	36744	35212	13398	52638	35214	14702	5630	2284	31254	57831	0	0	0	49916	0	true	35692	48189	21280	59110	4438	238284	
18836	17442	0	1768	29320	0	39944	0	0	0	0	90280	0	2716		36203	13431	13213	38176	87564	0	0	4655	0	0	17683	17147	12554	8780	31403	766	1130	783	563	19962	3242	2558	2555	0	1896	0	true							
18854	68236	0	28298	257589	0	287424	0	0	36	0	377753	0	31901		28866	105788	3163	259126	292474	0	53378	1171	36	36	24739	94366	28975	1181	118341	9857	33353	10752	506	120395	54468	96971	123176	0	33481	53378	true							
19356	8875	0	5659	22184	0	39712	0	0	13146	0	43463	0	775		9295	5973	1563	34033	29542	20	13146	0	0	0	2235	6489	4436	532	8449	2002	2516	8097	2308	4397	14923	0	0	4002	4518	0	false							
19936	15730	0	30915	55695	0	148011	0	0	0	0	124044	0	12022		19135	61506	8844	117096	112022	0	0	4087	0	0	6563	17178	9153	4999	23721	706	3014	3769	1426	18758	8915	0	0	0	3720	0	true							
19972	71901	0	0	0	0	0	0	0	0	0	71901	0	0		0	0	0	0	71901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false							
20053	12533	0	1621	20026	0	31630	0	0	7603	0	54154	0	3731		25326	3694	7530	30009	50423	0	0	978	7603	3156	11373	9039	11437	1107	20412	1325	2019	1625	0	7632	4969	3104	2596	0	3344	1741	true							
20633	55673	0	25906	24761	0	124487	0	0	0	0	127294	0	877		28294	13215	11498	98576	126417	5	0	3561	0	0	6566	14422	22642	8017	20988	286	1854	4098	521	23353	6759	5264	5668	0	2140	2920	true							
20857	9216	0	8293	19418	0	46312	0	0	0	0	55671	0	8836		4726	36125	2344	38019	46835	0	0	0	0	0	1943	4885	1563	340	6828	538	262	801	0	4003	1601	0	0	0	799	0	true							
21256	1073	0	2791	2777	0	6207	0	0	0	0	3746	0	309		1072	548	1557	3416	3437	0	0	827	0	0	158	290	694	157	448	0	0	0	827	226	827	0	0	0	0	0	true							
21359	12661	0	2189	10951	0	17546	0	0	0	0	27516	0	1411		4067	8596	3697	15357	26105	0	0	0	0	0	2059	3319	795	86	5378	0	0	0	0	2192	0	0	0	0	0	0	true							
21658	23349	6	3982	19820	0	64244	0	0	1	0	81834	0	1613		32500	8159	15794	60256	80221	0	0	5226	1	1	15927	11942	12728	3828	27869	3477	302	513	1609	11925	5901	0	0	0	3779	0	true							
22048	21849	0	14820	80785	0	80785	0	0	9542	0	98231	0	15992		22269	0	6568	65965	82239	0	0	2882	9542	7843	17109	23150	12948	90	40259	12497	8163	2425	0	31028	23085	0	0	0	20660	0	true							
22543	18834	48	6640	35809	0	70383	0	0	0	0	47089	0	3443		7433	14454	2912	63695	43646	0	0	1128	0	0	1154	5017	4276	1278	6171	0	1406	670	0	4292	2076	0	0	0	1406	0	true							
22552	13832	0	2923	15751	0	29470	0	0	5456	0	47214	250	4279		16173	3852	3444	26547	42685	0	0	452	4456	0	2829	10731	14405	16	13560	263	285	1000	0	11810	1548	0	0	0	548	498	true							
22730	192	0	17001	63888	0	95245	0	0	0	0	70532	0	7041		10902	53905	3280	78244	63491	0	0	676	0	0	4371	4344	3746	2261	7959	836	0	877	0	3821	1713	0	0	0	836	0	true							
22936	14231	0	3385	59196	0	80700	0	0	0	0	90019	0	1030		20158	33962	6617	77315	88989	0	0	1756	0	0	4127	17037	11435	30	21164	539	4375	4283	0	12471	9197	0	0	0	4914	0	true							
23456	19112	0	7092	23732	0	82362	0	0	0	0	93462	0	10999		35342	11916	13514	75270	82463	0	0	4305	0	0	5953	18410	20600	7734	24363	6226	2218	1038	255	17355	9737	0	0	0	8444	0	true							
23504	1505562	0	17524	425925	0	457246	0	0	276442	0	3167460	0	466347		122235	1333806	16695	439722	2701113	0	0	4736	226203	226203	32224	145520	19828	5993	177744	32866	36002	33933	21726	81330	124527	4798	5907	8914	68868	8755	true	48145	5649	404400	579018	438597	705201	
23643	13843	0	18184	37040	0	78916	0	0	0	0	94367	0	10016		28510	2240	6427	60732	84251	0	100	1699	0	0	9477	28830	17578	0	38307	5142	10477	4546	2234	27375	22399	0	0	0	15619	0	false							
23755	56453	46	7671	45966	0	88585	0	0	0	0	90964	32	6925		11401	13574	5899	80868	84007	0	0	1529	0	0	4052	6959	4496	1905	11011	0	375	3149	0	6011	3524	0	0	0	375	0	false							
24006	429503	2	12497	132142	0	324721	0	0	60000	0	905858	0	24193		170541	79266	58246	312222	881665	0	0	14811	60000	30000	40955	120625	106963	69655	161578	5084	14711	8590	30510	167655	58895	0	0	0	19795	0	true	46768	90775	53878	25388	358857	39642	
24378	19638	0	0	7283	0	12411	0	0	0	0	41874	0	501		16098	63	6549	12411	41373	0	0	1575	0	0	2982	4428	7989	6475	6282	299	0	0	0	5776	299	0	0	0	299	0	false							
24453	18120	0	1665	93051	0	111647	0	0	12583	0	170172	0	11258		18561	111203	4020	109982	157917	0	997	2945	12583	5896	2515	11976	9597	3908	14491	6947	3385	2520	0	9436	12852	500	500	0	10332	997	true							
24659	23889	0	1090	13906	0	23655	0	0	0	0	33632	0	1509		5642	669	2989	22565	32123	0	0	1296	0	0	4248	2507	1576	155	3863	330	257	0	0	2845	587	0	0	0	587	0	true							
24668	261726	0	27592	80038	0	90065	0	0	0	0	1267103	0	141526		70735	561793	36400	61860	1118957	613	6620	22203	0	0	153240	49728	23935	2423	116598	137279	51123	25857	0	158590	214259	147421	198551	0	104405	0	false							
24949	46998	0	8665	91605	0	137914	0	0	0	0	199306	0	3963		64921	59836	13431	129004	195343	245	0	2848	0	0	14289	38114	33945	348	52261	1280	3283	954	259	21775	5776	3765	3884	0	4563	0	true							
25357	14330	0	9258	50789	0	199107	0	0	10112	0	159300	325	7337		46661	45484	9153	189849	151638	0	0	3798	10112	10112	23276	49506	12277	4960	72782	761	5688	2251	767	43358	9467	0	0	0	6449	0	true							
25647	10931	0	0	15443	0	16405	0	0	0	0	94097	0	33		20456	6175	5376	16405	71274	0	22790	2707	0	0	5381	24705	35905	3698	30086	828	2198	2732	1544	49233	7302	0	0	0	3026	22790	false							
26176	44560	0	982	23675	0	36979	0	0	36934	0	245679	0	18472		36727	32548	4806	35997	222411	0	4796	1875	36934	35288	18152	102339	30508	1385	110567	7472	1742	5968	1005	115657	16187	32396	32808	0	9214	12429	true							
26242	206570	0	48445	63430	0	121526	0	0	0	0	310129	0	7203		36183	33252	12981	73081	302926	0	0	3070	0	0	15007	37754	7941	457	52761	1290	4693	3164	0	24975	9147	0	0	0	5983	0	true							
26457	2783	0	1619	4672	0	8326	0	0	0	0	17829	0	4024		3621	8556	477	6707	13805	0	0	0	0	0	1568	3099	1088	234	4667	0	501	0	0	2368	501	0	0	0	501	0	true							
26765	11437	0	10249	155830	0	213981	0	0	0	0	261106	0	13285		8938	183797	2469	203330	247821	402	0	1291	0	0	6235	18619	8399	2113	24854	4380	16843	7710	1573	26428	30506	0	0	0	21223	0	true							
27070	175657	0	1414	42103	0	42103	0	0	0	0	413285	0	6077		132188	0	57759	40689	406479	0	729	17294	0	0	67355	92781	48792	2831	149198	6624	11788	5370	2087	79571	25869	0	0	0	18412	0	false							
27548	247668	0	25593	77709	0	198528	0	0	59062	0	488896	0	42447		35943	145599	17237	166361	439824	6574	6625	358	59062	59062	11421	23398	26851	8605	34819	4933	14055	5597	768	34332	25353	36278	73082	0	18988	6387	true							
27614	71760	0	2170	81001	0	160975	0	0	0	0	182747	0	34286		36767	40377	18905	158805	148461	0	0	5341	0	0	8668	13814	22239	7840	19778	9272	4031	3685	1060	15795	18048	0	0	0	13303	0	true							
27847	53116	0	29306	97585	0	158514	0	0	4014	0	352738	0	34516		111981	32397	31266	129208	305080	0	13142	13923	0	0	32540	71445	106749	5323	103985	10896	22416	17009	845	104076	51166	0	0	4014	33312	13142	true							
28013	527470	0	141176	119029	0	250170	0	0	199945	0	2919517	0	165094		530467	1337115	94272	108994	2754423	0	0	38130	199945	116659	205077	449415	172211	79167	654492	50726	68302	25123	4910	375403	149061	0	0	0	119028	0	true	51859	57135	1163609	173506	525539	1931	
28152	26625	0	3856	28167	0	44864	0	0	1505	0	78908	0	10663		17398	29208	7692	41008	68245	0	0	1560	0	0	3339	8738	9356	1135	12077	0	507	0	0	5170	507	1505	801	1505	507	0	true							
28255	39062	0	33145	96408	0	246209	0	0	0	0	127321	0	2411		13506	30395	2188	212848	124805	216	105	484	0	0	7030	20819	5887	1566	27849	5951	8479	8133	0	21796	22563	0	0	0	14430	0	false							
28406	206705	0	3589	92686	0	152495	0	0	360149	0	2038597	0	161704		444117	989277	44945	148906	1795906	0	80987	20460	360149	360149	168921	267247	214372	25401	436167	12526	66748	79211	8190	231823	166675	0	0	0	79274	78044	true	19852	36054	411791	577485	179262	27443	
28675	13982	0	11262	28811	0	29799	0	0	28568	0	82129	0	8204		41520	16137	4809	18537	73925	0	0	1140	27568	9161	5687	14031	17277	10265	19718	1000	2257	990	503	5740	4750	0	0	1000	3257	0	false							
28732	18252	0	2344	28313	0	35430	0	0	0	0	52142	0	7769		8131	15921	3301	33086	44373	0	0	1119	0	0	3311	6898	4455	5	10209	300	2496	505	0	6538	3301	0	0	0	2796	0	false							
