"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONJH84	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	Total reciprocal deposits as of June	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
959304	1670248	0	84009	79732	0	259832	0	0	337601	0	4457383	0	715800		714756	1224427	70430	175823	3730424	0	11159	19026	329883	208125	169814	572120	427529	42013	741934	48389	163389	131453	8001	496720	351232	0	0	7718	211778	0	true	16257	56989	531551	692876	558957	325666	
959443	9705	122	7212	21105	0	52981	0	0	34657	0	105260	0	3414		20023	1265	11421	45647	101846	0	0	8147	34657	10575	6829	18171	11356	7148	24820	3884	9810	21721	15370	23481	50786	0	0	0	13694	0	true							
959630	2328	0	140	6686	0	9433	0	0	0	0	11505	0	132		3500	1399	410	9293	11373	0	0	101	0	0	1141	5479	554	99	6620	0	504	0	0	3773	504	0	0	0	504	99	false							
959715	0	0	0	327300	0	327300	0	0	8378	0	109679	0	0		1829	7044	0	25372	8378	301928	101301	0	8378	7044	8684	8848	50455	25698	17532	1062	1387	1500	5000	91857	8949	0	0	0	2449	92633	false							
960047	14588	0	5320	13640	0	22615	0	0	0	0	36547	0	4275		13212	675	3092	17295	32272	0	0	956	0	0	2213	6513	4980	2142	8726	2525	2500	410	0	2636	5435	0	0	0	5025	0	false							
960533	4739	0	9636	23590	0	28641	0	0	0	0	23128	0	1126		7103	5352	3728	18795	22002	210	0	1102	0	0	3175	2167	2972	4722	5342	0	0	0	0	5932	0	0	0	0	0	0	false							
960551	5087	0	1772	4138	0	11472	0	0	0	0	14934	0	3131		3459	4782	1344	9700	11803	0	0	246	0	0	1957	1801	660	0	3758	0	300	347	0	960	647	0	0	0	300	0	true							
960560	21	0	997	25614	0	26685	0	0	0	0	137359	0	0		1177	96184	0	25688	101763	0	35596	0	0	0	14269	4520	16656	136	18788	0	4414	1158	0	34403	5572	0	0	0	4414	30034	false							
960935	54919	0	16477	47736	0	60010	0	0	11076	0	936225	0	94150		116011	624482	51074	43533	839838	0	2237	20964	11076	11076	29940	86142	60587	23791	115748	5118	27626	21307	2313	84449	56364	0	0	0	32346	2237	true	0	0	0	624482	0	54919	
961259	383600	1	8568	39166	0	80207	0	0	0	0	472920	0	60336		23718	10915	13048	71237	412584	401	0	4097	0	0	10082	16720	7683	2193	26802	8446	23439	9501	341	12961	41727	0	0	0	31885	0	true							
961343	50528	0	7472	67714	0	105810	0	0	0	0	110697	0	17585		22606	24540	5221	98338	93112	0	0	876	0	0	4864	9060	13551	1981	13924	624	1273	4276	0	6850	6173	0	0	0	1897	0	true							
961400	132908	0	1640	102296	0	138688	0	0	0	0	197360	0	843		32681	7097	16904	137048	196517	0	0	4986	0	0	4903	11549	23492	7764	16452	1803	271	6565	1008	15027	9647	0	0	0	2074	0	true							
961446	19169	0	1616	25219	0	29553	0	0	0	0	61611	0	3781		20827	1608	4561	27937	57680	0	150	2508	0	0	2870	9687	15736	8042	12557	0	779	2622	1098	15508	4499	0	0	0	779	0	false							
961576	774314	0	1060	65688	0	680453	0	0	0	0	1275680	0	9341		166807	154055	66727	679393	1266339	0	0	21178	0	0	88755	115385	66864	27352	204139	9529	25812	9537	4077	131549	48955	0	0	0	35341	0	true	26723	595322	7034	144348	450123	319744	
961624	4597474	0	76661	484156	0	682679	0	0	436902	0	5952881	0	164573		757697	0	265277	591674	5695693	14344	92615	51357	434593	225351	112622	571699	304071	182597	684062	27205	87609	51354	18250	413293	184418	0	0	0	114814	1734	true	77975	63093	0	0	3171552	1425922	
961811	32447	0	5198	15912	0	22995	0	0	0	0	269769	0	15625		40551	120237	12455	17797	234291	0	19853	4246	0	0	11355	34893	21300	10266	46248	1331	5338	20420	12182	37263	39271	2277	2274	0	6669	4962	true							
962256	19740	0	948	24250	0	39345	0	0	10454	0	107136	0	14775		27318	33570	3541	38397	88566	0	3795	782	9323	2101	7384	16017	13453	4426	23401	1641	9783	1122	0	13962	12545	3330	3324	1131	11423	3795	true							
