"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
978622																																	0	0	3521	0	18400	true	0	0	0	0	0	0	351	0	0	0	false	0	0	0	3521	12379	2500	0	0	0	0	0	0	0	0	true	false																			0	0			true	true	false	false																						https://www.marsbank.com	
979133																																	697	537	1500	697	1500	true	0	537	0	0	0	0	82	0	1031	0	false	0	0	0	1500	0	0	0	0	0	0	0	0	0	0	false	false																			0	0			true	false	false	false						www.kasasa.com																www.flanaganstatebank.com	
979151																																	0	83	34	0	1358	true	0	83	0	0	0	0	1229	0	0	0	false	0	0	0	34	831	0	493	0	0	0	0	0	0	0	true	false																			0	0			false	false	false	false																						www.auburnstatebank.com	
979357																																	0	0	0	0	0	true	0	0	0	0	0	0	252	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	1320	0	false	false																			0	0			false	false	false	false																						www.kahokastate.com	
979375																																	7396	0	148000	6496	338000	true	900	0	0	0	0	0	0	0	7086	0	true	0	0	0	148000	22000	11000	157000	157000	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true	true	false	false	false		1	132	8889	0																	www.sterlingbank.com	
979629																																	0	224	0	0	0	true	0	27	0	197	0	0	596	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false																			0	0			false	false	false	false																						http://www.1stnatbk.com	
979759																																	0	1116	0	0	0	true	0	0	0	790	0	326	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false																			0	0			true	false	false	false																						www.kcnb.com	
980438																																	0	619	8000	0	21000	true	0	0	0	619	0	0	2916	2	0	0	false	0	0	0	8000	12000	1000	0	0	0	0	0	0	0	0	true	false																			0	0			true	false	false	false																						http://wwwfsbforrest.com	
980531																																	321	1664	35000	0	38489	true	321	0	0	1664	0	0	11582	3	0	0	true	0	0	0	35000	0	0	3489	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			false	false	false	false																						http://www.jdbank.com	
980661	13196	329	0	13196	34	true	0	124711	12	22002	0	true	230383	0	0	0	0	0	0	0	0	34	0	34	0	0	0	0	0	0	0	0					34			0	0	329	0	0								0										0		true	true			0	0	0	0	0	0	0	0	0		0	0	0	0	0						true	false	false	false	true	1	3233	107877	0	http://      N/A		http://      N/A		http://      N/A		http://      N/A		http://      N/A		http://      N/A		http://      N/A	http://      N/A	http://      N/A	http://      N/A	http://www.fhb.com	
