"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	10517	0	5231	18142	0	29017	0	0	0	0	34579	0	390		15911	1945		23786	34189	0	0	226	0	0	2669	9786	6840	1675	12455	0	516	258	372	5059	1146	0	0	516	0								
242	6883	0	651	9916	0	15660	0	0	0	0	23090	0	4051		4841	5482		15009	19039	0	0	143	0	0	879	3042	1982	983	3921	3063	0	256	520	2045	3839	0	0	3063	0								
279	55318	0	763	33712	0	86013	0	0	0	0	143009	0	1043		30677	10586		85250	141966	0	0	6670	0	0	10454	26888	26265	2852	37342	2090	4278	4278	0	35783	10646	0	0	6368	0								
354	1781	0	111	8225	0	8225	0	0	0	0	6347	0	937		1573	1906		8114	5410	0	0	0	0	0	692	1659	50	0	2351	0	259	0	0	828	259	0	0	259	0								
457	7084	0	493	9772	0	12626	0	0	0	0	30343	0	3576		6338	12836		12133	26520	0	247	977	0	0	1610	4743	2637	651	6353	0	503	279	0	3303	782	0	0	502	247								
505	259986	755	9047	80518	0	87470	0	0	19995	0	500440	0	121691		19469	181017		77668	378749	0	0	817	0	0	9571	14489	5667	449	23759	24130	4631	500	0	10707	29261	30080	19995	28761	0								
1155	1042	1	13502	45259	0	172307	0	0	0	0	76272	0	3052		27479	21080		158549	73220	255	0	2548	0	0	10860	25375	5887	925	33379	3879	5573	1651	0	15567	11103	10266	0	8778	0								
1351	9839	0	9819	24505	0	43232	0	0	0	0	111339	0	11994		37656	24947		33413	99345	0	0	4589	0	0	10686	31119	20933	0	41805	934	7398	5484	0	25081	13816	0	0	8332	0								
1454	935	0	39060	257905	0	417802	0	0	0	0	360197	595	54519		34295	271595		378742	305083	0	0	9595	0	0	19024	17769	8245	5978	30498	31144	2358	668	2480	16722	36650	1011	0	8505	0								
1669	38126	17	26620	85323	0	164422	0	0	0	0	116419	0	358		25058	25803		137756	116021	29	40	2349	0	0	9117	21765	6539	4053	29844	4186	4521	1066	1244	16417	11017	0	0	8706	0								
1856	1709	0	1373	3457	0	6793	0	0	0	0	40485	0	3382		4325	14917		5420	23675	0	13428	0	0	0	2487	13364	2482	247	15851	0	5279	0	0	14254	5279	0	0	5279	8002								
2161	37020	0	3216	59085	0	104347	0	0	0	0	90127	0	6829		8004	26800	7450	101131	83298	0	0	0	0	0	5814	10275	2029	849	16089	2427	4389	250	273	10963	7339	19188	0	6816	0	true							
2732	57039	0	11309	152056	0	214938	0	0	0	0	365141	0	11243		32387	131858		203629	353898	0	0	4857	0	0	19347	30628	17122	3350	49471	20946	56917	26760	1174	38060	105797	0	0	77863	0								
2750	18371	0	4568	5277	0	15574	0	0	0	0	39599	0	10488		7315	711		11006	25699	0	3412	717	0	0	2587	10475	4885	537	12725	0	776	1257	0	11169	2033	0	0	776	3412								
3252	16775	0	75407	37504	0	111847	0	0	1362	0	90173	0	32648		10306	30470		36440	56517	0	1008	0	851	0	5960	9469	7495	1341	15429	8098	9581	983	0	13960	18662	16647	511	17679	1683								
3458	2976	0	2377	6703	0	13228	0	0	3000	0	39884	0	7151		11687	3367		10851	32733	0	0	273	3000	3000	3687	15798	6731	1878	16485	914	2452	1792	288	16408	5446	0	0	3366	0								
3720	60927	0	26161	67660	0	158652	0	0	0	0	104579	0	7441		18918	4115		132491	97138	0	0	1370	0	0	7171	20915	880	0	27781	6038	3410	873	250	10048	10571	0	0	9448	0								
3971	114236	0	229	165904	0	253307	0	0	16085	0	374706	0	4747		83565	107832		253078	349419	0	20540	4697	16085	13995	24863	52773	47117	9198	77636	2148	7282	7741	1516	50386	18687	0	0	9430	4456								
4156	26950	0	12292	56132	0	111148	0	0	0	0	106558	0	12600		16437	32376		98856	92468	0	1490	1479	0	0	11884	18300	5807	4677	30184	1893	3809	537	325	24231	6564	13789	0	5702	1490								
4231	20445	0	11515	33780	0	51094	0	0	0	0	59357	0	837		13063	7198		39579	58520	0	0	8138	0	0	2861	14598	6307	3241	2861	0	1596	1335	1776	13944	4707	0	0	1596	0								
5069	27583	0	0	53413	0	54510	0	0	40054	0	155377	0	248		24080	8011		54510	132234	0	22895	606	40054	19967	22006	33178	28615	1084	55184	6499	21726	6675	0	60803	34900	0	0	28225	5836								
5135	26283	0	41520	82250	0	159325	0	0	34602	0	270242	0	17531		82963	46765		117805	217346	0	35365	8366	34254	33262	33904	110144	6123	0	144048	16236	28959	1828	0	67208	47023	0	348	45195	498								
5210	1157195	18	29416	111968	0	194134	0	0	0	0	1929217	0	227474		245824	291247		163955	1701743	745	0	27105	0	0	106525	186470	77528	17061	277567	25525	49303	12241	6122	141760	93191	27383	0	73307	9319								
5461	416562	0	10688	68781	0	68781	0	0	0	0	593958	0	13880		5314	151469		58093	579580	0	498	825	0	0	3741	7236	1356	390	10977	3742	9462	0	0	7409	13204	55875	0	13204	0								
5751	13403	2	10918	34424	0	69098	0	0	3247	0	119157	0	11175		16570	67057		58178	104977	0	3005	3116	2233	496	11944	13805	7614	1432	25749	356	2036	784	726	18225	3902	12193	1014	2392	1491								
6039	55038	0	12605	137365	0	158523	0	0	0	0	146341	0	17887		37838	23651	10293	145918	128454	0	0	2307	0	0	16694	35879	7929	482	52573	1771	2579	2319	0	23146	6669	0	0	4350	99	true							
6329	83390	0	10967	347296	0	427265	0	0	54906	0	621760	0	60709		105564	201684	11473	416050	557950	248	3101	3521	54906	49805	116624	117237	35449	3886	233861	25084	27910	9408	1089	167631	63491	142498	0	52994	16844	false							
7009	0	0	0	210230	0	210230	0	0	0	0	631500	0	0		0	631500		210230	631500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
7045	31960	0	18959	32163	0	124094	0	0	0	0	86381	0	9066		19574	20178	6332	105135	77315	0	0	0	0	0	3202	11592	14694	1264	14361	263	0	3228	0	11178	3491	0	0	263	0	true							
7072	80744	3	1753	53968	0	81113	0	0	5691	0	209650	0	12608		35092	51966		79357	196804	0	238	4481	5691	4242	12672	26666	17587	3495	39338	787	11653	2766	1314	25328	16520	0	0	12440	0								
7456	27414	0	16476	20678	0	48149	0	0	0	0	49721	0	4422		12201	0		31673	43565	0	1734	114	0	0	3598	11670	4338	133	15268	0	1655	913	0	7538	2568	0	0	1655	1734								
