"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
37	5191	0	5593	6261	0	16422	0	0	0	0	0	52247	0	501	5912	29505	2113	4995	16361	0	4128	12233	12870	274	2358	6980	6101	0	10829	51746	0	0	840	0	15119	320	0	0	9337	0	0	
242	3910	0	144	5725	0	10294	0	0	0	0	0	14931	0	589	515	6470	2458	1896	4329	0	1506	2823	1762	379	306	1076	509	202	10150	14342	0	0	250	0	2093	0	0	0	1382	0	0	
279	17555	0	0	6500	0	20611	0	0	0	0	0	85533	0	0	0	33640	2600	12227	25124	0	9639	15485	7192	1323	7874	15071	6809	1985	20611	85533	0	0	4439	0	29653	2086	0	0	21359	1586	0	
354	999	0	117	2656	0	2656	0	0	0	0	0	6341	0	1681	781	2828	1278	0	2828	0	805	2023	0	0	906	330	0	0	2539	4660	0	0	0	0	1236	0	0	0	1236	0	0	
457	3937	0	379	3961	0	6804	0	0	0	0	0	24803	0	1623	666	10001	7831	2342	8014	0	2656	5358	1465	522	547	1778	204	505	6425	23180	0	0	449	0	3034	0	0	0	2325	0	0	
505	108784	0	3185	12817	0	23130	0	0	131	608	0	285435	0	75333	69110	38288	115966	7676	29503	131	9631	19872	7352	1433	8524	9595	3780	498	19945	210102	0	0	2186	477	13927	8470	477	0	10590	7529	0	
1155	738	5	4564	21472	0	92402	0	0	0	0	0	97777	0	2667	5354	54260	7464	14638	35903	0	30800	15925	4152	3383	16236	14622	2193	2264	87764	94860	69	250	5973	0	26111	9204	0	0	17626	8134	0	
1351	3770	0	7510	12411	0	24449	0	0	0	0	0	112629	0	4729	11839	49647	20892	10055	39890	0	11935	27955	9757	0	8246	23677	6397	0	16939	107900	0	0	3718	0	30132	8188	0	0	21698	6211	0	
1454	1235	12	8849	137179	0	245049	0	0	0	0	0	268518	720	33560	34455	51501	150145	25199	32183	0	18213	17024	8483	7781	41000	15127	5706	3804	236188	234238	0	0	8022	0	21531	44106	0	0	21539	10682	0	
1557	6070	8	1283	16778	0	23739	0	0	0	0	0	28945	0	2907	2040	11874	3249	1922	8487	0	3254	5233	2380	1007	1692	2981	1929	1150	22448	24293	0	1745	252	0	4648	3104	0	0	2723	1794	0	
1669	16396	4	16690	40769	0	89841	0	0	0	0	0	104129	0	365	17055	46778	17426	11976	35212	0	16444	20060	7915	2359	9216	8312	4761	1240	72973	103723	174	41	2688	0	20527	3002	0	0	15377	0	0	
1829	43458	0	34	79529	0	98580	0	0	801	1710	0	236978	0	6649	5860	73855	78275	23239	29650	574	9371	20279	24774	19431	9232	5884	15128	11146	98546	230168	0	161	8662	909	25843	15547	553	0	6093	8675	0	
1856	887	0	393	2167	0	3825	0	0	57609	57609	0	64882	0	285	0	62271	1624	0	3926	17287	5425	15788	24659	16399	0	100	0	0	3432	64597	0	0	0	0	100	0	0	0	100	0	0	
2040	11116	4	1503	15338	0	36500	0	0	20565	30945	0	111156	0	7407	697	41061	48476	7925	18421	6192	4712	13709	13564	9075	536	4524	5288	155	34993	103516	0	233	1649	10380	9700	803	10028	0	1301	2282	0	
2161	17863	0	10149	20856	0	54682	0	0	0	0	0	61350	0	10739	17532	14371	3535	7005	12258	0	4150	8108	1831	282	14045	9564	1469	502	44533	50611	0	0	185	0	12528	13052	0	0	10958	12651	0	
