"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
37	5368	0	1502	6854	0	13092	0	0	0	0	0	50015	0	246		27139	1832	4893	16016	0	3097	12919	11070	54	3034	7466	5174	0	11590	49769	0	0	723	0	15095	579	0	0	10247	252	0	
242	4184	0	96	6331	0	10771	0	0	0	0	0	15012	0	1325		6291	3193	1909	4070	0	977	3093	1691	530	115	669	254	306	10675	13687	0	0	254	0	1344	0	0	0	784	0	0	
279	19482	0	0	8402	0	23496	0	0	0	0	0	89896	0	0		34027	3205	12634	23549	0	6640	16910	8530	1948	5546	16175	9011	2450	23496	89896	0	0	4678	0	30317	2865	0	0	19749	1971	0	
354	1347	0	95	2484	0	2484	0	0	0	0	0	6305	0	1246		2571	1406	0	2571	0	759	1812	0	0	606	375	0	0	2389	5059	0	0	0	0	981	0	0	0	981	0	0	
457	4295	0	267	6175	0	8795	0	0	0	0	0	25737	0	1783		9403	9205	2400	7347	0	2195	5152	1726	330	200	1500	867	267	8528	23954	0	0	555	0	2834	0	0	0	1700	0	0	
505	137386	0	9047	14394	0	30539	0	0	143	610	0	307984	0	90452		33471	120742	7122	28539	143	13348	15191	4568	364	5983	7381	2586	435	21492	217532	0	0	1806	467	12500	3885	467	0	9988	3376	0	
1155	764	1	3239	20829	0	94013	0	0	0	0	0	83257	0	1859		47131	8116	13686	28962	0	26412	11709	5863	3147	15149	7377	2501	2219	90725	81398	48	0	5210	0	20763	6483	0	0	14775	3213	0	
1351	4244	0	7816	13570	0	25565	0	0	0	0	0	115874	0	6058		49540	18553	10280	39231	0	12024	27207	10309	0	8722	25186	9629	0	17749	109816	0	0	3975	0	32840	10697	0	0	26367	7541	0	
1454	999	0	11050	161877	0	272177	0	0	0	0	0	274387	670	33995		49887	167417	25715	30521	0	15165	17826	10757	6139	33988	13155	5597	3344	261127	239722	0	0	8096	0	21304	34780	0	0	17033	6989	0	
