"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37		0	300																																	7	0	653								
242		105	41																																	0	0	2619								
279		11959	138																																	1519	0	12399								
354		240	0																																	115	0	219								
457		821	536																																	2720	0	2187								
505		6662	33562																																	24670	1289	13375								
1155		2655	7240																																	19750	0	12497								
1351		132	360																																	3086	0	871								
1454		336	3247																																	9479	0	18652								
1669		1928	3256																																	4837	0	231								
1856		83	3786																																	1685	0	2192								
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																5088	0	2582								
2376	120000	0	58887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1322	0	3049								
2732		2357	34045																																	28485	0	1334								
2750		55	459																																	1344	0	9596								
3252		0	20																																	3221	0	6404								
3458		103	121																																	504	0	194								
3720	5000	1837	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2973	0	4492								
3971		1880	53904																																	35229	0	19686								
4156		1341	3777																																	7913	0	6460								
4231		273	3636																																	507	0	3005								
5069		26708	17860																																	100	0	0								
5135		1123	6774																																	7297	0	23658								
5210		10125	50858																																	61193	0	45891								
5461		719	2255																																	16723	0	20826								
5751		1337	2495																																	11231	0	6323								
6039	0	3536	6763	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1604	0	7562								
6329	0	24446	16467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																10514	0	12334								
7009		0	0																																	0	0	0								
7045	0	1207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2013	0	3918								
7072		946	879																																	4911	0	6706								
7456		1572	955																																	6120	0	18981								
7634		668	366																																	22	0	684								
8033		12051	3349																																	2143	0	17126								
