"IDRSSD"	RCFD2221	RCFD3210	RCFD3792	RCFD4336	RCFD5306	RCFD5310	RCFD5311	RCFD5610	RCFD7204	RCFD7205	RCFD7206	RCFD7273	RCFD7274	RCFD7275	RCFD8274	RCFD8275	RCFD8434	RCFDA221	RCFDB503	RCFDB504	RCFDB505	RCFDB588	RCFDB589	RCFDB590	RCFDB591	RCFDB592	RCFDB593	RCFDB594	RCFDB595	RCFDC227	RCFDC228	RCFDF264	RCFDL136	RCFDL137	RCFDL138	RCON2221	RCON3210	RCON3792	RCON4336	RCON5306	RCON5310	RCON5311	RCON5610	RCON7204	RCON7205	RCON7206	RCON7273	RCON7274	RCON7275	RCON8274	RCON8275	RCON8434	RCONA221	RCONB503	RCONB504	RCONB505	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONC227	RCONC228	RCONF264	RCONL136	RCONL137	RCONL138	
129479																																				0	28737	31060	0	0	2269	2269	0	0.0893	0.1719	0.1593	0.0000	0.0000	0.0000	28791	2269	-54	0	0	0	0	0	0	0	0	0	0	0	0	28791	0	0	322425	0	322425	
129732																																				81	226079	179855	0	0	2155	2236	0	0.0750	0.1376	0.1359	0.0000	0.0000	0.0000	177619	2236	-179	0	0	0	0	0	0	48639	0	0	0	0	0	177619	0	0	2415393	0	2366754	
129853																																				0	15133	15697	0	0	1000	1000	0	0.109332	0.179040	0.167634	0	0	0	14697	1000	436	0	0	0	0	0	0	0	0	0	0	0	0	14697	0	0	134426	0	134426	
129910																																				0	30768	32969	0	0	2940	2940	0	0.093813	0.140350	0.127834	0.000000	0.000000	0.000000	30029	2940	6	0	0	0	0	0	0	732	1	0	0	0	0	30030	0	0	320827	0	320094	
130345																																				0	30476	33180	0	0	2424	2424	0	0.098762	0.173973	0.161263	0.000000	0.000000	0.000000	30756	2424	-357	0	0	0	0	0	0	0	77	0	0	0	0	30833	0	0	311492	0	311415	
130541																																				0	182704	171701	0	0	15213	15213	0	0.091074	0.141182	0.128673	0.000000	0.000000	0.000000	156488	15213	2984	0	0	0	0	0	0	22529	703	0	0	0	0	157191	0	0	1741476	0	1718244	
130671																																				0	11861	12785	0	0	275	275	0	0.1222	0.5057	0.4948	0.0000	0.0000	0.0000	12510	275	-653	0	0	0	0	0	0	0	4	0	0	0	0	12514	0	0	102336	0	102332	
130813																																				0	23373	23818	0	0	1998	1998	0	0.088935	0.137149	0.125644	0.000000	0.000000	0.000000	21820	1998	68	0	0	0	0	0	0	1456	29	0	0	0	0	21849	0	0	246833	0	245348	
131034																																				0	18997	21287	0	0	1843	1843	1947	0.088678	0.144950	0.132400	0.000000	0.000000	0.000000	19444	1843	-2394	0	0	0	0	0	0	0	0	0	0	0	0	21391	0	0	221213	0	219266	
131155																																				0	15328	17044	0	0	831	831	0	0.089916	0.203035	0.193136	0	0	0	16213	831	-1115	0	0	0	0	0	0	230	0	0	0	0	0	16213	0	0	180543	0	180313	
131173																																				0	65277	73081	0	0	6103	6103	0	0.106581	0.150196	0.137653	0.000000	0.000000	0.000000	66978	6103	-1701	0	0	0	0	0	0	0	0	0	0	0	0	66978	0	0	628424	0	628424	
131418																																				0	39244	39030	0	500	2618	3118	0	0.105115	0.172734	0.158935	0.000000	0.000000	0.000000	35912	3118	-148	0	0	0	0	0	0	3321	159	0	0	0	0	36071	0	0	345125	0	341645	
131436																																				0	22768	24158	0	0	2326	2326	945	0.0855	0.1309	0.1183	0.0000	0.0000	0.0000	21832	2326	-9	0	0	0	0	0	0	0	0	0	0	0	0	22777	0	0	256424	0	255479	
131650																																				0	1525996	872446	0	0	47153	47153	0	0.097560	0.136378	0.129008	0.000000	0.000000	0.000000	825293	47153	-7204	0	0	0	0	0	0	707907	0	0	0	0	0	825293	0	0	9167268	0	8459361	
131717																																				0	5033	5466	0	0	362	362	0	0.0958	0.1923	0.1795	0.0000	0.0000	0.0000	5104	362	-71	0	0	0	0	0	0	0	0	0	0	0	0	5104	0	0	53277	0	53277	
131940																																				0	7435	7740	0	0	440	440	0	0.118232	0.221130	0.208560	0	0	0	7300	440	135	0	0	0	0	0	0	0	0	0	0	0	0	7300	0	0	61743	0	61743	
132107																																				837	88102	90213	-2235	0	7552	8389	0	0.107515	0.139557	0.126579	0.000000	0.000000	0.000000	81824	8389	1207	0	0	0	0	0	0	7295	11	0	0	0	0	81835	0	0	768350	0	761044	
132152																																				0	5033	5416	0	0	478	478	0	0.0825	0.1228	0.1119	0.0000	0.0000	0.0000	4938	478	95	0	0	0	0	0	0	0	0	0	0	0	0	4938	0	0	59830	0	59830	
132451																																				0	15669	16090	0	0	533	533	0	0.170253	0.378570	0.366030	0.000000	0.000000	0.000000	15557	533	112	0	0	0	0	0	0	0	0	0	0	0	0	15557	0	0	91376	0	91376	
132554																																				0	64504	62358	0	0	4804	4804	6500	0.1010	0.1274	0.1176	0.0000	0.0000	0.0000	57554	4804	344	0	0	0	0	0	0	0	106	0	0	0	0	64160	0	0	576535	0	569929	
132778																																				0	4954	5299	0	0	387	387	107	0.0654	0.1236	0.1146	0.0000	0.0000	0.0000	4912	387	-65	0	0	0	0	0	0	0	0	0	0	0	0	5019	0	0	75161	0	75054	
132938																																				0	10062	10421	0	0	398	398	0	0.0948	0.2437	0.2344	0.0000	0.0000	0.0000	10023	398	39	0	0	0	0	0	0	0	0	0	0	0	0	10023	0	0	105777	0	105777	
133579																																				0	33003	35921	0	0	2618	2618	0	0.095951	0.172393	0.159829	0	0	0	33303	2618	-303	0	0	0	0	0	0	0	3	0	0	0	0	33306	0	0	346784	303	347084	
133850																																				21	124298	118986	0	0	7995	8016	0	0.0955	0.1763	0.1645	0.0000	0.0000	0.0000	110970	8016	1304	0	0	0	0	0	2000	14024	0	0	0	0	0	110970	0	0	1176121	0	1162097	
133971																																				26	95854	100649	0	0	2996	3022	0	0.1822	0.4222	0.4095	0.0000	0.0000	0.0000	97627	3022	-1773	0	0	0	0	0	0	0	0	0	0	0	0	97627	0	0	535720	0	535720	
134156																																				0	8746	9732	0	0	934	934	0	0.1011	0.1304	0.1179	0.0000	0.0000	0.0000	8798	934	-52	0	0	0	0	0	0	0	0	0	0	0	0	8798	0	0	87021	0	87021	
134437																																				0	86305	88456	0	0	6964	6964	0	0.0980	0.1591	0.1466	0.0000	0.0000	0.0000	81492	6964	1921	0	0	0	0	0	0	2892	0	0	0	0	0	81492	0	0	834133	0	831241	
134455																																				0	16710	17413	0	0	837	837	0	0.1145	0.1884	0.1794	0.0000	0.0000	0.0000	16576	837	134	0	0	0	0	0	0	0	0	0	0	0	0	16576	0	0	144780	0	144780	
134848																																				0	24844	25548	0	0	967	967	0	0.120575	0.224730	0.216224	0	0	0	24581	967	263	0	0	0	0	0	0	0	0	0	0	0	0	24581	0	0	203865	0	203865	
135836																																				0	16201	17705	0	0	1248	1248	0	0.096265	0.179293	0.166655	0	0	0	16457	1248	-256	0	0	0	0	0	0	0	0	0	0	0	0	16457	0	0	170955	0	170955	
135854																																				0	8432	9080	0	0	641	641	0	0.109661	0.149028	0.138508	0.000000	0.000000	0.000000	8439	641	-7	0	0	0	0	0	0	0	0	0	0	0	0	8439	0	0	76955	0	76955	
136048																																				0	6679	9068	0	0	943	943	0	0.082784	0.120673	0.108124	0.000000	0.000000	0.000000	8125	943	-1466	0	0	0	0	0	0	20	0	0	0	0	0	8125	0	0	98167	0	98147	
136338																																				0	38051	41807	-649	0	1215	1215	0	0.132991	0.236551	0.229676	0	0	0	40592	1215	-1892	0	0	0	0	0	0	0	0	0	0	0	0	40592	0	0	304574	649	305223	
136459																																				0	4743	4714	0	0	243	243	0	0.1083	0.2428	0.2303	0.0000	0.0000	0.0000	4471	243	272	0	0	0	0	0	0	0	0	0	0	0	0	4471	0	0	41292	0	41292	
136655																																				0	8274	8405	0	0	709	709	0	0.098429	0.148611	0.136075	0.000000	0.000000	0.000000	7696	709	53	0	0	0	0	0	0	525	0	0	0	0	0	7696	0	0	78713	0	78188	
137205																																				905	130841	138667	0	0	11774	12679	0	0.121888	0.148854	0.135244	0.000000	0.000000	0.000000	125988	12679	1108	0	0	0	0	0	0	3646	99	0	0	0	0	126087	0	0	1037386	0	1033641	
137447																																				0	33906	30934	0	0	1419	1419	0	0.097369	0.181105	0.172797	0.000000	0.000000	0.000000	29515	1419	480	0	0	0	0	0	0	3911	0	0	0	0	0	29515	0	0	307036	0	303125	
137456																																				0	11099	12949	0	0	1081	1081	0	0.082222	0.150386	0.137832	0	0	0	11868	1081	-769	0	0	0	0	0	0	0	0	0	0	0	0	11868	0	0	144341	0	144341	
137559																																				0	16930	17939	0	0	1009	1009	0	0.1377	0.2236	0.2110	0.0000	0.0000	0.0000	16930	1009	0	0	0	0	0	0	0	0	0	0	0	0	0	16930	0	0	122984	0	122984	
137643																																				0	11757	12106	0	0	931	931	0	0.0906	0.1369	0.1264	0.0000	0.0000	0.0000	11175	931	-293	0	0	0	0	0	0	875	0	0	0	0	0	11175	0	0	124208	0	123333	
137652																																				0	9493	13560	0	0	771	771	0	0.1299	0.1964	0.1852	0.0000	0.0000	0.0000	12789	771	77	0	0	0	0	0	4696	596	727	0	0	0	0	13516	0	0	99744	0	98421	
137821																																				0	13121	13946	0	0	1256	1256	0	0.095544	0.135448	0.123249	0.000000	0.000000	0.000000	12690	1256	-48	0	0	0	0	0	0	479	0	0	0	0	0	12690	0	0	133298	0	132819	
