"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	9523	0	7078	14419	0	27201	0	0	0	0	40239	0	467	7545	20319	2804	2788	20123	39772	0	0	102	0	0	5182	12193	9183	995	17375	0	0	359	0	7234	359	0	0	0	true							
242	5397	0	642	8076	0	14183	0	0	0	0	17504	0	3565	3504	4546	4216	1437	13541	13939	0	0	0	0	0	1953	1324	1430	776	3277	0	2151	257	0	937	2408	0	2151	0	true							
279	39451	0	0	14105	0	49590	0	0	0	0	119673	0	0	0	32472	1641	13743	49590	119673	0	0	5227	0	0	13659	28260	26182	1931	41919	773	4744	3031	0	37560	8548	0	5517	0	true							
354	1299	0	92	2075	0	2075	0	0	0	0	4031	0	884	317	1569	863	0	1983	3147	0	0	0	0	0	553	1306	10	0	1859	0	0	0	0	300	0	0	0	0	false							
457	6970	0	623	6469	0	9576	0	0	1500	0	28693	0	2937	3089	5760	12194	2122	8953	24256	0	1500	452	0	0	1568	3788	1961	712	5356	1500	0	0	0	2268	1500	1500	1500	0	true							
505	193336	0	5512	26456	0	39233	0	0	0	0	366866	0	103166	99213	17665	143544	4752	33721	263700	0	0	1193	0	0	5477	14252	6328	571	19729	1144	1463	751	0	8963	3358	0	2607	0	false							
1155	638	5	8210	33103	0	135618	0	0	5954	0	71612	0	6403	11866	31419	9599	8954	126691	64725	712	484	3318	5954	5954	22558	15571	12315	1290	30741	2745	4748	2149	0	20315	9642	0	6589	0	true							
1351	5830	0	10054	19642	0	36018	0	0	0	0	91758	0	6184	16238	35768	17260	8388	25964	85574	0	0	3204	0	0	12230	29070	15522	0	41300	2892	5977	2976	0	21055	11845	0	8869	0	false							
1454	589	0	12194	184993	0	327414	0	0	0	0	325887	697	24825	27355	38321	235617	25398	315220	300365	0	0	8547	0	0	18962	19469	13357	5503	32572	23552	5147	3408	283	18970	32390	0	7284	0	true							
1557	10200	0	3450	17557	0	25957	0	0	2865	0	26433	0	2358	3385	6868	2328	1331	22507	24075	0	0	102	2865	2329	2819	6748	1708	818	9567	0	1812	0	0	5225	1812	0	1812	0	false							
1669	31429	9	23942	64129	0	138000	0	0	0	0	102479	0	353	24295	28125	23822	9913	113990	102086	59	40	2112	0	0	12227	17259	7815	4218	28573	942	3535	528	704	13394	5709	0	4477	0	true							
