"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWP793	RCOWP870	
1557																																																																																																		79305	763									
1669																																																																																																		255245	44054									
1829																																																																																																		410931	41132									
1856																																																																																																		128011	1407									
2040																																																																																																		199350	16754									
2161																																																																																																		126290	12961									
2376																																																																																																		3151595	439304									
2554																																																																																																		13163	233									
2732																																																																																																		541377	74763									
2750																																																																									0																									59327	1178									
3177																																																																																																		1027464	44363									
3252																																																																																																		173537	21892									
3458																																																																																																		38319	2463									
3720																																																																																																		218137	10662									
3971																																																																																																		684923	-68997									
4156																																																																																																		206471	14138									
4231																																																																																																		112516	2593									
4437																																																																																																		249003	22794									
4839																																																																																																		333024	19599									
5069																																																																																																		387724	149079									
5135																																																																																																		410406	26736									
5210																																																																																																		1047139	83541									
5461																																																																																																		498453	42355									
5751																																																																																																		186748	19561									
6039																																																																																																		84692	1830									
6141																																																																																																		58693	1129									
6329																																																																																																		482180	19885									
7009																																																																																																		621592	56607									
7045																																																																																																		189521	15896									
7072																																																																																																		170804	31947									
7157																																																																																																		46380	4340									
7456																																																																																																		69940	1538									
7634																																																																																																		59550	-1358									
8033																																																																																																		205737	16429									
8462																																																																																																		178429	17202									
8631																																																																																																		65043	5592									
9357																																																																									0																									428385	23752									
9553																																																																																																		160782	10406									
9807																																																																																																		2171445	164656									
9955																																																																																																		124922	12549									
10250																																																																																																		353014	1754									
10849																																																																																																		253959	12654									
11145																																																																																																		192410	11186									
11275																																																																																																		1331917	49780									
11640																																																																																																		363632	7000									
11837																																																																																																		94026	710									
12030																																																																																																		324958	46547									
12142																																																																																																		210304	7472									
12179																																																																																																		37759	7031									
12245																																																																																																		122730	24									
12311																																												63355641	289396																																																															
12647																																																																																																		92020	1933									
12656																																																																																																		18153	1183									
12937																																																																																																		197031	25319									
12946																																																																																																		881758	81643									
12955																																																																																																		134761	3688									
13103																																																																																																		1523879	169176									
13251																																																																																																		39915	2656									
13457																																																																																																		24227	5942									
14052																																																																																																		57970	4729									
14155																																																																																																		154004	15655									
14650																																																																																																		31668	2757									
14753																																																																																																		44710	1615									
14865																																																																																																		306696	20516									
14977																																																																																																		49720	8064									
16458																																																																																																		294301	31760									
16551																																																																																																		247863	14221									
16748																																																																																																		66624	4374									
16944																																																																																																		37186	973									
16953																																																																																																		35781	1951									
17110																																																																																																		117648	9539									
17147																																																																																																		5555435	169061									
17259																																																																																																		65787	3857									
17464																																																																																																		2335858	52438									
17950																																																																																																		366417	19432									
17978																																																																																																		332157	105346									
18050																																																																																																		441455	37759									
18135																																																																																																		252878	14409									
18377																																																																																																		51602	4150									
18827																																																																																																		435816	39350									
18836																																																																																																		148337	13429									
18854																																																																																																		451632	29177									
19356																																																																																																		79319	3465									
19730																																																																																																		2281076	57502									
19936																																																																																																		234641	10075									
19972																																																																																																		95751	15999									
20053																																																																																																		79254	3852									
20512																																																																																																		96010	9805									
20633																																																																																																		301002	27489									
20857																																																																																																		246056	5865									
21256																																																																																																		10472	490									
21359																																																																																																		34197	875									
21630																																																																																																		106884	8205									
21658																																																																																																		158639	10700									
22048																																																																																																		191723	9978									
22543																																																																																																		101795	9937									
22552																																																																																																		92235	2503									
22730																																																																																																		142064	12764									
22936																																																																																																		157649	-11081									
23045																																																																																																		47226	2438									
23456																																																																																																		103501	11970									
23504																																																																																																		2170968	130257									
23643																																																																																																		185204	15481									
23755																																																																																																		170700	11237									
24006																																																																																																		975306	100601									
24378																																																																																																		66125	6828									
24453																																																																																																		213377	-1475									
24659																																																																																																		64638	1918									
24668																																																																																																		569762	22566									
24855																																																																																																		21191	1043									
24949																																																																																																		445611	15984									
25357																																																																																																		124439	3515									
25647																																																																																																		56588	-9540									
26176																																																																																																		335138	11051									
26242																																																																																																		408809	29399									
26457																																																																																																		28996	2770									
26765																																																																																																		360473	-30819									
27070																																																																																																		621845	117887									
27548																																																																																																		591179	31276									
27614																																																																																																		348355	34123									
27847																																																																																																		450279	36929									
28013																																																																																																		2717042	242466									
28152																																																																																																		127082	2862									
28255																																																																																																		308716	18877									
28349																																																																																																		121492	262									
28406																																																																																																		1694402	279843									
28675																																																																																																		101651	11571									
28732																																																																																																		84931	8717									
29476																																																																																																		44528	16									
29636																																																																																																		870016	6647									
29878																																																																																																		1737694	526876									
29953																																																																																																		81879	8537									
30052																																																																																																		25746	1934									
30418																																																																																																		480013	-8366									
30502																																																																																																		937599	63814									
30650																																																																																																		109844	-328									
30810																																																																																																		78908854	4888994									
30874																																																																																																		1094798	70878									
31134																																																																																																		110633	17773									
31255																																																																																																		496342	15598									
31657																																																																																																		130566	13543									
31826																																																																																																		252189	40621									
31835																																																																																																		125597	637									
32234																																																																																																		114622	10151									
32766																																																																																																		61466	4763									
32971																																																																																																		209447	26416									
33147																																																																																																		411888	27352									
33259																																																																																																		571153	23530									
33268																																																																																																		148476	6752									
33370																																																																																																		27341	4147									
33839																																																																																																		36195	3120									
33857																																																																																																		284516	3669									
34153																																																																																																		304544	-41312									
34425																																																																																																		343229	20801									
34434																																																																																																		306545	15592									
34452																																																																																																		131954	11279									
34537																																																																																																		2303308	-72666									
34555																																																																																																		268529	22709									
34742																																																																																																		317526	12684									
34836																																																																																																		23420	-441									
35057																																																																																																		140288	6718									
35301	16069694	0	1754025	0.060572	0.181429	0.161626	14315669	88572983	236340419	-219593	-154329	10839696	0.161626	0	20119723	5386862	284900	118095	0	14197	0	14315669	0	0	0	0	0	0	14315669	0	0	0	0	0	0	1753908	0	0	1754025	0	5804054	117	0	241990144	9499620	16069694	0	1754025	0.160944	0.143377	99846581	0.143377	1754025														0																																									
35570																																																																																																		17543867	627218									
35646																																																																									0																									53120	9734									
35842																																																																																																		198336	10821									
35879																																																																																																		226477	20706									
36456																																																																																																		99361	4826									
36933																																																																																																		90880	571									
37051																																																																																																		75027	4518									
37341																																																																																																		35958	3441									
37435																																																																																																		1080539	77510									
37640																																																																																																		2185461	69389									
37659																																																																																																		40862	3916									
37743																																																																																																		90166	7293									
37949																																																																																																		219336	12312									
38740																																																																																																		171829	8195									
39327																																																																																																		468092	55277									
39420																																																																																																		1228653	67292									
39475																																																																																																		4040155	122509									
39756																																																																																																		574690	23027									
40033																																																																																																		63616	5715									
40350																																																																																																		48601	665									
40499																																																																																																		1968270	182995									
40855																																																																																																		87878	2484									
41245																																																																																																		46597	4283									
41553																																																																																																		93793	11321									
41629																																																																																																		172156	16614									
41825																																																																																																		167861	13520									
41937																																																																																																		68685	4262									
41955																																																																																																		37426	732									
42037																																																																																																		63459	6997									
42055																																																																																																		82070	4132									
42354																																																																																																		134309	15458									
42372																																																																																																		340939	47722									
42420																																																																																																		6283628	249118									
42448																																																																																																		828099	93715									
42457																																																																																																		38817	4315									
42671																																																																																																		1258125	57951									
43052																																																																																																		82287	12494									
43351																																																																																																		38349	-940									
43744																																																																																																		72138	-1855									
43856																																																																																																		58314	4744									
43959																																																																																																		169219	8822									
44040																																																																																																		318437	33328									
44433																																																																																																		316581	-29442									
44741																																																																																																		384073	27653									
44750																																																																																																		169464	16203									
44929																																																																																																		145650	5699									
45038																																																																																																		140131	12198									
45047																																																																																																		123972	3144									
45056																																																																																																		69522	7219									
45430																																																																																																		120489	15376									
45458																																																																																																		50981	186									
45551																																																																																																		693052	55195									
45560																																																																																																		1293149	56433									
45775																																																																																																		177485	15335									
46053																																																																																																		178764	12106									
46941																																																																																																		113595	17907									
47153																																																																																																		20015	900									
47247																																																																																																		286710	7930									
47256																																																																																																		27801	3565									
47452																																																																																																		51331	7687									
47500																																																																																																		335726	38730									
48057																																																																																																		114300	5585									
48150																																																																																																		26788	812									
48374																																																																																																		894380	76564									
48440																																																																																																		108106	7807									
49054																																																																																																		171185	905									
49148																																																																																																		95137	11584									
49241																																																																																																		517109	3530									
