"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWP793	RCOWP870	
	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	RISK-WEIGHTED ASSETS	AVG TOT ASSET NET DEDUCTIONS	ACCUMULATED OTH COMPREHENSIVE INCOME	OTHR DEDUCT FR ASSETS FOR LEVRGE CAP	COMMON EQUITY TIER 1 CAPITAL	CAP RATIO COM EQTY TIER1 CAP RATIO	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NT UNRLZD GNS (LSSES) AFS SECURITIES	NT UNRLZD LOSS ON AFS PRFRRD STK	ACC NT GN LS CSHFLW HDGS	AOCI ATTRBTD DEFND BENFT POSTETRMNT	NT UNRLZD GNS (LSSES) HTM SEC AOCI	NET GNS (LSSES) HTM SEC AOCI	OTH THRSHLD DEDS COMEQTY TIER1 CAP	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	COMSTK 10PCT EQTY TIER1 CAP THRSHLD	MSA DTL 10PCT EQTY TIER1 CAP THRS	DTAS CAP CMSTK 15PCT TIER1 CAP THRSH	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	DEDS COMEQTY TIER1 CAP ADD TIER1 CAP	UNREALIZED GAINS ON A-F-S EQUITY SEC	CUMULATIVE CHANGE IN FAIR VALUE	QTLY AVG OF TOTAL ASSETS	UNDIVIDED PROFITS & CAPITAL RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	RISK-WEIGHTED ASSETS	CAP RATIO COM EQTY TIER1 CAP RATIO	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	RISK-WEIGHTED ASSETS	AVG TOT ASSET NET DEDUCTIONS	ACCUMULATED OTH COMPREHENSIVE INCOME	OTHR DEDUCT FR ASSETS FOR LEVRGE CAP	COMMON EQUITY TIER 1 CAPITAL	CAP RATIO COM EQTY TIER1 CAP RATIO	AOCI OPT-OUT ELECTION	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NT UNRLZD GNS (LSSES) AFS SECURITIES	NT UNRLZD LOSS ON AFS PRFRRD STK	ACC NT GN LS CSHFLW HDGS	AOCI ATTRBTD DEFND BENFT POSTETRMNT	NT UNRLZD GNS (LSSES) HTM SEC AOCI	NET GNS (LSSES) HTM SEC AOCI	OTH THRSHLD DEDS COMEQTY TIER1 CAP	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	COMSTK 10PCT EQTY TIER1 CAP THRSHLD	MSA DTL 10PCT EQTY TIER1 CAP THRS	DTAS CAP CMSTK 15PCT TIER1 CAP THRSH	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	DEDS COMEQTY TIER1 CAP ADD TIER1 CAP	UNREALIZED GAINS ON A-F-S EQUITY SEC	CUMULATIVE CHANGE IN FAIR VALUE	QTLY AVG OF TOTAL ASSETS	UNDIVIDED PROFITS & CAPITAL RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	RISK-WEIGHTED ASSETS	CAP RATIO COM EQTY TIER1 CAP RATIO	TIER 2 CAPITAL BEFORE DEDUCTIONS	
37																																																											19559	589	589	21.44%	41.99%	40.73%	18970	46575	88495	241	0	4700	40.73%	1	0	19313	0	0	49	221	0	0	0	0		0	0	19043	0	0	0	0	73	73	18970	0	0	0	0	73	0	0	0	0	589	0	122	0	0	88617	14372									
242																																																											5179	197	197	12.09%	20.75%	19.96%	4982	24958	41204	108	0	240	19.96%	1	0	5090	0	0	0	108	0	0	0	0		0	0	4982	0	0	0	0	0	0	4982	0	0	0	0	0	0	0	0	0	197	0	0	0	0	41204	4742									
279																																																											27799	841	841	14.16%	23.99%	23.26%	26958	115884	190341	142	0	1	23.26%	1	0	27100	0	0	0	142	0	0	0	0		0	0	26958	0	0	0	0	0	0	26958	0	0	0	0	0	0	0	0	0	841	0	0	0	0	190341	26957									
354																																																											1068	44	44	9.88%	31.49%	30.19%	1024	3392	10364	-84	0	525	30.19%	1	0	938	0	0	5	-98	0	0	0	0		0	0	1031	0	0	0	0	7	7	1024	0	0	0	0	7	0	0	0	0	44	0	12	0	0	10376	497									
457																																																											4711	462	462	10.26%	12.77%	11.51%	4249	36900	41417	0	0	4000	11.51%	1	0	4249	0	0	0	0	0	0	0	0		0	0	4249	0	0	0	0	0	0	4249	0	0	0	0	0	0	0	0	0	462	0	0	0	0	41417	249									
505																																																											39141	3334	3334	8.60%	14.73%	13.47%	35807	265799	416299	-2025	0	17133	13.46%	1	0	34743	994	0	0	1000	0	0	-3025	0		0	0	35774	0	0	0	0	0	0	35774	0	0	33	33	0	33	0	0	0	3334	0	994	0	0	417293	19635									
1155																																																											20981	2011	2011	8.83%	13.05%	11.80%	18970	160794	214827	92	0	6500	11.80%	1	0	19062	0	0	0	92	0	0	0	0		0	0	18970	0	0	0	0	0	0	18970	0	0	0	0	0	0	0	0	0	2011	0	0	0	0	214827	12470									
1351																																																											25663	1312	1312	15.41%	24.45%	23.20%	24351	104967	158049	-16	0	770	23.20%	1	0	24335	0	0	0	-16	0	0	0	0		0	0	24351	0	0	0	0	0	0	24351	0	0	0	0	0	0	0	0	0	1312	0	0	0	0	158049	23581									
1454																																																											75323	2870	2879	9.81%	25.82%	24.83%	72444	291733	738606	-878	0	2214	24.83%	1	0	71566	0	0	0	-878	0	0	0	0		0	0	72444	0	0	0	0	0	0	72444	0	0	0	0	0	0	0	0	0	2879	0	0	9	0	738606	70230									
