"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCFDK201	RCFDK202	RCFDK270	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC010	RCONC436	RCONJ448	RCONJ449	RCONK201	RCONK202	RCONK270	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	LIFE INS ASSET GNRL ACCNT	LIFE INS ASSET SEPARATE ACCNT	LIFE INS ASSET HYBRID ACCNT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
37																CONF				0	140	11	1059	38	214	0	0	0	0	0	694	0	0	0	CONF	0	0	0				
242																CONF				0	212	0	522	0	95	0	0	0	0	0	215	0	0	0	CONF	0	0	0				
279																CONF				0	1461	285	2882	44	280	0	0	0	0	0	783	0	0	0	CONF	73	0	0				
354																CONF				0	5	64	180	0	24	0	0	0	0	0	87	0	0	0	CONF	0	0	0				
457																CONF				0	245	0	1251	0	95	0	0	0	0	0	370	0	0	0	CONF	541	0	0				
505																CONF				0	3795	0	9978	1430	4895	1923	0	0	0	0	1288	0	0	0	CONF	0	0	0	Prepaid pension			
1155																CONF				0	1150	0	6913	135	824	0	0	0	0	0	1019	0	0	0	CONF	3920	0	0				
1351																CONF				68	0	0	1935	80	385	4	0	0	0	0	1550	0	0	0	CONF	0	0	0	computer software			
1454																CONF				0	1092	0	10522	1094	2366	0	0	0	0	0	2464	0	0	0	CONF	4600	0	0				
1557																CONF				0	146	0	1251	65	150	83	0	0	0	0	955	0	0	0	CONF	0	0	0	FDIC ASSESSMENT			
1669																CONF				0	1180	170	10222	70	599	0	0	0	0	0	1691	0	0	0	CONF	4606	1254	722				
1829																CONF				0	2475	1529	7528	0	2244	0	0	0	0	0	1280	0	0	0	CONF	0	0	0				
1856																CONF				0	2725	0	3701	433	433	0	0	0	0	0	543	0	0	0	CONF	0	0	0				
2040																CONF				0	1546	262	7009	900	1777	58	302	0	0	0	923	0	0	0	CONF	2501	0	0	Computer Software	Accrued Tax Asset		
2161																CONF				0	796	0	4582	122	393	0	0	0	0	116	663	0	0	0	CONF	2614	0	0				
2376																CONF				0	26844	23099	120682	562	16975	9484	0	0	0	0	9075	0	0	0	CONF	33892	0	10797	Accounts Receivable			
2554																CONF				0	0	0	163	21	73	30	0	0	0	0	90	0	0	0	CONF	0	0	0	software			
2732																CONF				0	174	861	4868	32	1688	148	0	0	0	0	1786	0	0	0	CONF	0	359	0	Current Fed Inc Tax Rec			
2750																CONF				0	539	0	2550	149	302	0	0	0	0	0	834	0	0	0	CONF	875	0	0				
3252																CONF				0	322	0	3765	0	1192	581	0	0	0	0	2251	0	0	0	CONF	0	0	0	NP DDA Debits			
3458																CONF				0	185	54	621	26	112	0	0	0	0	0	270	0	0	0	CONF	0	0	0				
3720																CONF				0	558	208	6145	334	721	0	0	0	0	0	1006	0	0	0	CONF	1429	0	2223				
3953																CONF				0	497	0	2749	172	616	0	0	0	0	0	708	0	0	0	CONF	928	0	0				
4156																CONF				0	2551	0	7885	0	743	0	0	0	0	0	1170	0	0	0	CONF	3421	0	0				
4231																CONF				0	0	45	1351	0	414	0	0	0	0	0	892	0	0	0	CONF	0	0	0				
4437																CONF				0	1029	681	7906	353	1167	0	0	0	0	0	1030	0	0	0	CONF	3999	0	0				
4839																CONF				0	2075	0	4852	236	1362	475	0	0	0	0	1415	0	0	0	CONF	0	0	0	Accounts receivable			
5005																CONF				0	4637	1323	16188	442	1166	423	246	0	0	0	1060	0	0	0	CONF	8002	0	0	SERP	ACCOUNTS RECEIVABLE		
5069																CONF				0	0	782	8354	0	4312	2448	0	0	0	0	3260	0	0	0	CONF	0	0	0	Accts. Rec.			
5135																CONF				31	1475	971	10681	212	1077	0	0	0	0	0	3640	0	0	0	CONF	3518	0	0				
5210																CONF				0	7600	911	51185	0	11190	5989	0	0	0	0	3552	0	0	0	CONF	24248	0	3684	Prepaid Pension asset			
5331																CONF				0	3976	1527	9115	250	2844	1560	0	0	0	0	459	0	0	0	CONF	309	0	0	accrued int on securities purchased			
5461																CONF				0	2030	0	12165	0	7546	3692	2000	0	0	0	1837	0	0	0	CONF	752	0	0	QZAB	PFRD STOCK-SR.HOUSING CRIME PREV FOUNDATION		
5751																CONF				0	304	0	4024	60	247	0	0	0	0	0	893	0	0	0	CONF	1337	0	1243				
6039																CONF				0	148	180	2850	0	1559	813	408	0	0	0	700	0	0	0	CONF	0	263	0	DUE FROM HOLDING COMPANY	DUE FROM USDA		
6141																CONF				0	0	22	630	63	182	0	0	0	0	0	426	0	0	0	CONF	0	0	0				
6329																CONF				452	749	3215	13529	356	2425	0	0	0	0	0	2580	0	0	0	CONF	2073	0	2487				
6972																CONF				0	4933	0	20213	1012	4992	0	0	0	0	0	3835	0	0	0	CONF	0	0	6453				
7009																CONF				0	0	210	11258	0	7764	5722	0	0	0	0	3284	0	0	0	CONF	0	0	0	RECEIVABLES			
7045																CONF				18	261	0	1904	148	770	0	0	0	0	0	873	0	0	0	CONF	0	0	0				
7157																CONF				0	23	0	745	30	245	89	0	0	0	0	477	0	0	0	CONF	0	0	0	LEASE CONTRACTS RECEIVABLE			
