"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
40499								53196	5652		0	0	8029		0	649	38867	
40855								2080										
41245																		
41553								11515										
41629								9468										
41825								7424										
41937								1699										
41955								311										
42037								6921										
42055								2902										
42354								7771										
42372								21148	0		0	0	1118		8044	0	11986	
42420								74353	25553		0	0	45380		0	1612	1808	
42448								23250	273		0	0	5635		0	223	17119	
42457								3435										
42671								99430	472		0	0	1396		0	55862	41700	
43052								3990										
43351								5288	0		0	0	362		0	4926	0	
43744								9472										
43856								21922										
43959								20358										
44040								6648	0		0	0	1185		0	3944	1519	
44433								13560	0		0	0	751		0	9258	3551	
44741								5967	1		0	0	2961		0	58	2947	
44750								6995										
44929								7360										
45038								3077										
45047								12179										
45056								6244										
45430								17366										
45458								3129										
45551								18832	100		0	0	2855		0	15877	0	
45560								40037	17235		0	0	3353		0	3201	16248	
45775								10683										
46053								3554										
46941								8118										
47153								3237										
47247								15176										
47256								8761										
47452								8678										
47500								4739	1132		0	0	850		0	981	1776	
48057								2038										
48150								4222										
48374								15390	3741		0	0	5665		0	710	5274	
48440								8030										
49054								11843										
49148								6012										
49241								28149	995		0	0	4919		0	864	21372	
49344								17494										
49643								1044										
49652								6003										
49821								99560	8320		0	0	9231		0	1894	80115	
49858								8649										
49951								11411										
50144								797										
50461								11249										
50546								5526										
50854								19167										
50872																		
50957								36608										
51253								4004	64		0	0	1825		0	2115	0	
51356								26947										
51459								14385										
51730								21561										
51842								34914										
52719								2576476	0		0	29	0		328942	0	2247505	
52951								10860										
53033								357069	11761		0	725	5638		145464	13734	179747	
53051								17553										
53752								8863										
54049								21261										
54058								3232	2087		0	0	1042		0	103	0	
54375								13313	0		0	0	3957		0	6765	2591	
54441								5017										
54656								22643	0		0	0	3078		0	12664	6901	
54973								161463	35330		0	0	64974		0	7038	54121	
55336								14723	2500		0	0	3444		0	360	8419	
55635								6453										
55653								8066										
55970								85303	1547		0	0	2575		0	3209	77972	
56258								7765										
56351								83689	18485		0	0	16844		0	2504	45856	
56427								2093										
56548								9371	1886		0	0	716		0	6312	457	
56557								88786	35683		0	4624	4781		0	8822	34876	
56717								9220	4258		0	0	1743		0	1543	1676	
57040								6922										
57228								7197										
57451								28349	0		0	0	2306		490	12061	13492	
58177								11106										
58207								15587										
58225								5423										
58243								158444	35102		0	4140	16529		0	4945	97728	
58355																		
58551								4125										
58636																		
58757								15266										
58971								431176	67054		0	0	18534		0	1170	344418	
59316								12376	2764		0	0	4685		0	675	4252	
59352								20987	1925		0	0	2273		0	11926	4863	
59370								15678	547		0	0	1328		0	2181	11622	
59754								704										
60143	6112112	1011471	0	188192	0	41714	4870735	5964899	658139	40979			353332	41714			4870735	
60330								36869	1		0	0	6614		0	8186	22068	
60545								14191										
60554								9735										
60648								52737										
61122								34601	5099		0	0	6305		0	10762	12435	
61177																		
61355								15180	9261		0	0	3189		0	2596	134	
61476								20870										
61757								40558										
61832								5590										
61953								10192										
62044								3806										
62110								684										
62147								6573										
62772								9952	4		0	0	2655		0	3906	3387	
63050								14448										
63069	454259	295706	763	2372	76183	63648	15587	454259	226567	3135			69139	139831			15587	
63201								8417										
63573								4590	1066		0	0	580		0	1186	1758	
63733								23789	489		0	0	5933		0	11825	5542	
63742								37679										
63751																		
64150								18106										
64543								15536	0		0	0	4434		0	10919	183	
64552								5768										
64730								28816										
65205								86371	1513		0	0	1539		0	18314	65005	
65241								4476										
65513	241882	563	0	6821	959	4936	228603	241882	0	6821			563	5895			228603	
65559								59523	2515		0	0	2316		0	186	54506	
65746								37878	0		0	0	4214		0	33664	0	
65858								33879	16008		0	0	17527		0	272	72	
66154								3508										
66275								42047										
66677																		
67142								4086										
67151								70154	2571		0	0	1630		0	24826	41127	
67209								13927	2397		0	0	2222		496	8699	113	
67254								14082										
67311								693052	197164		0	3486	184188		0	91788	216426	
67656								41893	1987		0	0	2568		0	6164	31174	
67870								35824										
68345								7674										
68448																		
68671								12981										
68756								40967	5216		0	0	3722		0	2621	29408	
68831								10555										
68840								7492										
68859								70954	3189		0	0	4106		0	5239	58420	
68943								9259										
69333								43901	7035		0	0	7842		0	8895	20129	
69678								51173	104		0	0	3300		0	27304	20465	
70058								8155										
70218								16252										
70414								13732	1		0	0	2485		0	7899	3347	
70638								6327										
70955								6548										
71073								4618										
71318								12492	7852		0	0	2684		0	1784	172	
71457								16050										
71859								4984										
72258								49855	0		0	0	1215		0	358	48282	
72351								1203										
72454								6979										
72678								8191	13		0	0	1949		0	6229	0	
73116								11796	2522		0	0	2125		0	1049	6100	
73152								6326										
73554								11793										
73956								1496										
74056								8298										
74140								19870	8800		0	0	7078		0	3992	0	
74159																		
74403								14416	4291		0	0	3551		0	1961	4613	
74449								5007										
75053								16040	2183		0	0	1794		0	1048	11015	
75259								35738										
75446								6659	388		0	0	1827		0	3517	927	
75455								21121										
