"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK178	RCFDK179	RCFDK180	RCFDK181	RCFDK182	RCFDK183	RCFDK184	RCFDK185	RCFDK186	RCFDK192	RCFDK193	RCFDK194	RCFDK273	RCFN5513	RCFNK260	RCFNK290	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK178	RCONK179	RCONK180	RCONK181	RCONK182	RCONK183	RCONK184	RCONK185	RCONK186	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONK273	RCONL133	RCONL135	TEXT4087	
2354985																																											72	10630	0	72	11000	true	0	4555	0	4404	0	1671	2600	1	72	0	true	0	0	0	10000	1000	0	0	0	0	0	0	0	0	0	true	false	0	0	30557	5575	0	10760	14190	863	674	17600	24017	2736	9587	0	0	4000	2736	0	0	2736	4049	0	1320	0	994	5091	0	0	0			www.customersbank.com	
2356091																																											0	180	2000	0	12150	true	0	0	0	180	0	0	1386	0	0	0	false	0	0	0	2000	3462	1000	5688	2000	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.efirstunitedbank.com	
2358769																																											0	9445	0	0	0	true	0	8162	0	0	0	0	1790	1	0	0	true	0	0	1283	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.bncbank.com	
2360904																																											0	3067	2500	0	7765	true	0	19	0	1193	215	1640	0	0	0	0	false	0	0	0	2500	4765	500	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.pacificglobalbank.com	
2361901																																											0	2494	0	0	0	true	0	0	0	0	0	2494	736	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			pbmn.com	
2362074																																											438	12558	20836	0	92951	true	412	5813	0	2324	481	3940	1403	1	0	26	false	0	0	0	20836	47828	17970	6317	11000	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.CommunityBankNow.com	
2362458																																											20000	31000	0	0	1500000	true	20000	0	0	31000	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	1500000	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.wellsfargo.com	
2370994																																											0	7943	0	0	968	true	0	6783	0	1056	104	0	250	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	968	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			http://www.mbankonline.com	
2371508																																											0	648	0	0	600	true	0	406	0	242	0	0	4566	3	0	0	false	0	0	0	0	0	0	600	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.patriotbankok.com	
2371816																																											0	903	4500	0	16660	true	0	0	0	903	0	0	9082	2	0	0	false	0	0	0	9500	5000	2160	0	9500	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			www.westptebank.com	
