"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
702966	0	64	1829	9582	0	44039	0	0	0	0	0	0	0		0	0		42146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								
703039	3322	0	8236	13031	0	24203	0	0	14176	0	82553	0	218		24058	2011		15967	82335	0	0	0	14176	7654	417	16456	33727	14495	16873	0	4010	3593	4521	41038	12124	0	0	4010	21915								
703552	27587	0	13370	275677	0	322276	0	0	34975	0	732655	0	78607		8581	627902		308906	654048	0	0	1583	34975	34765	8978	22718	10286	0	31696	10426	19471	4908	380	33401	35185	34975	0	29897	0								
703767	572275	0	18286	370223	0	412339	0	0	0	0	938983	0	45991		30115	276869	9771	392875	892696	1178	296	1696	0	0	21142	39592	6424	1394	60499	3282	15713	1990	304	38435	21289	6552	0	18995	0	true	7473	16774	150669	116803	324727	220902	
704559	283117	0	4570	131795	0	157355	0	0	1815	0	1874502	0	155957		105654	1417747	36498	150732	1718545	2053	0	8881	1815	1695	42270	76313	25172	6183	118423	3221	18053	2426	0	44285	23700	0	0	21274	0	true	28855	17008	778971	493666	268514	14069	
704755	79836	0	13910	135699	0	214008	0	0	56465	0	618704	0	45132		211955	131779		200040	555032	58	18540	13764	56465	39735	110298	153607	90583	396	263905	13250	23464	15492	0	142928	52206	56898	0	36714	14819								
705378	29418	0	2728	23584	0	27364	0	0	13004	0	62475	0	10914		6363	5856		24636	51561	0	0	0	13004	13004	5292	5237	3043	1282	10529	7909	3582	544	310	8491	12345	0	0	11491	0								
705444	34462	0	6382	31605	0	51637	0	0	1592	0	69946	0	1184		15215	3827		45255	68762	0	0	1726	0	0	10173	13070	3006	201	23243	1413	2572	330	892	11234	5207	0	700	3369	0								
705556	19523	0	6412	36445	0	72403	0	0	0	0	119268	0	4901		33068	45465	10515	65991	114367	0	0	2968	0	0	5813	13274	21266	10452	19019	0	798	1661	1016	17737	3475	0	0	798	0	false							
706030	3416	0	848	41348	0	41349	0	0	1589	0	86985	0	3207		9808	35354		40501	79319	0	4459	2202	1589	1589	5513	24125	5637	75	29638	561	11550	754	0	25542	12865	2016	0	12111	4459								
706058	20954	17	13844	14824	0	42194	0	0	11137	0	56365	17	6998		14172	227		28333	40383	0	8967	1829	11137	7612	7933	11237	9438	2900	19170	0	2358	893	425	17336	3677	67	0	2358	2965								
706236	17267	0	1173	17435	0	21539	0	0	0	0	56702	0	352		16743	282	9491	20366	56350	0	0	5445	0	0	3857	8974	13464	8273	12830	290	616	3426	253	17825	4585	0	0	906	0	true							
706254	31946	0	16321	53141	0	90590	0	0	13780	0	151886	0	32994		30463	7342	7467	74269	118892	0	0	2924	13780	13303	27073	49789	5054	0	76862	17339	12631	712	0	51453	30682	0	0	29970	9145	true							
706450	3493	0	1028	7626	0	10173	0	0	0	0	14406	0	929		3224	4797		9145	13477	0	0	507	0	0	1834	0	3431	174	1834	306	0	370	0	2215	676	0	0	306	0								
706656	19155	0	12839	20570	0	68893	0	0	0	0	75943	0	5234		18338	25185		56054	70709	0	0	1770	0	0	2332	12043	10018	3242	14375	0	2567	876	525	9297	3968	0	0	2567	245								
707354	1057786	0	32069	121511	0	221967	0	0	40422	0	2014553	0	370718		261224	410306	71839	189697	1643835	201	0	22126	40422	27582	83254	236537	55936	31372	316688	29165	76642	20837	12718	145875	139362	0	0	105807	1241	true	45389	48449	65358	344948	556053	501733	
708379	50053	0	13652	53424	0	53870	0	0	0	0	126930	0	5099		37784	2230		40218	121831	0	0	8497	0	0	9236	18443	31237	4649	27679	1147	3639	5512	784	25781	11082	0	0	4786	0								
709143	192989	0	4914	10564	0	29920	0	0	21827	0	360476	0	22850		71546	48517	9717	25005	337611	1	15	2339	21827	0	11859	28275	46546	16378	40133	2801	8907	4204	0	31512	15912	998	0	11708	0	true							
709451	10210	0	10886	17982	0	48803	0	0	0	0	65233	0	3345		10770	27002		37917	61888	0	0	1070	0	0	4069	5122	3909	3313	9074	1035	8907	293	1372	5644	11607	0	0	9942	0								
709554	36322	0	9383	113923	0	139708	0	0	0	0	71463	0	3329		5444	11281		130325	68134	0	0	1458	0	0	2720	4609	3011	1380	7329	3329	7384	1427	0	6277	12140	0	0	10712	0								
709602	626102	0	78164	64954	0	158072	0	0	0	0	1551596	7	870941		100681	697865	30352	79908	680648	0	0	10388	0	0	41622	94700	28227	2571	136322	18222	30206	11221	859	66440	60508	0	0	48428	0	true	15664	19748	111907	45875	425394	97472	
709639	43605	109	27063	53451	0	129003	0	0	0	0	240148	0	13948		56372	16711		101831	226200	0	0	23176	0	0	21534	29303	57370	30181	50639	5487	8753	16561	10642	82015	41444	0	0	14240	0								
709956	4598	0	2212	15531	0	21860	0	0	0	0	54616	0	8576		7196	13099	0	19648	46040	0	0	0	0	0	5577	10062	7192	854	15639	1144	3717	5604	2769	16489	13234	0	0	4861	0	false							
710176	13201	0	5597	47515	0	62969	0	0	0	0	235423	0	8886		29690	154832		57372	226537	0	0	6386	0	0	6633	14761	16009	12023	21394	6548	5391	4241	1784	19737	17964	3573	0	11939	0								
710859	29352	0	10359	69378	0	105372	0	0	8394	0	193526	0	18482		25837	65945		95013	174805	0	239	1254	8394	8394	21759	32698	12343	2918	54457	3993	10596	6331	7590	43882	28510	8394	0	14559	0								
711472	433957	0	187751	444562	0	662975	0	0	0	0	682355	0	65492		10113	106	3846	475224	616863	0	0	849	0	0	10474	6229	1641	1164	16703	225672	2822	290	0	9395	228783	0	0	228493	0	true	77126	17518	106	0	280731	153226	
