"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK167	RCFDK168	RCFDK195	RCFDK196	RCFDK203	RCFDK204	RCFDK207	RCFDK208	RCFDK209	RCFDK212	RCFDK267	RCFNK289	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK167	RCONK168	RCONK195	RCONK196	RCONK203	RCONK204	RCONK207	RCONK208	RCONK209	RCONK212	RCONK256	RCONK267	RIADG377	
190648																																																																							0	21200	362		25619			23064	1080	0	1232	93022	0	0	0	5818	513	235	34127	16	593	1994	2903	108	204	11666	23708	12317	25115	11821	2359								0	103			0	0	511	856	7091	3124			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	74							0	898	0	0	0	0	0			0	0	0	0			0	0	1477			0	0	0		
190947																																																																							0	12875	0		11590			10515	0	0	0	53990	0	0	0	10198	83	9603	12322	307	1372	4676	3532	311	0	3290	10664	10132	13486	4258	1962								0	0		0	0	0	97	0	2893	3111			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	117							0	1356	0	0	0	0	0			0	0	0	0			0	0	1155			0	0	0		
190956																																																																							0	15489	0		30912			1518	0	0	0	54810	0	0	0	5112	0	0	32742	244	1155	3088	334	218	0	25415	5928	8609	3311	6391	0								0	0		0	0	0	0	0	576	0			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	1							0	379	0	0	0	0	0			0	0	0	0			0	0	823			0	18	0		
191355																																																																							0	15911	1491		8065			9289	569	0	917	96237	0	329	0	18525	448	11168	14280	574	1434	1757	1929	5766	6905	15264	23973	15474	10458	5778	6584								0	49			0	0	298	3936	15051	19380			0			0	93																							0	0	0	0	0	0	0	0	0	0	0	0		16546		0	20							0	876	0	0	0	0	0			0	0	0	0			0	0	1083			0	0	0		
191449																																																																							0	1023	198		745			1185	0	0	210	16128	0	0	0	8230	826	0	2624	379	387	2975	3591	845	0	801	1057	2282	2971	677	110								0	9		0	0	0	27	0	1780	28			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	2							0	1120	0	0	0	0	0			0	0	0	0			0	0	745			0	0	0		
191935																																																																							0	1200	5315	0	0	11689	0	11689	27644	0	6163	436058	0	0	0	175943	6083	151826	41020	15401	78757	45253	10455	8071	3012	65434	97443	53030	13735	11346	5133	0	0	0	0	0	0	0	0	0	419		0	0	261	18310	90919	86728	0	0	0			12193	2972																							0	0	0	0	0	0	0	0	0	0	0	0		208467	2652	0	2652							0	968	0	1694	30	2556	3977	602	0	24	0	0	0			0	0	2183			0	602	0		
192147																																																																							0	2057	3580	52	595	22533	0	22533	103	0	966	226219	0	0	0	76256	4031	3308	79398	13624	17728	42736	812	948	70	20901	30331	50493	23124	10380	10853	0	0	0	0	0	0	0	1984	0	0		0	0	3911	12718	0	72189	0	0	0			0	191																							0	0	0	0	0	0	0	0	0	0	0	0		223973	170	0	222							0	8738	0	0	0	0	0	174	0	0	0	0	0			0	0	16336			0	174	0		
192156																																																																							0	276	31857		0			38115	7487	0	28187	281734	0	104	897	9065	1892	364	68327	2236	1144	756	1384	3429	0	32386	43637	60734	99957	15241	4561								0	150			0	0	36713	45298	40046	40519			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0	17449	186418		0	114							0	382	0	1963	0	0	0			0	0	0				0	0	1529			0	0	0	68	
192558																																																																							0	15587	69		12752			10952	2517	0	0	102866	0	332	0	30195	3522	24744	23602	2123	1401	5427	3698	5974	11572	11196	19319	14200	14782	10470	2704								0	599			0	0	1104	18	2135	12352			0			0	20																							0	0	0	0	0	0	0	0	0	0	0	0		6470		1085	818							0	5401	0	0	0	0	0			0	0	0	0			0	0	3428			0	0	0		
192651																																																																							0	8693	0		4463			1724	85	0	0	19337	0	0	0	2511	89	0	4256	40	181	1087	1203	0	0	4502	777	3996	2549	4731	271								0	5		0	0	0	0	0	0	742			0			0	0																							0	0	0	0	0	0	0	0	0	0	0	0		0		0	0							0	520	0	0	0	0	0			0	0	0	0			0	0	505			0	0	0		
