"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	60	0	0	0	0	0	0	0	42	0			0	0	529	0	0	0											0	0	0	0			0	0	5	0	2	0			370	1	9	0	32	0	0	0				40	28	16	8	
242	0	0	0	0	0	0	0	0	1	0			0	0	2	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	2	0	
279	0	0	0	0	0	0	0	0	78	56			0	0	141	0	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	98	0				0	0	43	22	
354	0	0	0	0	0	0	0	0	15	0			0	2	39	0	0	0						0				2	0	0	0	0			0	0	1	0	0	0			0	0	0	0	0	0	0	0				38	11	1	1	
457	0	0	0	0	0	0	0	0	45	2			0	6	94	75	0	6						6				6	0	0	0	0			0	0	0	0	6	0			0	0	0	0	0	0	0	0				0	1	7	36	
505	0	0	22	0	0	0	0	0	245	112		0	0	1	253	18	0	8		0	0		0	0	0		0	0	0	0	0	0			0	0	94	0	40	0			0	0	0	0	120	0	0	0	0	0		28	27	17	11	
1155	0	0	0	0	0	0	0	0	692	483			0	2	788	550	0	8						0				0	0	0	0	0			1	1	0	0	72	0			0	0	0	0	137	202	0	2				14	0	6	2	
1351	0	0	0	0	0	0	0	0	91	69			0	0	210	109	0	22						22				0	0	0	0	0			0	0	9	0	0	0	0		0	0	0	0	0	0	0	0				30	5	49	8	
1454	0	0	0	0	0	0	0	0	22	7		0	0	9	442	7	0	14		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	384	0	0	0		9	2	28	4	
1557	0	0	0	0	0	0	0	0	0	0			0	0	383	21	0	348						0				0	0	0	0	0			0	0	0	0	10	0	0		0	0	0	0	0	0	0	0				0	0	4	0	
1669	0	0	36	0	0	0	0	0	55	1			0	0	690	434	0	7											0	0	0	0			0	0	4	0	132	0			0	0	0	0	0	0	0	0				27	12	54	38	
1829	0	0	0	0	0	0	0	0	3	1		0	0	0	1163	22	0	0		0	0		0	0	0		0	0	0	0	0	0			27	1	0	0	192	75			0	0	0	0	831	1	0	0	0	0		1	0	15	0	
1856	0	0	0	0	0	0	0	0	0	0			0	0	120	120	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2040	0	0	0	0	0	0	0	0	60	15			0	0	930	12	0	4											0	0	0	1			0	0	10	10	267	35			0	0	437	9	0	0	169	5				0	0	6	10	
2161	0	0	0	0	0	0	0	0	19	0			0	2	17	0	0	7						0				0	0	0	0	0			2	5	0	0	0	0			0	0	0	0	0	0	0	0				1	0	7	12	
2376	0	0	0	0	0	0	0	0	177	0		0	0	0	3087	0	0	0		0	0		0	0	0		0	0	0	0	55	115			0	0	16	0	149	0			0	46	1826	0	74	0	983	0	0	0		0	0	0	0	
2554	0	0	0	0	0	0	0	0	6	2			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	4	
2732	0	0	275	57	0	0	0	0	706	45		0	0	0	1764	81	0	0		0	0		0	0	0		0	0	0	0	51	0			0	0	0	0	93	4			0	363	0	239	998	1	256	0	0	0		6	1	0	0	
2750	0	0	0	0	0	0	0	0	25	24			0	0	498	112	0	379						379				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	1	6	0	
3177	0	0	0	0	0	0	0	0	33	20		0	0	0	771	0	0	0		0	0		0	0	0		0	0	0	0	20	0			0	0	13	0	535	110			0	0	69	0	29	0	0	0	0	0		0	0	8	0	
3252	0	12	0	0	0	0	0	0	438	129			0	39	572	208	0	29						29				39	0	0	0	0			0	0	5	0	0	0			0	0	0	0	0	0	0	0				74	22	261	231	
3458	0	0	0	0	5	0	0	0	2	1			0	0	7	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	2	1	
3720	0	0	0	0	0	0	0	0	27	23			0	0	147	0	0	0						0				0	0	0	0	0			0	0	1	0	0	0			0	0	132	0	0	0	0	0				0	0	15	3	
3971	0	0	140	4	351	547	0	0	1962	99		0	0	103	6522	186	0	600		0	0		0	600	0		0	103	0	0	415	31			0	0	664	28	2232	303			453	98	560	145	280	101	330	0	0	0		0	1	672	141	
4156	0	0	0	0	0	0	0	0	84	5			0	19	360	254	0	0						0				19	0	0	0	0			0	0	4	0	59	0			2	1	0	9	0	5	0	0				2	2	43	39	
4231	156	0	0	0	0	0	0	0	22	0			0	0	2023	22	0	0											0	0	0	0			0	0	0	0	0	96			0	0	309	0	831	0	510	0				45	20	54	2	
4437	0	0	0	0	0	0	0	0	492	10			0	0	1213	33	0	0											0	0	10	3			0	0	311	0	172	3			0	0	440	125	457	0	59	8				12	0	27	35	
4839	0	0	433	3	0	0	0	0	48	1		0	0	0	1908	3	0	0		0	0		0	0	0		0	0	0	0	35	0			0	0	0	1	0	4			848	35	210	0	323	0	0	0	0	0		0	0	52	8	
5005	0	0	0	0	0	0	0	0	10	0		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	10	0	0	0	0	0	0	0	0		0	0	0	0	
5069	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
5135	0	0	0	0	0	0	0	0	57	18		0	0	0	811	20	0	0		0	0		0	0	0		0	0	0	0	0	0			4	3	6	0	29	29			0	0	390	17	25	0	217	0	0	0		50	2	47	11	
5210	0	0	0	0	0	0	0	0	425	2		0	0	20	3757	1998	0	181		0	0		0	0	0		0	0	0	0	51	0			0	0	0	1	402	99			0	0	538	149	313	250	104	0	0	0		0	0	71	3	
5461	0	0	0	0	0	0	0	0	187	149		0	0	0	3577	281	0	49		0	0		0	0	0		0	0	49	147	85	0			0	0	17	0	336	548			0	0	1831	17	376	0	66	0	0	0		0	0	5	4	
5751	0	0	0	0	0	0	0	0	8	4			0	4	839	0	0	834						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	5	0	
6039	0	0	0	0	0	0	0	0	14	0			0	0	429	0	0	0						0				0	0	0	0	0			1	0	0	0	139	3			0	0	165	0	0	0	92	0				13	11	16	3	
6141	0	0	0	0	0	0	0	0	30	0			0	0	193	0	0	0						0				0	0	0	0	0			0	0	1	0	131	0			0	0	0	0	0	0	0	0				0	0	62	29	
6329	49	0	11	0	0	0	0	0	503	78		0	0	0	10087	1582	0	60		0	0		0	0	0		0	0	0	0	83	13			66	32	1	1	1625	323			249	6	1991	1	1089	0	308	22	0	0		2089	201	562	148	
7009	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
