"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							4752	1739	0	0	51354	0	375	0	945	86699	65804	391	66195	0	1013	0	0	0	20504	1200	86699	0	0	14950	0	0	3500	0	13398	52406	1	1231	0	28547	27534	854	0	0	0	0	20504	
242																																							1300	871	0	0	10518	0	323	0	537	40840	29790	17	35530	0	168	0	5723	0	5310	120	40840	0	0	4882	0	0	120	0	6729	23061	3	1231	0	24765	24597	188	2694	0	0	0	5310	
279																																							7855	2297	28	24380	2500	0	5346	0	7386	196579	146317	762	168628	0	932	0	21549	0	27951	1	196579	0	0	27817	0	0	0	0	10880	135437	2	1231	0	147336	146404	133	383	0	0	0	27951	
354																																							200	186	0	0	5388	0	58	0	124	9507	8483	10	8493	0	188	0	0	0	1014	25	9507	0	0	493	0	0	500	0	2716	5767	5	1231	0	3586	3398	-4	153	0	0	0	1014	
457																																							3194	441	0	150	214	0	291	31	1214	44850	36648	51	40099	0	493	0	3400	0	4752	60	44851	0	0	751	0	0	3940	0	6234	30414	4	1231	0	39713	39220	1	95	0	0	0	4752	
505																																							38365	1361	92	0	80153	0	10209	1342	12203	439395	388915	4191	403606	54	4082	1595	10500	0	35735	6480	439395	0	0	20593	0	0	10653	0	59576	329339	2	1231	0	298157	294075	-1991	0	0	0	0	35789	
1155																																							25967	3972	0	41	29606	0	4209	1803	5821	215165	180174	1973	196377	0	2435	0	0	0	18788	1600	215165	0	0	11987	0	0	4900	182	26336	153838	5	1231	0	145999	143564	301	0	0	0	14230	18788	
1351																																							0	4527	0	55985	3464	0	1736	236	1577	154844	131542	320	131862	0	1352	0	0	0	22982	240	154844	0	0	22201	0	0	530	0	17279	114263	4	1231	0	82121	80769	11	6550	0	0	0	22982	
1454																																							290761	12036	0	0	365691	0	4064	1081	11922	937398	856600	1531	858131	0	3385	0	0	0	79267	1000	937398	0	0	73905	0	0	1214	1352	317800	538800	2	1231	0	253876	250491	3148	0	0	0	0	79267	
1557																																							3518	3513	284	0	11859	0	615	8	1421	78580	58976	15	67324	0	685	70	8333	0	11256	200	78580	0	0	1363	0	0	9624	0	21283	37693	4	1231	0	55747	55062	69	2230	0	0	0	11256	
1669																																							24163	7947	0	47636	79280	0	2047	0	12013	267374	221457	522	221979	0	2934	0	0	0	45395	800	267374	0	0	43501	0	0	800	0	49852	171605	1	1231	0	97222	94288	294	0	0	0	0	45395	
1829																																							4223	3568	292	0	106586	0	3023	0	13639	425639	311553	1475	377079	0	3672	8144	64051	0	48560	390	425639	0	0	43453	0	0	3100	0	99535	212018	2	1231	0	289836	286164	1617	0	0	0	0	48560	
1856																																							43788	556	0	5000	44631	0	375	34	2269	136667	79479	172	120070	0	978	98	40419	0	16597	500	136667	0	0	1728	0	0	14282	0	3309	76170	4	1231	0	40050	39072	87	844	0	0	0	16597	
2040																																							2300	2166	0	0	56679	0	2351	240	8710	197268	140499	1225	174389	0	3444	0	23000	0	22879	480	197268	0	0	17900	0	0	4270	0	21333	119166	2	1231	0	126559	123115	229	1707	0	0	9665	22879	
2161																																							13816	6792	0	0	22584	0	2150	21	4348	138701	119945	2418	122363	0	737	0	0	0	16338	1000	138701	0	0	13353	0	0	1356	0	28748	91197	8	1231	0	80714	79977	629	9013	0	0	0	16338	
2376																																							2023	9061	0	152029	214728	0	14489	487	188382	3592798	2251292	62064	3145470	63	29862	0	773593	0	447265	500	3592798	0	0	420200	4511	0	55029	0	132710	2118582	2	0630	-20820	3036950	3007088	-7644	0	0	58521	0	447328	
2554																																							2588	645	0	250	3319	0	103	0	152	13189	11777	19	11796	0	113	289	0	0	1393	50	13189	0	0	306	0	0	1100	0	3708	8069	4	1231	0	5956	5843	-63	0	0	0	0	1393	
2732																																							57645	15119	1112	0	127223	0	3700	0	3150	564317	477785	1621	479406	0	3616	0	0	0	84911	0	564317	0	0	78655	0	0	5789	0	117566	360219	2	1231	0	359984	356368	467	0	0	0	0	84911	
2750																																							1253	898	0	0	10934	0	256	98	1310	58389	45138	240	51413	0	645	0	6035	0	6976	121	58389	0	0	1075	0	0	5800	0	5100	40038	4	1231	0	40913	40268	-20	3372	0	0	0	6976	
3177																																							85743	7811	416	578	105861	0	12179	2258	37245	1049505	827975	10057	945629	0	3220	4630	107597	0	103876	0	1049505	0	0	44116	0	0	63699	0	197618	630357	1	1231	-3368	796004	792784	-571	0	0	0	0	103876	
3252																																							0	4170	0	0	81550	0	481	101	3251	183981	154153	418	159571	0	3062	0	5000	0	24410	200	183981	0	0	23148	0	0	300	0	25466	128687	4	1231	0	97490	94428	762	0	0	0	0	24410	
3458																																							1394	1929	0	2718	10221	0	375	0	760	44585	33142	781	40423	0	345	0	0	0	4162	100	44585	0	0	2908	0	0	1101	0	4811	28331	5	1231	0	27046	26701	53	487	0	0	6500	4162	
3720																																							40950	5009	0	140	51821	0	4097	1045	8266	251036	210317	2151	217005	0	1701	0	0	0	34031	2400	251036	0	0	12720	0	0	18600	0	36194	174123	1	1231	0	141409	139708	311	0	0	0	4537	34031	
3971																																							53860	6068	417	0	78125	703	10407	1413	24740	764854	606143	11448	654514	0	10896	12142	36923	0	110340	2	764854	0	0	-66483	0	0	176276	6763	108968	497175	1	930	0	578845	567949	545	2267	0	0	0	110340	
