"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDK178	RCFDK179	RCFDK180	RCFDK181	RCFDK182	RCFDK183	RCFDK184	RCFDK185	RCFDK186	RCFDK192	RCFDK193	RCFDK194	RCFDK273	RCFN5513	RCFNK260	RCFNK290	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK178	RCONK179	RCONK180	RCONK181	RCONK182	RCONK183	RCONK184	RCONK185	RCONK186	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONK273	RCONL133	RCONL135	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	AMT FDIC LS SHARE AGREEMENT DEBT SCT	AMT FDIC LS SHARE AGREEMENT OTHR ASS	ASSET SHR FDIC LN AGRI OTHR FARM	ASSET SHR FDIC CMRL INDUSTRIAL LN	ASSET SHR FDIC LN TO IND HH CR CARD	ASSET SHR FDIC LN TO IND HH AUTO	ASSET SHR FDIC LN TO IND HH OTHER	ASSET SHR FDIC ALL OTHR	ASSET SHR FDIC LN DI ACPTNCE OTHR BK	ASSET SHR FDIC LN FRGN GVT OFFICIAL	ASSET SHR FDIC ALL OTHR LN	ASSET CVR LS SHR FDIC OREO PRTN PROT	CPTV INS SUB TOTAL ASSET CPTV INS SU	CPTV INS SUB TOTAL ASSET CPTV REINS 	ASSET SHR FDIC LEASE FNC REC	ALL OTHR RE OWNED IN FOREIGN OFFICES	ASSET LS SHR FDIC OTHR RE FRGN	ASSET SHR FDIC LN SCD RE FRGN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	BK ACT AS TR CUST IRA, HSA, & OTHR?	BK CUST OTHR SRVC SL PRCH SCTY?	AMT FDIC LS SHARE AGREEMENT DEBT SCT	AMT FDIC LS SHARE AGREEMENT OTHR ASS	ASSET SHR FDIC LN CNST DEV 1-4 FAM	ASSET SHR FDIC LN CNST DEV OTHR CNST	ASSET SHR FDIC LN SCD FARM	ASSET SHR FDIC LN SCD FAM OPEN SCD F	ASSET SHR FDIC LN SCD FAM CLS SCD 1S	ASSET SHR FDIC LN SCD 1-4 FAM CLS SC	ASSET SHR FDIC LN SCD MULTI RES	ASSET SHR FDIC LN SCD NFARM NRES OWN	ASSET SHR FDIC LN SCD NFARM NRES NFA	ASSET SHR FDIC LN AGRI OTHR FARM	ASSET SHR FDIC CMRL INDUSTRIAL LN	ASSET SHR FDIC LN TO IND HH CR CARD	ASSET SHR FDIC LN TO IND HH AUTO	ASSET SHR FDIC LN TO IND HH OTHER	ASSET SHR FDIC ALL OTHR	ASSET SHR FDIC LN DI ACPTNCE OTHR BK	ASSET SHR FDIC LN FRGN GVT OFFICIAL	ASSET SHR FDIC ALL OTHR LN	ASSET SHR FDIC OTHR RE CNST DEV	ASSET SHR FDIC OTHR RE FARM	ASSET SHR FDIC OTHR RE 1-4 FAM	ASSET SHR FDIC OTHR RE MULTI RES	ASSET LS SHR FDIC OTHR RE NFARM NRES	ASSET CVR LS SHR FDIC OREO PRTN PROT	CPTV INS SUB TOTAL ASSET CPTV INS SU	CPTV INS SUB TOTAL ASSET CPTV REINS 	ASSET SHR FDIC LEASE FNC REC	INST USE HOLA QTL OR IRS DBLA	INST COMPLY W HOLA QLT OR IRS DBLA	RMT TRSFR MECH ABRD RPT DT INTL WIRE	RMT TRSFR MECH ABRD RPT DT INTL ACH	RMT TRSFR MECH ABRD RPT DT OTR INST	RMT TRSFR MECH ABRD RPT DT OTR PRTY	MECH16A(2) LRGST NUM DEC312013 AFTR	MECH16A(2) LRGST NUM DEC312013 AFTR	EST NUMBER OF REMITTANCE TRANSFERS	EST DOLLAR OF REMITTANCE TRANSFERS	EST NM RMT TRNS INST APPLD TMP EXCPT	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	TRD NM OTR THN LGL TTL ID INST DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URLS PUB WEB TO ACCPT OR SOLICT DEPS	URL	
37																																											0	33	0	0	0	true	0	0	0	33	0	0	216	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.bankofhancock.com	
242																																											0	0	1340	0	4797	true	0	0	0	0	0	0	194	0	0	0	true	0	0	0	1340	1807	1450	200	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.fcbxeniaflora.com	
279																																											36	0	0	36	25097	true	0	0	0	0	0	0	2387	2	36	0	true	0	0	0	0	14643	4486	5968	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.mineolacb.com	
354																																											0	0	0	0	0	true	0	0	0	0	0	0	239	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.bisonstatebank.com	
457																																											0	67	800	0	1200	true	0	0	0	30	0	37	1406	4	0	0	false	0	0	0	800	400	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.lowrystate.com	
505																																											144	1289	10500	144	21000	true	0	0	0	1289	0	0	7343	2	144	0	true	0	0	0	10500	10500	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.bsnb.com	
1155																																											0	2043	0	0	0	true	0	1803	0	0	0	240	6795	5	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0												www.fsbtfremont.com																www.firststatebankandtrust.com	
1351																																											0	452	0	0	0	true	0	0	0	262	0	190	1430	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			true	false	false	false	false																					www.bankofgrandin.net	
1454																																											0	0	0	0	0	true	0	0	0	0	0	0	102256	5	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.hilltopnationalbank.com	
1557																																											343	0	338	0	1764	true	343	0	0	0	0	0	0	0	0	0	false	0	0	0	338	404	0	1022	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.fstbanc.com	
1669																																											205	0	0	0	0	true	205	0	0	0	0	0	2024	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.lnbparis.com	
1829																																											268	0	0	267	38960	true	1	0	0	0	0	0	3615	3	267	0	true	0	0	0	38960	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0	http://www.avbpgh.com		http://www.ilovethatbank.com		http://www.avbonline.com		http://m.ilovethatbank.com										http://avbpgh.com	
1856																																											0	0	0	0	30000	true	0	0	0	0	0	0	1327	1	0	0	false	0	0	0	0	0	30000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.washitastatebank.com	
2040																																											0	5	0	0	0	true	0	0	0	5	0	0	1552	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.fmnetbank.com	
2161																																											0	124	0	0	0	true	0	20	0	104	0	0	945	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.lamarnational.com	
2376																																											0	3850	356451	0	985160	true	0	0	0	0	3000	850	41657	3	0	0	false	0	0	0	356451	222815	244833	133857	0	27204	0	0	0	0	27204	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true																										http://www.oritani.com	
2554																																											0	0	0	0	0	true	0	0	0	0	0	0	119	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://www.sbmarietta.com	
2732																																											1112	2618	0	0	0	true	1112	0	0	180	0	2438	21314	4	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0																	www.albanybank.com	
2750																																											0	148	0	0	9897	true	0	148	0	0	0	0	993	1	0	0	false	0	0	0	9675	0	0	0	0	222	0	0	0	0	222	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0								0	0	0	0																	www.genoacb.com	
3177																																											570	387	0	3	113296	true	567	0	0	387	0	0	4107	1	3	0	false	0	0	0	15000	15000	20000	60000	110000	0	0	1377	1919	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true																										www.ochome.com	
3252																																											0	0	0	0	4500	true	0	0	0	0	0	0	1760	1	0	0	false	0	0	0	1000	2500	1000	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												http://fnbgordon.com	
3458																																											0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												www.fbgconline.com	
3720																																											0	1396	0	0	0	true	0	981	0	333	0	82	3001	3	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																												Bankofclarendon.com	
3971																																											1097	1579	0	58	22951	true	1039	715	0	768	0	96	0	0	58	0	true	0	220	0	0	0	0	22264	0	220	204	0	263	0	687	true	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	true																										www.midcountrybank.com	
