"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONN517	RCONN518	RCONN519	RCONN520	RCONN521	RCONN522	RCONN523	RCONN524	RCONN527	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
11837																																		0	620	0	0	0	0		620	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																											
12030																																		0	2130	0	0	0	0		20	1648	195	0	267	1563	1	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					431	29775	0	0	0	0	0	0																										http://www.fnbsouth.net	
12142																																		0	499	0	0	0	0		202	0	0	0	297	335	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					259	12836	0	0	0	0	0	0																											
12311	2358145	5544	0	1938840	191462	4151002		170835	4	191674	true	0	1369549	0	2237	8	933	0	1369549	1887400	873939	16936	304487	0	0	0	227843	0	0												212	171	4065	0	1096																0		true	true					0	0	0	0	0	0	0	0	0		0	0	0	0	0						38221	6344809	0	0	0	0	0	0										apply.huntington.com																www.Huntington.com	
12647																																		699	0	4000	0	99	4000		0	0	0	0	0	5270	2	99			0	4000	0	0	0	0	0	0	0	0	0	0						600																					87	8080	0	0	0	0	0	0																										http://www.PORTAGECOUNTYBANK.COM	
12656																																		0	18	0	0	0	0		0	0	18	0	0	495	1	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					13	195	0	0	0	0	0	0																										http://www.mybankathome.com	
12946																																		19308	814	47342	17530	0	93702		457	0	231	0	126	4041	2	0			0	47342	16252	5000	25108	0	0	0	0	0	0	0					2879	1778																					423	74537	0	0	0	0	0	0																											
13103																																		30678	774	75508	18407	0	85072		0	0	0	0	774	10888	4	0	false	0	0	75508	2378	4632	2554	0	0	0	0	0	0	0	false	false	0	0	139301	12271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					1160	202981	0	0	0	0	0	0																										www.bristolcountysavings.com	
13251																																		0	102	0	0	0	0		0	0	102	0	0	92	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					48	1022	0	0	0	0	0	0																											
13457																																		0	0	0	0	0	0		0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																											
