"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
37	1044	45	6	0	1248	255	0			0	0	
242	170	0	1	0	169	0	0			0	0	
279	511	9	6	0	497	1	0			0	0	
354	173	0	3	0	197	27	0			0	0	
457	377	75	5	0	378	81	0			0	0	
505	4132	150	103	0	3902	23	0			0	0	
1155	2935	226	5	0	2711	7	0			0	0	
1351	1428	30	22	0	1382	6	0	0	0	0	0	
1454	3016	120	3	0	2913	20	0			0	0	
1557	371	100	0	0	581	310	0	0	0	0	0	
1669	3248	71	28	0	3258	109	0			0	0	
1829	4164	106	1	0	4060	3	0			0	0	
1856	824	15	0	0	809	0	0			0	0	
2040	3623	316	25	0	3800	518	0			0	0	
2161	596	0	1	0	596	1	0			0	0	
2376	30249	1500	59	0	28819	129	0			0	0	
2554	107	7	0	0	100	0	0			0	0	
2732	5895	600	6	0	6173	884	0			0	0	
2750	772	433	0	0	595	256	0			0	0	
3177	3406	173	10	0	3376	153	0			0	0	
3252	1665	100	69	0	1558	62	0			0	0	
3458	324	15	0	0	309	0	0			0	0	
3720	1488	15	0	0	1475	2	0			0	0	
3953	1038	1348	55	0	2140	2505	0			0	0	
3971	12979	1421	520	0	12904	1866	0			0	0	
4156	1926	30	22	0	1908	34	0			0	0	
4231	811	282	7	0	943	421	0			0	0	
4437	3366	375	134	0	3091	234	0			0	0	
4839	5101	450	4	0	4687	40	0			0	0	
5005	60	60	0	0	1593	0	-1593			0	0	
5069	16750	0	0	0	16750	0	0			0	0	
5135	3691	225	6	0	3678	218	0			0	0	
5210	14538	1125	252	0	15482	2321	0			0	0	
5331	2413	675	0	0	1863	125	0			0	0	
5461	4774	1349	4	0	4501	1080	0			0	0	
5751	924	0	0	0	1067	143	0			0	0	
6039	1108	75	5	0	1146	118	0			0	0	
6141	345	15	11	0	402	83	0			0	0	
6329	7197	2100	223	0	7346	2472	0			0	0	
7009	0	0	0	0	0	0	0			0	0	
7045	954	45	14	0	908	13	0			0	0	
7072	1511	220	0	0	1590	299	0			0	0	
7157	372	12	27	0	370	37	0			0	0	
7456	402	20	0	0	382	0	0	0	0	0	0	
7634	1223	80	18	0	1185	60	0			0	0	
8033	1074	270	2	0	914	112	0			0	0	
8462	488	0	5	0	494	11	0			0	0	
8631	463	8	9	0	462	16	0			0	0	
9357	5525	0	41	0	5585	101	0			0	0	
9553	732	0	3	0	791	62	0			0	0	
9807	60104	0	242	0	60617	755	0			0	0	
9955	1373	0	24	0	1349	0	0			0	0	
10250	9985	425	351	0	10823	1614	0			0	0	
10849	2873	50	7	0	2955	139	0			0	0	
10858	2549	0	32	0	2598	81	0	0	0	0	0	
11145	1532	150	19	0	1598	235	0			0	0	
11275	18254	5500	130	0	25790	13166	0			0	0	
11640	2990	75	122	0	2849	56	0			0	0	
11837	1149	75	1	0	1076	3	0			0	0	
12030	10436	1000	868	0	10189	1621	0			0	0	
12142	1750	15	26	0	1755	46	0			0	0	
12179	363	51	32	0	315	35	0			0	0	
12245	1368	10	0	0	1371	13	0			0	0	
12311	897201	32035	24969	695	944660	103768	0			0	0	
12647	931	60	1	0	872	2	0			0	0	
12656	238	8	1	0	249	20	0			0	0	
12937	1830	135	1	0	1784	90	0			0	0	
12946	11792	1134	281	0	10811	434	0			0	0	
12955	1211	75	2	0	1138	4	0			0	0	
13103	9939	430	39	0	9659	189	0			0	0	
13251	582	60	2	0	548	28	0			0	0	
13457	168	0	29	0	139	0	0			0	0	
14052	633	130	2	0	876	375	0	0	0	0	0	
14155	1573	129	11	0	1550	117	0			0	0	
14650	390	7	7	0	383	7	0			0	0	
14753	409	0	1	0	408	0	0			0	0	
14865	2615	225	10	0	2591	211	0			0	0	
14977	330	0	1	0	329	0	0			0	0	
16458	2539	45	5	0	2494	5	0			0	0	
16551	2577	225	6	0	2474	128	0			0	0	
16748	478	25	4	0	449	0	0			0	0	
16944	224	0	2	0	239	17	0			0	0	
16953	113	0	5	0	108	0	0			0	0	
17110	279	0	0	0	279	0	0			0	0	
17147	70369	4875	898	0	70898	6302	0			0	0	
17259	253	40	10	0	205	2	0			0	0	
17464	43950	1100	455	0	43905	1510	0			0	0	
17950	3075	294	2	0	2881	102	0			0	0	
17978	2580	54	30	0	3007	511	0			0	0	
18050	2974	355	33	0	2889	303	0			0	0	
18135	1499	120	14	0	1448	83	0			0	0	
18377	249	0	0	0	249	0	0			0	0	
18827	4698	31	8	0	4664	5	0			0	0	
18836	2416	138	54	0	2316	92	0			0	0	
18854	2141	205	0	0	1937	1	0			0	0	
18957	401	93	3	0	446	141	0			0	0	
19356	911	0	38	0	874	1	0			0	0	
19730	50524	14650	68	0	36960	1154	0			0	0	
19936	2931	200	19	0	3179	467	0			0	0	
19972	300	0	0	0	300	0	0	0	0	0	0	
20053	908	111	29	0	770	2	0			0	0	
20512	574	1	6	0	572	5	0			0	0	
20633	2899	120	3	0	2776	0	0			0	0	
20857	416	0	0	0	449	33	0			0	0	
21256	144	0	1	0	143	0	0			0	0	
21359	201	0	0	0	201	0	0			0	0	
21630	314	15	0	0	299	0	0			0	0	
21658	1459	120	87	0	1377	125	0			0	0	
22048	3056	21	12	0	3095	72	0			0	0	
22356	2224	25	19	0	2180	0	0			0	0	
22543	847	103	0	0	957	213	0			0	0	
22552	977	15	1	0	979	18	0			0	0	
22730	702	0	4	0	711	13	0			0	0	
22936	5898	145	180	0	5976	403	0			0	0	
22954	1424	40	4	0	1382	2	0	0	0	0	0	
23045	191	0	0	0	191	0	0			0	0	
23456	709	20	1	0	737	49	0			0	0	
23504	11316	825	34	0	10837	380	0			0	0	
23540	2329	300	2	0	2382	355	0			0	0	
23643	1906	180	39	0	1698	11	0			0	0	
23755	1388	74	0	0	1334	20	0			0	0	
24006	4985	0	10	0	4985	10	0			0	0	
24378	210	30	3	0	177	0	0	0	0	0	0	
24453	1791	1790	1	0	9495	0	-9495			0	0	
24659	393	-17	17	0	393	0	0			0	0	
24668	1512	73	11	0	1461	33	0			0	0	
24855	27	-50	0	0	77	0	0			0	0	
24949	14758	6200	11	0	9484	937	0			0	0	
25357	1442	7	2	0	1437	4	0			0	0	
25647	2277	18	1	0	2964	706	0			0	0	
26176	17752	959	138	0	17299	644	0			0	0	
26242	2917	0	67	0	2940	90	0			0	0	
26457	188	0	0	0	188	0	0			0	0	
26765	3924	0	77	0	3847	0	0			0	0	
26859	6156	50	54	0	6695	643	0			0	0	
27070	800	45	0	0	800	45	0			0	0	
27548	7302	1260	85	0	6943	986	0			0	0	
27614	1453	150	2	0	1499	198	0			0	0	
27847	7829	573	43	0	7840	627	0			0	0	
28013	27100	615	19	0	26836	370	0			0	0	
28152	757	0	0	0	757	0	0			0	0	
28255	1821	120	24	0	1684	7	0			0	0	
28349	2985	0	595	0	2920	530	0			0	0	
28406	3752	214	56	0	3486	4	0			0	0	
28572	1283	170	7	0	1419	313	0	0	0	0	0	
28675	637	56	0	0	584	3	0			0	0	
28732	1083	15	0	0	1102	34	0			0	0	
29104	9754	107	48	0	9602	3	0			0	0	
29476	367	14	1	0	350	0	2			0	0	
29636	7072	536	64	0	6681	209	0			0	0	
29878	11115	531	0	0	11115	531	0			0	0	
29953	1059	0	2	0	1057	0	0			0	0	
30052	244	2	0	0	242	0	0			0	0	
30418	61	4	0	0	68	11	0			0	0	
30502	11029	738	75	0	10332	116	0			0	0	
30650	2564	0	23	0	2731	190	0			0	0	
30810	1970626	84007	152638	0	2245002	511021	0	0	301677	0	0	
30874	11298	1275	2	0	12075	2054	0			0	0	
31134	748	110	16	0	700	78	0			0	0	
31255	4140	210	123	0	3861	54	0			0	0	
31657	538	80	10	0	474	26	0			0	0	
31826	3116	100	20	0	3023	27	0			0	0	
31835	1742	75	58	0	1637	28	0			0	0	
32234	281	-108	5	0	384	0	0			0	0	
32766	229	9	1	0	227	8	0			0	0	
32971	1701	152	2	0	1685	138	0			0	0	
33147	4373	485	5	0	4217	334	0			0	0	
33259	8725	925	85	0	8159	444	0			0	0	
33268	637	0	1	0	639	3	0			0	0	
33370	193	6	0	0	187	0	0			0	0	
33754	325	12	1	0	330	18	0			0	0	
33839	89	0	0	0	89	0	0			0	0	
33857	1066	165	4	0	905	8	0			0	0	
34153	18009	2640	106	0	18286	3033	10			0	0	
34359	284	0	2	0	282	0	0	0	0	0	0	
34425	3308	96	172	0	3189	149	0			0	0	
34434	1750	220	3	0	1575	48	0			0	0	
34452	525	27	0	0	536	38	0			0	0	
34537	24455	2305	266	0	25565	3681	0			0	0	
34555	1268	30	2	0	1269	33	0			0	0	
34742	1933	-3	4	0	2023	91	0			0	0	
34836	347	0	7	0	381	41	0			0	0	
35057	1625	0	20	0	1620	15	0			0	0	
35301	22435	320	0	0	22115	0	0			0	0	
35570	123516	13000	281	0	117242	7007	0			0	0	
35646	125	10	2	0	214	101	0			0	0	
35842	2526	250	14	0	2528	266	0			0	0	
35879	713	30	0	0	683	0	0			0	0	
36054	11931	300	54	0	12869	1292	0			0	0	
36456	885	0	12	0	971	98	0			0	0	
36858	1338	-210	202	0	1346	0	0			0	0	
36933	1071	147	26	0	1212	314	0			0	0	
37051	740	0	1	0	739	0	0			0	0	
37341	566	21	0	0	547	2	0			0	0	
37378	3099	195	0	0	2981	77	0			0	0	
37435	16952	1551	223	0	17154	1976	0			0	0	
37640	15766	690	98	0	15312	334	0			0	77	
37659	406	10	2	0	403	9	0			0	0	
37743	1050	0	7	0	1056	13	0			0	0	
37949	1821	75	1	0	1745	0	0			0	0	
38535	17442	2589	4	0	15448	599	0			0	0	
38740	1540	60	28	0	1487	35	0			0	0	
39327	773	193	17	0	672	109	0			0	0	
39420	17115	1900	228	0	17063	2076	0			0	0	
39475	4077	0	349	0	4768	1040	0			0	112	
39756	5088	225	3	0	5722	862	0			0	0	
40033	454	0	61	0	418	25	0			0	0	
40350	259	0	0	0	259	0	0			0	0	
40707	2497	164	4	0	2491	32	-130			0	0	
40855	614	22	5	0	590	3	0			0	0	
41245	600	30	6	0	573	9	0			0	0	
41553	730	0	10	0	722	2	0			0	0	
41629	2427	66	93	0	2429	161	0			0	0	
41759	521	165	3	0	366	13	0			0	0	
41825	1952	-27	1	0	2232	254	0			0	0	
41937	337	6	0	0	333	2	0			0	0	
41955	298	0	1	0	297	0	0			0	0	
42037	558	0	6	0	573	21	0			0	0	
42055	493	36	16	0	706	265	0			0	0	
42354	761	12	1	0	748	0	0			0	0	
42372	1581	97	0	0	2411	927	0			0	0	
42420	60732	3787	704	0	61234	4993	0			0	0	
42448	9846	427	199	0	9497	277	0			0	0	
42457	323	0	1	0	322	0	0			0	0	
42671	26182	0	490	0	33111	7419	0			0	0	
43052	2362	0	40	0	2363	41	0			0	0	
43351	84	1	0	0	83	0	0			0	0	
43454	207	0	3	0	204	0	0			0	0	
43744	5720	0	266	0	5874	420	0	0	0	0	0	
43856	262	0	0	0	262	0	0			0	0	
43959	833	30	9	0	930	136	0			0	0	
44040	2709	150	32	0	2578	51	0			0	0	
44433	4167	0	59	0	4217	109	0			0	0	
44741	4181	270	45	0	4093	227	0			0	0	
44750	2036	129	7	0	1970	70	0			0	0	
44929	1417	500	3	0	998	84	0			0	0	
45038	1757	188	0	0	1623	54	0			0	0	
45047	1674	45	7	0	1646	24	0			0	0	
