"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	9827	0	4413	14469	0	24645	0	0	0	0	40911	0	473		20436	2934	3019	20232	40438	0	0	101	0	0	3163	13832	10280	516	16995	0	0	358	0	7355	358	0	0	0	true							
242	5813	0	655	6936	0	13068	0	0	0	0	18272	0	3700		4501	4333	1441	12413	14572	0	0	0	0	0	946	2558	1333	882	3504	0	2150	256	0	1219	2406	0	2150	0	true							
279	37031	0	0	15657	0	48618	0	0	0	0	119612	0	0		32967	1591	14222	48618	119612	0	0	5745	0	0	11495	31675	27327	1973	43170	1919	3063	3539	0	39503	8521	0	4982	0	true							
354	1583	0	107	2139	0	2139	0	0	0	0	4350	0	1040		1605	862	0	2032	3310	0	0	0	0	0	612	1289	4	0	1901	0	0	0	0	300	0	0	0	0	false							
457	6743	0	582	5806	0	8592	0	0	0	0	27945	0	2926		6025	12913	2122	8010	25019	0	0	450	0	0	1464	4392	1751	681	5856	0	0	0	0	2263	0	0	0	0	true							
505	223941	5	13974	30777	0	44683	0	0	0	0	386129	0	120595		17520	132267	5054	30704	265534	0	0	1503	0	0	8195	11386	6165	516	19581	1137	1070	1452	0	8742	3659	0	2207	0	true							
1155	729	6	7658	31107	0	128981	0	0	9076	0	74450	0	6452		32710	9992	8944	120811	67760	506	238	3464	9076	9076	22752	21096	8702	1806	35662	1704	5825	1845	0	21646	9374	0	6877	0	true							
1351	6094	0	8063	19933	0	33840	0	0	0	0	94082	0	6050		36148	17489	8506	25777	88032	0	0	3434	0	0	13304	29044	16072	0	42348	1357	7741	2981	0	22271	12080	0	9098	0	false							
1454	562	0	11411	185067	0	327193	0	0	0	0	379935	657	24053		39382	289962	25619	315782	355225	0	0	8451	0	0	18058	21586	13428	6312	34261	16338	9996	3411	282	20002	30027	0	5050	0	true							
1557	11103	0	3422	17672	0	26298	0	0	3361	0	27318	0	2074		7110	2230	1371	22876	25244	0	0	101	3361	2561	2170	6399	800	2808	8569	300	1507	0	0	5067	1807	0	1807	0	false							
1669	30487	13	20172	64975	0	133237	0	0	0	0	104843	0	352		28979	26763	9937	113001	104451	51	40	1815	0	0	10595	19884	8112	3603	29368	695	2514	1789	401	13215	5399	0	3209	0	true							
1856	1552	0	532	2686	0	4730	0	0	5701	0	58467	0	405		20774	27184	0	4198	32818	0	25244	0	5701	0	7420	12779	7011	995	20199	505	262	758	0	7431	1525	0	767	14951	false							
2040	15938	10	573	22342	0	44356	0	0	30804	0	107365	0	7377		26419	53816	4114	43773	99726	0	262	920	30804	15000	4356	5657	17915	7261	10013	307	1898	217	0	8770	2422	0	2205	1118	true							
2161	31384	0	1036	30567	0	68068	0	0	500	0	65799	0	639		10304	8662	7419	67032	65160	0	0	0	500	500	4875	10734	3004	458	15609	3413	1574	1443	252	8767	6682	0	4987	0	true							
2376	719372	0	44334	27950	0	213371	0	0	532050	0	2733963	0	318483		420357	855176	116517	169037	2341921	0	73559	46304	532050	532050	221307	286896	345526	101686	504844	48100	67284	62311	26306	535057	204001	0	115383	72501	true	10239	20557	394760	452299	319730	103328	
2554	3148	0	221	13	0	6973	0	0	0	0	6741	0	478		3183	0	0	6752	6263	0	0	0	0	0	957	2130	391	115	3087	0	0	0	0	410	0	0	0	0	false							
2732	58675	0	8482	133533	0	167452	0	0	14206	0	336661	0	11200		46276	130767	11549	158970	325461	0	0	3377	14206	14206	14779	42436	14511	2093	56932	33585	31581	8232	0	27543	73398	0	65166	0	true							
2750	17501	0	3383	4268	0	13493	0	0	0	0	31525	0	7099		7985	404	1484	10110	24281	0	145	316	0	0	4303	4551	2765	378	8061	0	858	765	0	4013	1623	0	858	0	true							
3252	14255	0	57637	24481	0	85330	0	0	13946	0	77154	0	25543		11127	13153	5450	27693	51361	0	250	0	13946	13384	13827	11475	3803	4553	25302	7965	6385	1739	0	22530	16089	0	14350	0	false							
3458	2306	0	3320	4583	0	12341	0	0	0	0	26154	0	3825		9242	3152	831	9021	22329	0	0	0	0	0	3054	8135	5919	1807	11189	300	594	886	0	9673	1781	0	894	0	false							
3720	36545	0	21131	42858	0	120040	0	0	0	0	97387	0	10971		21358	7986	5909	98909	86416	0	0	2073	0	0	11686	22040	1498	7	33726	4471	11582	1571	0	13873	17625	0	16053	0	false							
3971	101553	0	135	20909	0	35229	0	0	101783	0	568428	0	11306		144043	244163	19707	35086	481836	8	75286	6687	101783	56539	13623	106091	58939	21184	119714	888	9580	11187	1220	55794	22875	0	10468	3473	true							
4156	19842	0	16779	40919	0	90531	0	0	11646	0	89872	0	10228		20775	23762	4776	73752	76179	0	3465	1998	11646	11566	11454	17106	10327	3808	28560	250	2456	519	349	21919	3574	0	2706	3465	true							
4231	17232	0	9898	24264	0	37228	0	0	0	0	58732	0	748		15369	6170	13522	27330	57984	0	0	8097	0	0	3727	13408	7785	6008	17135	0	1470	840	2091	15560	4401	0	1470	0	false							
4839	26954	0	10159	57046	0	69547	0	0	26150	0	200879	0	28950		26890	52604	10566	59388	144767	0	27162	3941	26150	24973	15789	51916	30869	992	67705	12495	4224	5036	0	72676	21755	0	16719	27162	true							
5069	48257	0	0	23203	0	27039	0	0	51821	0	259346	0	1231		45615	16591	1002	27039	203978	0	54137	484	51821	14413	22672	66377	49902	14978	89049	16919	17858	5085	707	108314	40569	0	34777	40908	false							
5135	19446	0	27985	58240	0	110047	0	0	69327	0	274419	0	9760		115495	55138	16918	82062	193602	0	71057	7494	68608	68608	77356	95761	3815	0	173117	8365	14106	432	0	61437	22903	719	22471	1480	true							
5210	680866	14	81002	65001	0	108438	0	0	11135	0	1213870	0	75726		199250	173055	60331	27422	1137912	0	232	19716	11135	8774	53510	104211	119372	25841	152560	14888	27061	10100	4966	103684	57015	0	41949	7258	true	5075	20927	105269	67786	434966	170174	
5461	325251	0	6911	44055	0	56214	0	0	58061	0	514869	0	14429		7873	158906	3138	49303	500440	0	0	1904	58061	58061	5755	10491	1652	727	16246	3529	8148	409	0	10753	12086	0	11677	0	true							
5751	8811	1	3365	22316	0	42841	0	0	5542	0	113875	0	22280		18416	61690	9322	39475	87522	0	4073	4461	5542	2479	10663	13047	12262	2305	23710	1621	795	2422	259	19861	5097	0	2416	0	true							
6039	39760	0	10940	98811	0	117864	0	0	0	0	127475	0	5910		43836	13660	13113	106924	121565	0	0	2972	0	0	17177	43966	5486	486	61143	1477	4936	526	0	23279	6940	0	6413	199	false							
6141	3710	12	14648	23569	0	36729	0	0	0	0	14925	0	1187		4088	1961	1043	22069	13738	0	0	423	0	0	1750	4252	668	48	6002	0	2536	0	0	2630	2536	0	2536	0	true							
6329	46555	0	13057	205467	0	254635	0	0	5690	0	336197	0	11117		75922	72037	13834	241578	325080	0	0	4712	5690	0	45677	92951	26905	8668	138628	9739	25008	6451	2206	98279	43404	0	34747	7940	false							
7009	0	0	0	100332	0	100332	0	0	0	0	661869	0	0		0	661869	0	100332	661869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false							
7045	22985	0	9974	20998	0	110526	0	0	0	0	73618	0	5898		20670	17476	6549	100552	67720	0	0	250	0	0	2706	9316	10209	7955	12022	263	0	2708	0	9516	2971	0	263	0	true							
7072	62344	0	631	39151	0	62790	0	0	2205	0	191415	0	11739		50129	36425	19335	62159	179427	0	249	5274	2205	0	16633	33570	21552	6657	50203	560	7041	5767	867	28282	14235	0	7601	249	true							
