"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	8534	0	6144	14928	0	26084	0	0	0	0	32848	0	511	4826	16347	1697	2653	19940	32337	0	0	224	0	0	3106	10058	4771	3546	13164	510	0	0	624	5134	1135	0	0	510	0	true							
242	5927	0	734	7759	0	13371	0	0	0	0	17904	0	1176	511	4746	4492	1534	12637	16728	0	0	137	0	0	1172	1914	2287	1340	3083	0	256	251	266	1967	773	0	0	256	0	true							
279	49103	563	0	24216	0	69288	0	0	0	0	135024	1020	0	0	30732	11590	13541	68725	134004	0	0	5365	0	0	14988	24753	23725	2811	39741	1582	5094	1378	0	35546	8054	0	0	6676	0	true							
354	1671	0	123	6614	0	6614	0	0	0	0	6130	0	891	0	1599	1699	0	6491	5239	0	0	0	0	0	607	1822	78	0	2429	0	254	0	0	907	254	0	0	254	0	false							
457	6310	0	592	7743	0	10567	0	0	0	0	30310	0	3127	1521	6536	11566	2270	9975	25436	0	1747	1054	0	0	2948	3674	2212	1296	6622	1776	527	0	0	3594	2303	0	0	2303	247	true							
505	185544	2	3359	35490	0	48006	0	0	0	0	398273	0	96339	92828	19486	164169	4183	44645	300953	0	981	1119	0	0	4451	19089	7452	852	23521	3243	13195	278	0	12358	16716	0	0	16438	0	false							
1155	940	1	13551	38653	0	150948	0	0	0	0	81267	0	3205	10980	27949	25920	7882	136401	78062	995	0	2442	0	0	11612	8619	21576	1146	17154	2861	6209	2384	0	15004	11454	12802	0	9070	0	true							
1351	7662	0	9922	19103	0	37351	0	0	0	0	107875	0	5995	14018	37336	22924	9293	27429	101880	0	0	4573	0	0	12237	26795	23926	0	39032	364	11571	2397	0	25621	14332	0	0	11935	0	false							
1454	670	0	31447	241478	0	387089	0	0	0	0	291185	585	70229	81603	35157	203765	26328	355642	220371	0	0	9491	0	0	22081	16560	9811	4018	33720	27135	4917	514	1715	17312	34281	0	0	9540	0	true							
