"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
37	5404	0	2278	6822	0	14245	0	0	0	0	0	51334	0	483		28365	2062	4960	16982	0	4304	12697	11288	75	1406	8111	5985	0	11967	50851	0	0	839	0	14926	576	0	0	9265	252	0	
242	4485	0	257	6140	0	10706	0	0	0	0	0	15451	0	889		6400	2782	1971	4001	0	1445	2556	1912	487	543	671	366	205	10449	14562	0	0	252	0	1785	0	0	0	1213	0	0	
279	18516	0	0	7842	0	23171	0	0	0	0	0	90033	0	0		34243	2895	12589	24018	0	9027	14991	8506	1719	7519	15464	8630	2766	23171	90033	0	0	4467	0	31801	2578	0	0	21297	1686	0	
354	1441	0	81	2917	0	2917	0	0	0	0	0	6325	0	1446		2568	1380	0	2568	0	419	2149	0	0	736	200	0	0	2836	4879	0	0	0	0	936	0	0	0	936	0	0	
457	4276	0	208	4960	0	7407	0	0	0	0	0	25084	0	1658		9708	8362	2171	7699	0	1942	5757	1587	422	914	1010	315	499	7199	23426	0	0	551	0	2738	0	0	0	1924	0	0	
505	118830	0	2330	13382	0	24775	0	0	131	609	0	286581	0	66199		34819	114443	7389	28979	131	5976	23003	5169	671	6689	7922	3460	418	22445	220382	0	0	2093	478	13266	5223	478	0	9897	4714	0	
1155	760	2	3588	22060	0	95805	0	0	0	0	0	87566	0	2676		49275	8023	13811	29917	0	28137	12337	5709	3092	15186	8938	2933	2451	92169	84640	46	250	5335	0	22219	7289	0	0	14993	4084	0	
1351	4462	0	7257	14831	0	26131	0	0	0	0	0	116501	0	6091		49613	19599	10002	39152	0	10225	28927	10461	0	8133	24270	10424	0	18874	110410	0	0	3749	0	32140	10687	0	0	25272	7131	0	
1454	1288	0	10990	156854	0	264892	0	0	0	0	0	279166	749	33087		50437	164165	25592	31321	0	16188	17759	9759	6731	41049	13799	5265	3163	253902	245330	0	0	7923	0	20685	42591	0	0	15759	16809	0	
1557	7792	0	3591	20405	0	30117	0	0	0	0	0	28797	0	2098		11798	2647	1948	8161	0	3042	5119	2750	887	1718	2588	1088	1166	26526	23473	0	3226	1701	0	3880	2680	0	0	2496	1409	0	
1669	17304	2	15131	41061	0	89220	0	0	0	0	0	104310	0	366		44428	19475	11815	33782	0	13968	20748	7291	2421	6996	10560	4161	1386	73685	103863	402	81	2301	0	19893	3210	0	0	14946	0	0	
1829	45807	0	118	83773	0	103689	0	0	231	920	0	240361	0	3670		70826	84312	22956	27651	0	7999	19652	26377	16798	4634	8606	14119	12057	103571	236615	0	76	8106	689	27050	12366	689	0	8061	5179	0	
1856	963	0	677	2370	0	4197	0	0	49864	49864	0	63945	0	535		61207	1675	0	20254	11795	5106	15148	24482	16471	0	100	0	0	3520	56802	0	6608	0	0	100	0	0	0	100	0	6608	
2040	11863	7	3297	16107	0	38448	0	0	37761	49652	0	132166	0	6407		57063	52650	7727	21909	6696	5780	16129	11956	23198	1779	7153	1281	377	35144	125525	0	234	1664	11891	9168	1422	11538	0	4823	3922	0	
2161	19137	0	11147	23610	0	56944	0	0	0	0	0	63230	0	10887		13711	5225	7577	11732	0	4364	7368	1608	371	12533	11271	1049	305	45797	52343	0	0	186	0	10882	14276	0	0	9934	13870	0	
