"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RIADG377	
2536633																																																															0	1783	1652		2555			3684	1993		0	49346	0	0	0	16733	1194		18273	1557	2364	5146	5823	785	1058	6893	7459	6170	9670	2422	0				0	1					6649	2384	7004	2815							0													0	5545				0		0	69								543													287		0	
2539960																																																																153702	1423		176739			48947	1090		10194	473046	0	0	0	27913	2587		193581	2653	2133	6951	1113	5325	9739	213019	8103	40295	34738	69147	78753				0	204					1671	7300	23079	7854							0													0	92107				5100		0	769								8209													1365		0	
2562137																																																															0	41838	22		42441			9932	2412		359	136836	0	375	0	24567	1042		54625	713	2389	7591	7455	6297	122	31247	24287	14707	18578	20752	2698				0	59					1805	1165	4004	4722							0														40036				0		0	29								1316													748			
2562164																																																															14400	10900	83519	0	4394	103873	0	103873	12321		210	1005178	2159	0	3743	96402	9097	57739	311695	3350	9207	25207	14049	18683	25844	203852	95286	145538	166107	298194	1260	10000	4400	0	0	162	0				55286	64372	243492	305586	0	0				0	0														168864				0	19	0	19							0	239	0	0	0	0	0	0	0	0	0	0	0	0	3065	0		
2567123																																																															0	0	0		0			0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	0					0	0	0	0						0	0													0	0				0		0	0							0	0	0	0	0	0	0			0	0		0	0	0	0	0	
2568063																																																																0	0	0	0	88147	28	88174	0		0	330496	0	0	0	0	0	0	56799	0	0	0	0	0	0	22535	36284	74907	124482	72288	0	0	0	0	23142	7984	0				0	591	43718	0	0	0				0	0													0	0				856	0	0	0							144	8012	0	0	0	244	0	282	0	330	0	0	0	186	158875	282	0	
2576134																																																																0	0		0			277408	0		0	622206	0	0	0	0	0		432967	0	0	0	0	0	0	76016	356951	188576	226	437	0				18482	0					0	0	226	437							0													0	7760				0		0	0								0													325653		0	
2577739																																																																1454	40		5			10623	3077		1275	59476	0	0	0	14588	498		11919	1748	1419	3842	3919	3323	257	4824	6820	8000	11759	11801	1454				0	127					3606	6293	8000	6324							0													0	14588				203		0	0								484													3082		0	
2580243																																																																564	37353	0	0	47835	0	47835	5737		0	529283	0	0	0	74058	2425	10360	111569	7050	6811	15672	21637	9977	12748	78568	47168	151893	144729	32432	76	0	0	0	427	44	0				12655	25193	110393	212298	0	0				0	0														410193				275	1	0	1							0	168	0	0	0	205	0	70	0	0	0	0	0	0	132	70		
2587916																																																																280	2123		0			18723	19870		0	256294	0	0	0	118263	2150		8180	1626	6789	24479	32542	43448	9379	48485	4844	21782	29793	33008	125				0	45					2648	2545	42116	45626							0													0	144690				0		0	1017								165													723		0	
2590037																																																																0	44	0	0	132005	0	132005	284837		0	8998962	0	0	0	2742491	124999	387633	119894	6769	41324	53157	212123	476910	1923174	1613344	78031	1103794	1571939	1549967	284254	0	0	0	1385077	0	0	12417			0	0	191551	4983	0	0				68737	8356														2945108				81819	1000	0	1000							9371	3050078	0	0	0	2721	0	232	0	10129	0	0	0	0	1081897	232		
2594240																																																															2591	1238	39022		3021			63201	2623		0	335421	0	0	0	71765	693		45531	1888	3862	9118	31766	18390	6740	8906	30875	38925	102800	79530	2486				0	481					2499	17082	30319	97367							0														208962				281		0	1768								11													1740			
2594419																																																																0	331	61	0	7346	0	7346	11547		0	140017	0	0	0	75306	772	17807	10329	16	1758	10692	5802	17500	39538	12968	3511	11145	9403	27328	351	0	0	0	0	52	0				3683	4128	23008	6907	0	0				0	0													0	74071				0	23	0	84							0	81	0	0	0	0	0	0	0	0	0	0	0	0	6772	0	0	
2596646																																																															0	63752	38229		12324			198613	5875		23755	1197148	0	301	0	279977	12800		444210	25084	67249	123822	44451	6439	10850	137447	214430	285150	190365	79231	3171				4450	1102					52946	104264	238048	108023							122														472041				8358		0	1262								5531													45896			
2597223																																																																0	0		0			0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0				0	0					0	0	0	0							0														0				0		0	0								0													0			
2598396																																																															0	2761	6168		15			17102	5650		29	98103	0	0	0	20066	2829	3806	23030	950	1539	4344	9705	792	2331	10712	9830	19675	23545	8231	1845				0	502					910	6162	21441	13503						86	305														17693				86		0	72							0	407	0	0	0	0	0			0	0		0	0	486	0		
2600039																																																																0	0		0			0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0				0	0					0	0	0	0							0														0				0		0	0								0													0			
2602828																																																															0	0	0		0			1327	0		0	11714	0	0	0	2176	419		4959	0	1258	227	472	0	220	852	3049	3232	1029	1268	98				0	0					0	309	4797	2135							0													0	1137				0		0	0								80													471		0	
2605566																																																															0	0	0		0			0	0		0	10560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	1906	8596	0				0	0					0	0	0	0						0	0														0				0		0	0							0	0	0	0	0	0	0			0	0		0	0	10560	0		
2607412																																																																0	4931		0			375	91		0	75303	0	0	0	35903	89		31279	3549	13975	6268	740	10577	0	2654	11101	3917	1714	19974	0				0	40					3820	0	20451	9603							0														0				234		0	0								0													0			
2608754																																																																4103	85906	0	4638	794569	0	794569	41038		43072	2901544	0	10077	7611	365373	12742	95010	667401	8477	16239	56393	95596	156319	29831	882751	244867	425223	591375	382033	8970	0	0	0	429	1750	0				47715	183808	563710	716782	0	10077				2109	285														1275557				18024	6854	0	6854							0	10724	0	82	3	3714	174	11903	0	39	0	0	0	0	8254	11903		
2610784																																																																0	843		0			4071	2976		0	29617	0	0	0	3772	485		3670	478	771	332	1814	377	0	1858	2045	7955	8431	5542	0				0	1438					0	0	12482	2769							0														0				0		0	0								185													596			
2614344																																																																1614	5279		0			11398	10988		39	169600	0	0	0	68567	1724		40555	11232	25933	14924	3944	4026	7508	22094	34381	32629	7843	3039	215				0	306					10298	11310	18954	21327							57														68567				182		0	178								2775					168			14					4843			
2615190																																																															0	0	0	0	0	32	0	32	0		0	3773696	0	0	0	0	0	0	343	0	0	0	0	0	0	3011048	43870	432364	226076	49176	0	0	0	0	3085546	0	0	108944			0	0	0	0	0	0				0	0														677869				86945	0	0	0							86945	0	0	0	0	0	0	0	0	86945	0	0	0	0	688118	0		
2615220																																																																22446	166		8536			15075	376		1801	136218	0	403	0	48112	768		34028	3705	5935	7695	10775	9837	10141	14972	18999	12778	28250	12584	468				0	1					2535	0	19183	9664							0														84156				830		0	61								3771													3320			
2618780																																																																14108	445323	210514	5587	7941888	30263	7972151	5460		280424	25212946	68225	142538	1111587	1225466	476	383574	12911049	840947	18631	29237	58275	272638	4317	21338547	1418821	218865	236686	507430	117612	0	0	0	0	63666	11030				801664	1858307	864499	1890361	0	142538				0	0														17658867				0	18032	9459201	228546							0	294	0	0	0	0	0	0	0	0	0	0	0	0	23100	0		
2619714																																																																40193	6992		21615			15615	9509		151	205247	0	0	0	40365	4354		53323	1761	7042	13128	5576	1164	11456	37934	28729	55476	29566	8884	3292				0	0					5574	6281	38079	10831							0														107763				0		0	18								3528													2142			
2621285																																																																23	1089		0			8981	3740		0	55032	0	0	0	9344	438		17345	139	1249	1825	3545	2586	0	4304	11653	8428	14943	6329	0				0	326					6057	1246	12402	11072							0														14881				0		0	0								54													260			
