"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	0	0	0	0	0	13	0			0	0	15	0	0	0											0	0	0	0			0	0	6	0	0	0			0	1	0	0	0	0	0	0				9	4	6	2	
242	0	0	0	0	0	0	0	0	0	0			0	0	4	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	0	3	0	
279	0	0	0	0	0	0	0	0	39	20			0	0	177	5	0	0											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	162	0				0	0	10	19	
354	0	0	0	0	0	0	0	0	10	0			0	1	2	0	0	0						0				1	0	0	0	0			0	0	3	0	0	0			0	0	0	0	0	0	0	0				0	4	2	2	
457	0	0	0	0	0	0	0	0	19	0			0	0	138	100	0	5						5				0	0	0	0	0			0	0	0	0	4	2			0	0	0	0	16	0	0	0				0	2	11	17	
505	0	0	0	0	0	0	0	0	275	202		0	0	0	286	144	0	5		0	0		0	0	0		0	0	0	0	0	0			0	0	33	6	80	48			0	0	0	0	0	0	0	8	0	0		9	20	0	6	
1155	0	0	0	0	0	0	0	0	14	1			0	1	121	0	0	7											0	0	0	0			13	0	0	0	0	0			0	0	0	0	84	9	0	1				5	1	12	1	
1351	36	0	0	0	0	0	0	0	82	59			0	3	679	538	0	14						0				0	0	0	0	0			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0				33	12	58	8	
1454	0	0	0	0	0	0	0	0	18	5		0	0	6	50	8	0	15		0	0		0	0	0		0	0	0	0	0	0			0	2	0	0	0	0			0	0	0	0	0	0	0	0	0	0		6	0	21	5	
1557	0	0	0	0	0	0	0	0	0	0			0	0	5	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0		0	0	0	0	0	0	0	0				5	0	0	0	
1669	0	0	0	0	0	0	0	0	51	1			0	0	156	0	0	0											0	0	0	0			0	0	14	0	57	0			0	0	0	0	0	0	0	0				47	7	52	29	
1829	0	0	0	0	440	0	0	0	80	0		0	0	0	523	0	0	0		0	0		0	0	0		0	0	0	0	0	0			12	1	0	0	42	0			0	0	0	0	29	78	0	0	0	0		0	0	0	1	
1856	0	0	0	0	0	0	0	0	193	192			0	0	14	0	0	8											0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				6	1	0	0	
2040	0	0	0	0	0	0	0	0	14	6			0	0	115	0	0	0											0	0	0	0			0	0	0	3	22	71			0	0	16	0	0	0	0	3				2	0	4	2	
2161	0	0	0	0	0	0	0	0	8	0			0	2	30	21	0	6						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	0	2	6	
2376	0	0	0	0	0	0	0	0	48	0		0	0	0	1443	0	0	0		0	0		0	0	0		0	0	0	0	21	0			0	0	0	0	90	0			0	3	591	34	290	10	451	1	0	0		0	0	0	0	
2554	0	0	0	0	0	0	0	0	5	5			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2732	0	0	611	7	0	0	0	0	170	65		0	0	0	2926	343	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	24	0	0	0			0	65	191	9	537	0	1242	0	0	0		0	0	2	0	
2750	0	0	0	0	0	0	0	0	36	6			0	29	0	0	0	0						0				29	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	1	
3177	0	0	0	0	0	0	0	0	13	0		0	0	0	305	0	0	0		0	0		0	0	0		0	0	0	0	22	0			0	0	1	12	229	31			0	0	23	0	0	0	0	0	0	0		0	0	0	0	
3252	50	3	0	0	0	0	0	0	255	81			0	1	1056	95	0	453						453				1	0	0	0	0			0	0	12	0	1	0			0	0	0	0	0	0	0	28				30	17	427	113	
3458	0	0	0	0	0	0	0	0	0	0			0	0	8	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				1	0	7	0	
3720	0	0	0	0	0	0	0	0	16	15			0	0	23	0	0	8						0				0	0	0	0	0			0	0	1	0	14	0			0	0	0	0	0	0	0	0				1	0	0	0	
3971	0	37	0	3	36	351	0	0	1228	48		0	0	9	3609	18	0	0		0	0		0	0	0		0	9	0	0	185	29			0	0	516	10	892	71			49	12	711	4	160	73	0	0	0	0		0	0	1487	136	
4156	0	0	0	0	0	0	0	0	115	33			0	19	57	31	0	0						0				19	0	0	0	0			0	0	3	0	0	0			0	0	0	1	0	27	0	0				0	1	26	31	
4231	0	4	0	0	0	0	0	0	31	0			0	0	625	144	0	0											0	0	0	0			0	0	0	0	0	0			0	0	5	0	415	0	0	0				18	19	43	8	
4437	0	0	0	0	0	0	0	0	128	35			0	0	1039	103	0	0											0	0	0	0			0	0	15	0	67	0			0	0	52	63	805	12	0	0				0	0	12	3	
