"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	9083	0	4848	15545	0	24642	0	0	0	0	34058	0	511		16651	2167	2058	19794	33547	0	0	222	0	0	2266	10075	5669	3672	12341	366	506	0	254	5031	1125	0	0	871	0	true							
242	5841	0	534	7875	0	13402	0	0	0	0	20679	0	3893		4637	4673	1535	12868	16786	0	0	135	0	0	810	2518	1508	1403	3328	3410	0	253	262	1602	3926	0	0	3410	0	true							
279	45764	777	0	25693	0	68480	0	0	0	0	136731	719	0		31706	11189	14182	67703	136012	0	0	5619	0	0	14947	29397	26376	2356	44344	1152	2473	3077	0	41370	6702	0	0	3625	1245	true							
354	2021	0	92	5625	0	5625	0	0	0	0	6812	300	963		1583	1656	0	5533	5549	0	0	0	0	0	876	1679	28	0	2555	552	0	0	0	999	552	0	0	552	0	false							
457	6206	0	573	7366	0	10437	0	0	2788	0	32073	0	3182		6548	10988	2082	9864	25111	0	3780	739	2788	2788	3834	7927	1734	1111	8197	0	273	0	0	8058	273	0	0	273	992	true							
505	213450	2	9158	33586	0	52398	0	0	0	0	397331	0	107657		20453	132553	4298	43238	289674	0	0	1108	0	0	9296	12305	10664	1107	21373	5837	9605	2515	0	12918	17957	0	0	15442	0	false							
1155	831	0	10634	43713	0	151476	0	0	0	0	79659	0	4211		29354	25378	7979	139761	75448	1081	0	2638	0	0	15277	12273	15797	1400	23387	3351	1326	4026	0	15393	8703	3514	0	4677	0	true							
1351	7030	0	8802	19749	0	35812	0	0	0	0	103624	0	6003		36603	22796	8806	27010	97621	0	0	4019	0	0	11348	29232	19794	0	40580	2175	9383	1867	0	23770	13425	0	0	11558	0	false							
1454	702	0	30363	208944	0	354131	0	0	0	0	289387	614	42330		36144	200655	25725	323768	246443	0	0	8819	0	0	18196	20063	11390	3416	32174	25117	7373	775	1700	16921	34965	0	0	9303	0	true							
1669	30505	3	22961	68484	0	137637	0	0	0	0	102412	0	356		26447	19499	9404	114654	102016	19	40	2453	0	0	9022	20674	11119	3120	28924	730	3800	3625	319	17487	8474	0	0	4530	0	false							
1856	1248	0	465	2909	0	5033	0	0	0	0	56492	0	605		5579	24314	0	4568	37416	0	18471	0	0	0	3188	11513	9517	836	14701	1347	3774	755	0	19475	5876	0	0	5121	13056	false							
2040	16491	3	2044	23990	0	56031	0	0	10339	0	92519	0	3326		22711	41973	3872	53984	89193	0	0	903	10339	2254	982	12399	16108	339	13381	0	1103	3125	0	7116	4228	18707	0	1103	0	true							
2161	29362	0	1613	38898	0	78541	0	0	2250	0	69761	0	927		10101	9019	6961	76928	68834	0	0	0	2250	2250	7189	12621	2218	329	17560	2099	6404	520	0	12256	9023	831	0	8503	0	true							
2376	893510	0	69312	30978	0	187094	0	0	471228	0	2764538	0	442714		442447	622670	123471	113119	2221905	4663	99919	123226	471228	471228	243677	446813	315417	12170	687492	57904	101392	67137	3847	575629	230281	0	0	158988	90734	true	11459	14639	11934	261875	496292	105797	
2732	57067	0	7153	113328	0	165052	0	0	7000	0	331591	0	11254		38820	107918	11428	157899	320337	0	0	3550	7000	7000	13860	39013	13296	7687	52375	29424	56581	3406	3339	35036	92750	0	0	86005	0	true							
2750	13852	0	3539	4965	0	14036	0	0	4000	0	41479	0	6189		8688	477	1555	10497	29392	0	5898	384	0	0	2736	6919	11618	297	8839	0	5307	273	0	12881	5580	0	4000	5031	5898	true							
3252	14337	0	54820	29439	0	85380	0	0	12774	0	71703	0	17756		11818	12371	5058	30560	52202	0	1745	0	12241	11429	13814	11315	7459	3146	25129	4968	3308	606	380	23915	9262	828	503	8276	0	false							
3458	2635	0	5202	5034	0	13309	0	0	3000	0	36091	0	5672		11490	3327	0	8107	30419	0	0	0	3000	3000	4649	11775	8663	1224	16424	0	1248	2570	0	14821	3818	0	0	1248	0	true							
3720	40540	0	26737	50376	0	133926	0	0	0	0	98125	0	2774		21469	9512	5591	107189	95351	0	0	1738	0	0	7808	21487	4190	248	29295	1382	12200	758	0	12264	14340	0	0	13582	0	true							
3971	98110	0	68	20063	0	36768	0	0	90194	0	557586	0	8428		147934	220890	17915	36700	477181	0	71977	5546	90194	81867	55102	90662	44586	22449	145764	6930	12928	2021	3908	64865	25787	0	0	19858	1854	true							
4156	21147	0	9883	42291	0	87531	0	0	0	0	106389	0	13765		17380	33565	4206	77648	87413	0	5211	2027	0	0	10139	22038	9393	4223	32177	1397	3319	331	837	28413	5884	14129	0	4716	5212	true							
4231	17336	0	15185	27358	0	45539	0	0	0	0	54789	0	802		13679	6379	11582	30354	53987	0	0	6868	0	0	3174	9775	11639	3194	12949	890	0	1568	832	14104	3290	0	0	890	0	true							
5069	26025	0	0	54839	0	56233	0	0	65045	0	189215	0	494		43688	17588	950	56233	174496	0	14225	476	65045	33298	19899	44495	41104	4790	64394	6736	20974	2906	4698	66600	35314	0	0	27710	12037	false							
5135	23181	0	32010	71595	0	140694	0	0	44304	0	270076	0	12335		89378	49910	17489	108684	257476	0	265	8367	43956	43956	36402	118471	8435	429	154872	8285	24309	654	0	74359	33248	0	348	32594	5255	true							
5210	703343	25	32188	76836	0	122452	0	0	0	0	1263439	0	94556		217056	157309	62062	90239	1168645	0	238	14787	0	0	80105	155136	94929	8979	191954	15927	33702	10681	3327	122093	63638	9237	0	44396	11917	true	30302	20405	97808	59501	448150	131906	
5461	341735	0	9789	53196	0	53196	0	0	0	0	507096	0	12685		5619	138293	2997	43407	494411	0	0	946	0	0	4272	7696	1517	489	9976	3835	8849	411	0	8353	13095	49893	0	12684	0	true							
5751	10222	0	5228	26109	0	50765	0	0	2715	0	114372	0	20669		18472	58729	8946	45537	92209	0	1494	4309	2715	1970	11240	16467	10015	1825	27707	914	1614	2647	699	21075	5874	0	0	2528	0	true							
