"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWH312	RCOWP793	RCOWP870	
	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	RISK-WEIGHTED ASSETS	AVG TOT ASSET NET DEDUCTIONS	ACCUMULATED OTH COMPREHENSIVE INCOME	OTHR DEDUCT FR ASSETS FOR LEVRGE CAP	TOTAL LEVERAGE EXPOSURE	ADVANCED APPROACHES ONLY: SUPPLEMENT	CAPTIAL CONSERVATION BUFFER	ELIGIBLE RETAINED INCOME	DIST AND DISCRE BONUS PAYMENTS QTR	COMMON EQUITY TIER 1 CAPITAL	CAP RATIO COM EQTY TIER1 CAP RATIO	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NT UNRLZD GNS (LSSES) AFS SECURITIES	NT UNRLZD LOSS ON AFS PRFRRD STK	ACC NT GN LS CSHFLW HDGS	AOCI ATTRBTD DEFND BENFT POSTETRMNT	NT UNRLZD GNS (LSSES) HTM SEC AOCI	NET GNS (LSSES) HTM SEC AOCI	OTH THRSHLD DEDS COMEQTY TIER1 CAP	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	COMSTK 10PCT EQTY TIER1 CAP THRSHLD	MSA DTL 10PCT EQTY TIER1 CAP THRS	DTAS CAP CMSTK 15PCT TIER1 CAP THRSH	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	DEDS COMEQTY TIER1 CAP ADD TIER1 CAP	UNREALIZED GAINS ON A-F-S EQUITY SEC	CUMULATIVE CHANGE IN FAIR VALUE	QTLY AVG OF TOTAL ASSETS	UNDIVIDED PROFITS & CAPITAL RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	RISK-WEIGHTED ASSETS	TOTAL APPLICABLE CAPITAL BUFFER	CAP RATIO COM EQTY TIER1 CAP RATIO	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TIER 1 LEVERAGE CAPITAL RATIO	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	TIER 1 CPTL ALLWBL UNDR RISK-BASED	RISK-WEIGHTED ASSETS	AVG TOT ASSET NET DEDUCTIONS	ACCUMULATED OTH COMPREHENSIVE INCOME	OTHR DEDUCT FR ASSETS FOR LEVRGE CAP	TOTAL LEVERAGE EXPOSURE	ADVANCED APPROACHES ONLY: SUPPLEMENT	CAPTIAL CONSERVATION BUFFER	ELIGIBLE RETAINED INCOME	DIST AND DISCRE BONUS PAYMENTS QTR	COMMON EQUITY TIER 1 CAPITAL	CAP RATIO COM EQTY TIER1 CAP RATIO	AOCI OPT-OUT ELECTION	COM EQTY TIER 1 MINORTY INTERST	COM EQTY TIER 1 CAP BEFORE REG ADJ	COM EQTY TIER 1 CAP ADJS AND DEDUDS	LESS INTANG ASSTS NET OF ASSCTD DTLS	DFRD TX ASSTS OPRTING LOSS TX CRDT	NT UNRLZD GNS (LSSES) AFS SECURITIES	NT UNRLZD LOSS ON AFS PRFRRD STK	ACC NT GN LS CSHFLW HDGS	AOCI ATTRBTD DEFND BENFT POSTETRMNT	NT UNRLZD GNS (LSSES) HTM SEC AOCI	NET GNS (LSSES) HTM SEC AOCI	OTH THRSHLD DEDS COMEQTY TIER1 CAP	NNSG INVCP UNCNS COMSTK 10 PCT THRSH	SUBTOT COMEQTY TIER1 CAP ADJ AN DEDS	COMSTK 10PCT EQTY TIER1 CAP THRSHLD	MSA DTL 10PCT EQTY TIER1 CAP THRS	DTAS CAP CMSTK 15PCT TIER1 CAP THRSH	MSA DTA 15PCT COMEQTY TIER1 CAPTHRES	INSF TIER1 TIER2 CAP CVR DED	ADJSTMNT DEDT  COM EQTY TIER1 CAP	COM EQTY TIER 1 CAPITAL	ADDITIONAL TIER 1 CAPITAL	NNQFY CAP INSTR PHSOUT ADD TIER1 CAP	TIER1 MNRTY INTR NOT EQTY TIER1 CAP	ADD TIER 1 CAPITAL BEFORE DEDUCTIONS	TOT ADDTNL TIER 1 CAP DEDUCTIONS	ADDTNL TIER 1 CAPITAL	TIER 2 CAP INSTRMNTS PLUS RLTD SRPLS	NNQLIFY CAP INSTR PHSOUT TIER2 CAP	CAP MNRTY INTRST NOT INCL TIER 1 CAP	TIER 2 CAPITAL BEFORE DEDUCTIONS	TOTAL TIER 2 CAPITAL DEDUCTIONS	DEDS COMEQTY TIER1 CAP ADD TIER1 CAP	UNREALIZED GAINS ON A-F-S EQUITY SEC	CUMULATIVE CHANGE IN FAIR VALUE	QTLY AVG OF TOTAL ASSETS	UNDIVIDED PROFITS & CAPITAL RESERVES	TOTAL RISK-BASED CAPITAL	ALLL INCLUDIBLE IN TIER2 CAPITAL	TIER 2 (SUPPLEMENTARY) CAPITAL	TOTAL RISK-BASED CAPITAL RATIO	TIER 1 RISK-BASED CAPITAL RATIO	RISK-WEIGHTED ASSETS	TOTAL APPLICABLE CAPITAL BUFFER	CAP RATIO COM EQTY TIER1 CAP RATIO	TIER 2 CAPITAL BEFORE DEDUCTIONS	
37																																																																	14990	518	518	17.1129%	36.5895%	35.3251%	14472	40968	84568	444	0			28.5895%			4700	35.3251%	1	0	14939	0	0	18	444	0	0	0	0		0	0	14477	0	0	0	0	5	5	14472	0	0	0	0	5	0	0	0	0	518	0	23	0	0	84591	9795										
242																																																																	5457	183	183	12.5392%	21.5572%	20.8343%	5274	25314	42060	111	0			13.5572%			240	20.8343%	1	0	5385	0	0	0	111	0	0	0	0		0	0	5274	0	0	0	0	0	0	5274	0	0	0	0	0	0	0	0	0	183	0	0	0	0	42060	5034										
279																																																																	29646	970	970	14.2748%	26.0679%	25.2150%	28676	113726	200885	17	0			18.0679%			1	25.2150%	1	0	28693	0	0	0	17	0	0	0	0		0	0	28676	0	0	0	0	0	0	28676	0	0	0	0	0	0	0	0	0	970	0	0	0	0	200885	28675										
354																																																																	995	55	55	11.1467%	23.1611%	21.8808%	940	4296	8433	-11	0			15.1611%			525	21.8808%	1	0	978	0	0	42	-14	0	0	0	0		0	0	950	0	0	0	0	10	10	940	0	0	0	0	10	0	0	0	0	55	0	52	0	0	8485	464										
457																																																																	5165	519	519	9.6681%	12.1219%	10.9038%	4646	42609	48055	0	0			4.1219%			4000	10.9038%	1	0	4646	0	0	0	0	0	0	0	0		0	0	4646	0	0	0	0	0	0	4646	0	0	0	0	0	0	0	0	0	519	0	0	0	0	48055	646										
505																																																																	42730	4313	4313	8.4558%	12.3840%	11.1340%	38417	345043	454326	-2360	0			4.3840%			17133	11.1276%	1	0	37029	994	0	0	212	0	0	-2572	0		0	0	38395	0	0	0	0	0	0	38395	0	0	22	22	0	22	0	0	0	4313	0	994	0	0	455320	22256										
1155																																																																	22807	2431	2431	8.7761%	11.7397%	10.4884%	20376	194272	232175	149	0			3.7397%			6500	10.4884%	1	0	20525	0	0	0	149	0	0	0	0		0	0	20376	0	0	0	0	0	0	20376	0	0	0	0	0	0	0	0	0	2431	0	0	0	0	232175	13876										
1351																																																																	25839	1201	1201	16.0916%	22.9460%	21.8794%	24638	112608	153111	-39	0			14.9460%			770	21.8794%	1	0	24599	0	0	0	-39	0	0	0	0		0	0	24638	0	0	0	0	0	0	24638	0	0	0	0	0	0	0	0	0	1201	0	0	0	0	153111	23868										
1454																																																																	87287	3418	3440	10.7337%	28.3444%	27.2273%	83847	307952	781157	-1503	0			20.3444%			2214	27.2273%	1	0	82344	0	0	0	-1503	0	0	0	0		0	0	83847	0	0	0	0	0	0	83847	0	0	0	0	0	0	0	0	0	3440	0	0	22	0	781157	81633										
1557																																																																	10788	642	642	15.1800%	21.1268%	19.8696%	10146	51063	66838	-15	0			13.1268%			9824	19.8696%	1	0	10389	70	188	0	-15	0	0	0	0		0	0	10146	0	0	0	0	0	0	10146	0	0	0	0	0	0	0	0	0	642	0	258	0	0	67096	580										
1669																																																																	47795	1624	1624	16.6554%	37.1379%	35.8760%	46171	128696	277213	-92	0			29.1379%			1600	35.8760%	1	0	46263	0	0	0	92	0	0	0	0		0	0	46171	0	0	0	0	0	0	46171	0	0	0	0	0	0	0	0	0	1624	0	0	0	0	277213	44755										
1856																																																																	17426	739	739	13.8789%	29.5888%	28.3340%	16687	58894	120233	-249	0			21.5888%			14782	28.3340%	1	0	16536	98	0	0	-249	0	0	0	0		0	0	16687	0	0	0	0	0	0	16687	0	0	0	0	0	0	0	0	0	739	0	98	0	0	120331	2003										
2040																																																																	24071	1967	1967	10.9923%	15.4125%	14.1531%	22104	156178	201086	336	0			7.4125%			4750	14.1531%	1	0	22768	0	0	262	336	0	0	0	0		0	0	22170	0	0	0	0	66	66	22104	0	0	0	0	66	0	0	0	0	1967	0	328	0	0	201414	17682										
2161																																																																	16941	1142	1142	11.0538%	18.6038%	17.3497%	15799	91062	142928	301	0			10.6038%			2356	17.3497%	1	0	16100	0	0	0	301	0	0	0	0		0	0	15799	0	0	0	0	0	0	15799	0	0	0	0	0	0	0	0	0	1142	0	0	0	0	142928	13443										
2376																																																																	551686	30272	30272	12.6762%	14.9184%	14.0998%	521414	3698019	4113316	2999	0			6.9184%			41519	14.0998%	1	0	524413	0	0	0	-81	0	3652	-572	0		0	0	521414	0	0	0	0	0	0	521414	0	0	0	0	0	0	0	0	0	30272	0	0	0	0	4113316	479895										
2554																																																																	1414	140	140	8.9353%	12.6047%	11.3567%	1274	11218	14258	3	0			4.6047%			1250	11.3567%	1	0	1566	289	0	0	3	0	0	0	0		0	0	1274	0	0	0	0	0	0	1274	0	0	0	0	0	0	0	0	0	140	0	289	0	0	14547	313										
2732																																																																	91805	3994	3994	14.9860%	19.2597%	18.4218%	87811	476670	585952	-49	0			11.2597%			5789	18.4218%	1	0	88652	0	890	0	-49	0	0	0	0		0	0	87811	0	0	0	0	0	0	87811	0	0	0	0	0	0	0	0	0	3994	0	890	0	0	586842	82912										
2750																																																																	7614	576	576	12.2302%	16.5342%	15.2834%	7038	46050	57546	-107	0			8.5342%			6417	15.2834%	1	0	7067	0	0	0	-107	136	0	0	0		0	0	7038	0	0	0	0	0	0	7038	0	0	0	0	0	0	0	0	0	576	0	0	0	0	57546	757										
3252																																																																	26065	1531	1531	12.5230%	21.6569%	20.3849%	24534	120354	195911	217	0			13.6569%			500	20.3849%	1	0	24751	0	0	0	217	0	0	0	0		0	0	24534	0	0	0	0	0	0	24534	0	0	0	0	0	0	0	0	0	1531	0	0	0	0	195911	24034										
3458																																																																	4811	416	416	9.6386%	14.4120%	13.1658%	4395	33382	45598	14	0			6.4120%			1201	13.1658%	1	0	4409	0	0	0	14	0	0	0	0		0	0	4395	0	0	0	0	0	0	4395	0	0	0	0	0	0	0	0	0	416	0	0	0	0	45598	3194										
