"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	10015	0	5825	17927	0	28918	0	0	0	0	34498	0	320		16162	1868	2638	23093	34178	0	0	226	0	0	3088	8661	7403	2321	11749	0	514	257	371	5310	1143	0	0	514	0	true							
242	6879	0	664	9268	0	15268	0	0	0	0	22178	0	3916		4748	4682	1531	14604	18262	0	0	143	0	0	818	2702	2286	980	3520	0	3059	254	519	2037	3832	0	0	3059	0	true							
279	51631	0	690	32662	0	83826	0	0	0	0	137879	0	1245		30222	10804	14415	83136	136634	0	0	6451	0	0	13253	24773	24474	2934	38026	4408	3666	1936	0	35212	10011	0	0	8074	0	true							
354	2988	0	102	7076	0	7076	0	0	0	0	7591	0	1070		1609	1914	0	6974	6521	0	0	0	0	0	540	1843	50	0	2383	256	0	0	0	824	256	0	0	256	0	false							
457	7314	0	477	9026	0	11639	0	0	0	0	32345	0	4935		6639	12439	2164	11162	27163	0	247	824	0	0	2554	4049	2652	774	6603	2033	0	529	0	3390	2562	0	0	2033	247	true							
505	251410	0	6995	92618	0	98487	0	0	19995	0	462481	0	86640		19691	150493	4026	91492	375841	0	0	947	0	0	8547	16550	5819	507	24878	25186	3189	781	0	11731	29156	47917	19995	28375	0	false							
1155	1054	3	10892	38066	0	165985	0	0	0	0	75246	0	3046		27531	20468	7717	154585	72200	505	0	2522	0	0	10044	22143	10118	858	29451	3941	4705	1915	0	15632	10561	593	0	7974	0	true							
1351	8676	0	12026	23840	0	44763	0	0	0	0	110991	0	13327		37856	24052	9351	32737	97664	0	0	4604	0	0	9900	31039	22613	0	40939	2145	8323	4243	0	25696	14711	0	0	10468	0	false							
1454	749	0	36110	272275	0	431341	0	0	0	0	334381	595	52768		35263	245508	26685	395231	281018	0	0	9280	0	0	20041	18275	8375	5583	31611	27003	5449	929	2470	17011	35851	0	0	8282	0	true							
