"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4655	RIAD4662	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	RIADK129	RIADK133	RIADK205	RIADK206	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	CHRG OFF AUTO LN	RCVRY AUTO LN	CHARGE-OFFS ALL OTHER	RECOVERIES ALL OTHER	
37	0	0	0	0	0	0	2	0				0	3	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	2	3	0	
242	0	0	0	0	0	0	3	0				0	5	0		0				0		0	0	0	0	0			0	0	0	0	4	0			0	0	0	0	0	0	0	0				1	2	0	1	
279	0	0	0	0	0	0	3	0				3	10	0		7							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	3	0	
354	0	0	0	0	0	0	12	0				1	22	17		5				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	9	0	2	
457	0	1	0	0	0	0	1	0				0	57	0		26				0		0	0	0	0	0			0	0	0	0	0	0			31	0	0	0	0	0	0	0				0	0	0	0	
505	0	0	0	0	0	0	41	32				2	91	0		5				0		0	0	0	0	0			0	0	5	0	61	0			0	0	1	0	0	0	0	0				0	1	24	1	
1155	0	0	0	0	0	0	25	4				4	20	0		9							0	0	0	0			4	0	2	0	0	0			0	0	0	4	0	5	0	0				0	0	7	6	
1351	0	0	0	0	0	0	47	32				0	323	196		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				40	12	87	3	
1454	0	0	0	0	0	0	22	0				12	33	0		18				0		3	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				13	7	2	3	
1669	0	0	0	0	0	0	26	0				1	208	7		25							0	0	0	0			0	0	1	0	41	0			0	0	0	0	0	0	0	0				7	9	128	15	
1856	0	0	0	0	0	0	1	1				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
2040	0	0	0	0	0	0	42	2				0	1	0		0							0	0	0	0			0	0	4	7	0	0			0	0	0	29	0	0	0	0				0	0	1	0	
2161	0	0	0	0	0	0	269	5				254	322	88		209				207		252	0	0	0	0			4	1	0	0	0	0			0	0	0	0	0	0	0	0				2	1	19	8	
2376	0	0	0	0	0	0	22	0		0		0	65	0		0		0	0	0	0	0	0	0	0	0			0	0	22	0	65	0			0	0	0	0	0	0	0	0	0	0		0	0	0	0	
2732	0	0	0	0	0	0	25	23				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	2	0	0	
2750	207	4	0	0	0	0	7	0				0	251	0		43				43		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	3	
3252	2	1	0	0	0	0	244	121				51	523	67		202				202		51	0	0	0	0			0	0	1	0	1	0			0	0	0	0	0	0	0	0				30	14	221	56	
3458	0	0	0	0	0	0	1	0				0	41	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				3	0	38	1	
3720	0	0	0	0	0	0	4	0				0	12	0		0				0		0	0	0	0	0			0	0	0	1	0	0			0	0	0	0	0	0	0	0				12	3	0	0	
3971	0	0	0	0	42	45	352	64				9	747	0		0				0		9	0	0	0	4			0	0	24	1	0	0			0	12	0	3	0	0	0	0				0	0	705	190	
4156	51	0	0	0	0	0	8	0				0	322	82		189				189		0	0	0	0	0			0	0	4	3	0	0			0	0	0	0	0	0	0	0				0	1	0	0	
4231	0	0	0	0	0	0	8	0				0	8	1		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	2	7	6	
5069	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
5135	255	0	0	0	0	0	46	18				0	349	0		39				39		0	0	0	0	0			1	1	19	0	0	0			0	0	0	0	0	0	0	0				14	2	40	6	
5210	0	0	0	0	0	0	84	11		0		10	266	59		43		0	0	0	0	0	0	0	51	8			0	0	0	1	0	6			0	0	0	0	0	0	0	0	0	0		1	0	106	54	
5461	0	0	0	0	0	0	28	1				0	32	0		0				0		0	0	0	0	0			0	0	16	0	0	0			0	0	0	0	14	0	11	5				0	0	7	6	
5751	0	0	0	0	0	0	1	1				0	11	8		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				3	0	0	0	
6039	0	0	0	0	0	0	1	0				0	125	92		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	15	0				0	0	18	1	
6329	144	16	0	0	0	0	887	45		0		43	5389	262		271		0	0	271	0	4	0	0	0	0			0	6	51	1	14	23			207	129	10	6	0	1	92	100	0	0		3624	399	742	90	
7009	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
7045	0	0	0	0	0	0	14	0				0	40	0		0				0		0	0	0	0	0			2	0	0	0	0	0			0	0	0	0	0	0	0	0				38	14	0	0	
7072	0	0	0	0	0	0	50	23				0	190	13		0				0		0	1	9	10	10			0	0	0	1	20	21			0	0	16	2	109	8	0	6				0	0	1	0	
7456	0	0	0	0	0	0	1	1				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
7634	0	0	0	0	0	0	24	4				1	12	0		12							0	0	0	0			0	0	3	0	0	0			0	0	0	11	0	0	0	0				0	5	0	0	
8033	0	0	0	0	0	0	26	2				0	212	0		8							0	0	0	0			0	0	0	0	99	105			0	0	0	0	0	0	0	24				0	0	0	0	
8462	0	0	0	0	0	0	7	0				0	12	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				9	5	3	2	
8631	0	0	0	0	0	0	3	0				0	5	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				5	3	0	0	
9357	0	0	0	0	0	0	104	104				0	226	224		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	2	0	
9553	0	0	0	0	0	0	1	1				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
9807	0	0	0	34	0	0	755	480		0		0	80	0		6		0	0	0	0	0	0	0	0	1			0	0	6	0	0	0			0	0	74	0	0	0	0	234	0	0		0	0	0	0	
9955	0	0	0	0	0	0	0	0				0	2	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	2	0	
10250	0	0	0	0	0	0	173	29				12	196	136		47				0		0	0	0	0	0			4	1	0	7	0	0			0	0	0	11	0	0	0	111				0	0	9	2	
10849	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
11145	0	0	0	0	0	0	39	0				0	183	0		0							0	0	0	0			0	0	5	0	40	0			0	0	0	0	95	0	0	0				0	1	48	33	
11640	0	0	0	0	0	0	94	74				19	198	5		60				0		0	0	0	0	0			0	0	0	0	0	0			0	0	126	0	0	0	0	0				0	0	7	1	
11837	0	0	0	0	0	0	3	2				1	3	0		2							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	1	0	
12030	0	156	0	0	0	0	4394	1942				75	2225	349		66				0		6	0	0	0	0			0	0	576	26	304	0			94	0	0	219	734	1007	412	79				146	121	120	193	
12142	0	0	0	0	0	0	32	0				23	46	10		24							0	0	0	0			3	5	0	0	0	0			0	0	0	0	0	0	0	0				0	0	9	4	
12179	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
12311	554	103	26	82			46460		12197	0	0	564	166687		0	3473	49767	0	0	109	0	6	0	405	8826	4574			29129	3102	1922	1195	5919	761	0	10159	1126	0	144	69	1141	1065	4380	3155	0	0	53	27816	13107	23357	5266	
12647	0	0	0	0	0	0	2	0				0	4	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				2	0	2	2	
12656	0	0	0	0	0	0	0	0				0	16	14		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				2	0	0	0	
12946	0	0	0	4	0	0	468	20		0		1	1470	451		226		0	0	226	0	1	0	0	0	0			27	1	78	9	219	0			0	0	1	2	56	252	0	1	0	0		0	0	490	100	
13103	0	0	0	0	0	0	95	0		0		0	109	0		0		0	0	0	0	0	0	0	0	0			0	0	1	0	10	0			0	0	0	0	0	0	0	0	0	0		58	88	41	6	
13251	0	0	0	0	0	0	17	14				1	1	0		1				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	1	0	1	
13457	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
14155	0	0	0	0	0	0	41	3				13	26	14		7				0		0	0	0	0	0			0	0	21	0	0	0			0	0	0	0	0	0	0	0				1	3	4	1	
14650	0	0	0	0	0	0	82	75				0	41	34		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				3	0	4	7	
14753	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
14865	0	0	0	0	0	0	268	0				265	602	0		593				593		265	0	0	0	0			3	0	0	0	0	0			0	0	0	0	0	3	0	0				0	0	6	0	
14977	0	0	0	0	0	0	0	0				0	0	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
16551	0	0	0	0	0	0	14	11				0	128	44		0				0		0	0	0	0	0			5	2	0	0	64	0			6	0	0	0	0	0	0	0				1	0	8	1	
16748	0	0	0	0	0	0	0	0				0	96	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	96	0	0	0				0	0	0	0	
17110	0	0	0	0	0	0	0	0				0	0	0		0							0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
17147	0	8	928	0	0	0	2439	808		0		78	3417	655		22		0	0	22	0	6	0	0	77	155			13	0	114	43	168	52			0	0	1068	849	90	147	104	19	0	0		121	84	119	134	
17259	0	0	0	0	0	0	6	0				6	10	0		10				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				0	0	0	0	
17950	0	0	0	0	0	0	3	1				0	45	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	31	1	0	0				0	0	14	1	
17978	0	0	0	0	0	0	0	0				0	2	0		0				0		0	0	0	0	0			0	0	0	0	0	0			0	0	0	0	0	0	0	0				2	0	0	0	
