"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RCONF670	RCONF671	RCONF672	RCONF673	RCONF674	RCONF675	RCONF676	RCONF677	RCONF678	RCONF679	RCONF680	RCONF681	RCONL191	RCONL192	RIADF184	RIADF560	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RTL ORGTN QTR 1-4 RES MTG LN TOT CMI	RTL ORGTN QTR 1-4 RES MTG LN PRNPL A	WHOL ORGTN QTR 1-4 RES MTG LN TOT CM	WHOL ORGTN QTR 1-4 RES MTG LN PRNPL 	1-4 RES MTG LN HLD SALE QTR TOT CMTM	1-4 RES MTG LN HLD SALE QTR PRNPL AM	1-4 RES MTG LN HLD SALE TOT CMTM CR	1-4 RES MTG LN HLD SALE QTR PRNPL CR	RPRH INDMN 1-4 RES MTG CL 1ST LIEN	RPRH INDMN 1-4 RES MTG CL JR LIEN	RPRH INDMN 1-4 RES MTG TOT CMTM OL	RPRH INDMN 1-4 RES MTG PRNPL AMT OL	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	NONINT INC FOR QTR FROM SALE 1-4 MTG	NONINT INC FROM SALE OE 1 TO 4 RES M	
42671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	
43052																					CONF	CONF			
43351																					CONF	CONF			
43454																					CONF	CONF			
43744																					CONF	CONF			
43856																					CONF	CONF			
43959																					CONF	CONF			
44040																					CONF	CONF			
44433																					CONF	CONF			
44741																					CONF	CONF			
44750																					CONF	CONF			
44929																					CONF	CONF			
45038																					CONF	CONF			
45047																					CONF	CONF			
45056																					CONF	CONF			
45430																					CONF	CONF			
45458																					CONF	CONF			
45551																					CONF	CONF			
45560																					CONF	CONF			
45775																					CONF	CONF			
46053																					CONF	CONF			
46941																					CONF	CONF			
47153																					CONF	CONF			
47247																					CONF	CONF			
47256																					CONF	CONF			
47452																					CONF	CONF			
47500																					CONF	CONF			
48057																					CONF	CONF			
48150																					CONF	CONF			
48374	37138	15	0	0	35833	19	8387	0	0	0	0	0	0	0	0	0	7	0	0	0	CONF	CONF	1148	0	
48440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	
49054																					CONF	CONF			
49148																					CONF	CONF			
49241																					CONF	CONF			
49344																					CONF	CONF			
49643																					CONF	CONF			
49652																					CONF	CONF			
49821																					CONF	CONF			
49858																					CONF	CONF			
49951																					CONF	CONF			
50144																					CONF	CONF			
50461																					CONF	CONF			
50546																					CONF	CONF			
50854																					CONF	CONF			
50872																					CONF	CONF			
50957																					CONF	CONF			
51253																					CONF	CONF			
51356																					CONF	CONF			
51459																					CONF	CONF			
51730																					CONF	CONF			
51842																					CONF	CONF			
52410																					CONF	CONF			
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	
52951																					CONF	CONF			
53033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	5	4	
53051																					CONF	CONF			
53239																					CONF	CONF			
53453																					CONF	CONF			
53752																					CONF	CONF			
54049																					CONF	CONF			
54058																					CONF	CONF			
54375																					CONF	CONF			
54441																					CONF	CONF			
54656																					CONF	CONF			
54973	71955	0	899	0	75715	0	11915	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	2381	0	
55176																					CONF	CONF			
55336																					CONF	CONF			
55635																					CONF	CONF			
55653																					CONF	CONF			
55970	13869	0	0	0	13544	0	1431	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	327	0	
56258																					CONF	CONF			
56351																					CONF	CONF			
56427																					CONF	CONF			
56548	12562	0	0	0	11369	0	2168	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	172	0	
56557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	0	0	
56717																					CONF	CONF			
57040																					CONF	CONF			
57228																					CONF	CONF			
57255																					CONF	CONF			
57451																					CONF	CONF			
57572																					CONF	CONF			
57956																					CONF	CONF			
58177																					CONF	CONF			
58207																					CONF	CONF			
58225																					CONF	CONF			
58243	259524	0	0	0	262916	0	32615	0	0	0	0	0	0	0	0	0	552	0	0	0	CONF	CONF	5265	0	
58355																					CONF	CONF			
58551																					CONF	CONF			
58636																					CONF	CONF			
58757																					CONF	CONF			
58971	43070	0	0	0	38526	0	11652	0	0	0	0	0	0	0	0	0	609	0	0	0	CONF	CONF	313	0	
59316																					CONF	CONF			
59352																					CONF	CONF			
59370																					CONF	CONF			
59754																					CONF	CONF			
60143	91671	0	0	0	93683	0	16161	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	583	0	
60330																					CONF	CONF			
60433																					CONF	CONF			
60545																					CONF	CONF			
60554																					CONF	CONF			
60648																					CONF	CONF			
61122	5421	0	0	0	5083	0	951	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	94	0	
61177																					CONF	CONF			
61355	40529	0	0	0	42080	0	5153	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF	851	0	
61476																					CONF	CONF			
61757																					CONF	CONF			
61832																					CONF	CONF			
61953																					CONF	CONF			
62044																					CONF	CONF			
62110																					CONF	CONF			
62147																					CONF	CONF			
62772	11640	0	0	0	10377	0	2346	0	0	0	0	0	0	0	0	0	7	0	0	0	CONF	CONF	264	0	
