"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	DIRECT INDIRECT INV IN RE	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	FISCAL YEAR END	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOT EQT CAP INC NONCTRL MINORITY INT	
37																																							7533	1656	0	0	49398	0	403	0	1243	85808	71240	179	71419	0	1020	0	0	0	14389	1200	85808	0	0	9728	0	0	3500	0	16358	54882	1a	1231	0	26595	25575	-39	0	0	0	0	14389	
242																																							1496	1470	0	0	10563	0	285	0	425	41508	31752	15	36267	0	183	0	4500	0	5241	120	41508	0	0	4942	0	0	120	0	7639	24113	7	1231	0	25737	25554	59	1715	0	0	0	5241	
279																																							5921	2910	31	32871	10473	0	4995	209	7726	203274	156966	853	174900	0	958	0	17081	0	28374	1	203274	0	0	28449	0	0	0	0	10905	146061	1a	1231	0	137588	136630	-76	1508	0	0	0	28374	
354																																							200	542	0	0	3954	0	51	0	163	8414	7416	1	7417	0	147	0	0	0	996	25	8413	0	0	499	0	0	500	0	2309	5107	4	1231	0	3480	3333	-28	171	0	0	0	996	
457																																							6208	663	0	54	143	0	243	31	1343	47902	37035	46	43081	0	501	0	6000	0	4821	60	47902	0	0	821	0	0	3940	0	6057	30978	4	1231	0	39649	39148	0	69	0	0	0	4821	
505																																							17977	1447	48	0	76614	0	9882	849	12224	456343	415694	4235	419929	54	4155	1595	0	0	36360	6480	456343	0	0	21717	0	0	10653	0	66654	349040	2a	1231	0	339862	335707	-2490	0	0	0	0	36414	
1155																																							21740	5860	0	29	29229	0	4495	1080	7141	236042	204069	2035	216344	0	2485	0	0	0	19698	1600	236042	0	0	13120	0	0	4900	0	30058	174011	5	1231	0	168953	166468	78	0	0	0	10240	19698	
1351																																							0	5234	0	48375	5530	0	3176	709	1586	152447	127830	308	128138	0	1101	0	0	0	24309	240	152447	0	0	23624	0	0	530	0	18979	108851	4	1231	0	86186	85085	-85	2752	0	0	0	24309	
1454																																							145977	10913	0	0	406576	0	3666	186	11000	829369	749999	1586	751585	0	3434	0	0	0	77784	1000	829369	0	0	80576	0	0	1214	423	184104	565895	2b	1231	0	254062	250628	-5006	0	0	0	0	77784	
