"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	65	85															17	535	6	730	1	332	3	97	0	0	1	267	false	true	
242	86	95													66	96	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
279			40	1680	21	2498	15	6305	65	1222	10	1525	3	633			5	200	2	234	1	387	37	470	0	0	0	0	false	false	
354			3	92	0	0	0	0	7	143	1	161	1	152			7	323	4	409	0	0	18	405	2	262	0	0	false	false	
457			10	461	13	1641	3	1045	44	1063	11	1367	14	4888			18	727	10	1390	5	1019	50	1280	9	1409	10	2379	false	false	
505			13	566	34	4635	36	17123	180	4083	37	3203	21	6499															false	false	
1155			43	1790	41	5119	39	11795	170	4203	49	4952	40	11124			16	642	12	1509	11	3338	56	1578	8	864	6	1224	false	false	
1351			144	3731	18	2090	20	7038	218	3561	33	3586	12	4213			68	2670	28	3762	8	2012	141	2566	9	1220	0	0	false	false	
1454			48	1729	72	8497	41	14212	463	7919	56	5424	28	7453			7	304	5	701	5	1579	53	1438	8	850	2	621	false	false	
1557	30	103															11	581	13	1779	7	1911	220	4937	37	4611	16	4057	false	true	
1669			77	2359	20	2581	13	3811	183	2835	12	1055	8	2095			1	14	1	51	0	0	133	2039	0	0	1	349	false	false	
1829			79	3253	61	9099	79	30707	104	3341	25	2731	17	5494															false	false	
1856			10	295	1	154	3	1233	22	666	67	7826	8	2071			6	316	2	210	5	1823	19	351	1	185	0	0	false	false	
2040			33	2241	29	3712	38	15034	74	1965	21	2857	26	9223			5	244	3	677	3	635	12	139	1	195	0	0	false	false	
2161			59	870	15	958	1	91	895	4576	50	4447	25	6774			4	31	0	0	0	0	211	2582	2	111	2	369	false	false	
2376			11	612	41	6518	200	87119	21	694	3	398	2	480															false	false	
