"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
37	9721	0	5998	16108	0	26920	0	0	0	0	41028	0	528		20713	2784	3094	20922	40500	0	0	101	0	0	2976	12802	11950	438	15778	0	0	357	0	7454	357	0	0	0	true							
242	5944	0	702	7187	0	13513	0	0	0	0	18074	0	3559		4539	3964	1481	12811	14515	0	0	0	0	0	2355	1067	1587	747	3422	406	1750	255	0	1217	2410	0	2156	0	true							
279	35540	0	0	12049	0	42191	0	0	0	0	116927	0	0		32709	1657	14034	42191	116927	0	0	5894	0	0	12767	30417	27348	1741	43183	1324	3924	2210	0	39564	7457	0	5248	0	true							
354	1795	107	0	2282	0	2282	0	0	0	0	4749	0	1115		1606	1048	0	2175	3634	0	0	0	0	0	227	1680	0	0	1906	0	0	0	0	300	0	0	0	0	false							
457	7076	0	465	5912	0	8833	0	0	0	0	28112	0	3093		6266	12361	2139	8368	25019	0	0	448	0	0	2163	4184	1683	644	6347	0	0	0	0	2408	0	0	0	0	true							
505	200462	1	5802	20622	0	34564	0	0	0	0	342131	0	80460		17714	112774	5207	28761	261671	0	0	1523	0	0	5195	14064	5665	524	19259	2178	569	700	0	7734	3447	0	2747	0	true							
1155	772	1	7124	35027	0	131522	0	0	9396	0	75596	0	5477		33893	9369	9362	123653	69881	744	238	3878	9396	7381	20109	24115	10718	1658	36571	1906	2512	4438	0	22706	8856	0	3769	0	true							
1351	6334	0	9026	19747	0	34462	0	0	0	0	94457	0	7379		36706	16827	8508	25436	87078	0	0	3530	0	0	11371	32437	15461	0	43808	2122	7505	2400	0	22562	12028	0	9627	0	false							
1454	598	0	12685	174863	0	316739	0	0	0	0	327742	657	23287		39591	231723	25335	304054	303798	0	0	8757	0	0	18663	21849	12407	7009	35759	29128	2681	3402	282	20337	35493	0	9226	0	true							
1557	9516	0	3731	20875	0	29440	0	0	0	0	25272	0	2387		7027	2252	1386	25709	22885	0	0	101	0	0	2566	6097	2144	893	8663	0	1320	483	0	4673	1803	0	1320	0	false							
1669	30240	3	19530	61401	0	129556	0	0	0	0	107115	0	352		29392	29713	9654	110009	106723	14	40	1625	0	0	12246	18363	7754	3707	29849	430	2476	1785	401	12678	5092	0	2906	0	true							
1856	1500	0	493	2885	0	4895	0	0	5701	0	56053	0	405		20781	27408	0	4402	32908	0	22740	0	5701	0	4095	13907	6882	995	14851	0	762	505	0	5098	1267	0	762	12473	false							
2040	15895	10	607	24753	0	45676	0	0	23043	0	100154	0	7306		26628	46931	4107	45059	92586	0	262	820	23043	7067	1181	8444	14283	10997	9625	0	807	1300	315	8278	2422	0	807	1002	true							
2161	28371	0	1162	28742	0	65453	0	0	0	0	61270	0	599		9767	7620	7377	64291	60671	0	0	0	0	0	4134	11947	2142	639	16081	927	4476	763	251	9095	6417	0	5403	0	true							
2376	699129	0	42136	31151	0	214135	0	0	510365	0	2671157	0	294586		413173	847888	113642	171999	2299576	0	76995	45209	510365	510365	197831	337698	284943	102863	531936	37815	89373	48374	25243	510161	200805	0	127188	74653	true	10587	20486	401366	437861	320901	102003	
2554	3227	0	222	18	0	5682	0	0	0	0	6835	0	445		3199	0	0	5460	6390	0	0	0	0	0	1196	2025	296	91	1196	0	0	0	0	409	0	0	0	0	false							
2732	58770	0	12624	138939	0	176532	0	0	14206	0	325025	0	11200		45405	127364	11789	163908	313825	0	0	3485	14206	14206	16157	41209	10145	1669	39012	32928	25852	10931	0	23775	69711	0	58779	0	true							
2750	18853	0	3708	4729	0	14402	0	0	0	0	32535	0	6699		8163	386	1498	10694	25592	0	244	316	0	0	4566	4548	2882	178	8250	0	858	264	0	4011	1122	0	858	0	true							
3252	14451	0	60795	25631	0	88559	0	0	11908	0	70226	0	18759		11172	12315	5496	27764	51466	0	1	0	11908	11871	11159	12468	4220	4414	23627	7618	1181	2401	0	21088	11200	0	8799	0	false							
3458	2271	0	3628	4903	0	13433	0	0	0	0	25129	0	3703		8727	3287	837	9805	21426	0	0	0	0	0	2716	8960	4526	1694	11675	0	795	881	0	9169	1675	0	795	0	false							
3720	38067	0	24910	42639	0	121149	0	0	0	0	98552	0	10861		21673	7301	6169	96239	87691	0	0	2172	0	0	13282	19809	2203	8	32815	2462	14117	1304	0	13629	17882	0	16579	0	false							
3971	119155	0	950	27973	0	48699	0	0	59120	0	647389	0	17166		167890	267462	24720	47749	566883	0	63340	7403	59120	38389	24221	100673	87325	23009	124894	4052	6176	13202	2114	67338	25544	0	10228	4220	true							
4156	19670	0	23066	41710	0	96968	0	0	12863	0	91512	0	11440		20634	22929	4872	73902	75861	0	4211	2025	12863	12783	12248	18852	10057	3927	31100	585	2371	519	353	24451	3828	0	2956	4211	true							
4231	16906	0	9503	22985	0	36401	0	0	0	0	58701	0	1486		15749	5761	13699	26898	57215	0	0	8048	0	0	4706	12851	7022	6772	17557	1484	0	1424	1774	15603	4682	0	1484	0	false							
4839	26867	0	10193	59782	0	72146	0	0	25337	0	200232	0	28006		26222	55216	10351	61953	145974	0	26252	4059	25337	24844	14474	54501	26031	1672	68975	10313	6354	4805	0	70456	21472	0	16667	26252	true							
5069	44346	0	0	26443	0	31384	0	0	62786	0	268662	0	1479		51365	17189	1010	31384	207934	0	59249	492	62786	10693	25927	65902	60056	15328	91829	3556	30366	3163	2829	115848	39914	0	33922	45372	false							
5135	20518	0	29947	55474	0	119696	0	0	47133	0	258729	0	12361		94566	57399	17222	89749	196260	0	50108	7494	46412	46412	62100	91752	3870	0	153852	9461	13197	431	0	63157	23089	721	22658	2725	true							
