"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
328777	253568	250995	2053	0	0	0	0	0	250995	0	0	520	
329149	12894	13042	232	0	0	504	0	0	13042	0	0	124	
329345	38462	37389	798	0	0	0	0	0	37389	0	0	275	
329550	29517	29243	609	0	0	550	0	0	29243	0	0	215	
329952	58889	56798	1313	0	0	0	0	0	56798	0	0	778	
330239	45560	45201	697	0	0	548	0	0	45201	0	0	210	
330248	16793	16417	377	0	0	182	0	0	16417	0	0	181	
330855	151167	147288	2500	0	0	0	0	0	147288	0	0	1379	
330873	16316	16073	188	0	0	0	0	0	16073	0	0	55	
330949	15630	15374	281	0	0	53	0	0	15374	0	0	28	
331076	34154	33998	81	0	0	0	0	0	33998	0	0	75	
331375	19537	19255	271	0	0	0	0	0	19255	0	0	11	
331544	17354	17213	161	0	0	61	0	0	17213	0	0	41	
331553	3960	3829	72	0	0	0	0	0	3829	0	0	59	
331713	50535	49085	1141	0	0	240	0	0	49085	0	0	549	
332055	17280	16949	556	0	0	225	0	0	16949	0	0	0	
332224	21800	21680	41	0	0	0	0	0	21680	0	0	79	
332345	2193	2120	70	0	0	0	0	0	2120	0	0	3	
332402	69960	70300	-445	0	0	0	0	0	70300	72	0	33	
332671	24115	23948	-4	0	0	0	0	0	23948	0	0	171	
332756	9299	9187	169	0	0	105	0	0	9187	0	0	48	
333034	31088	32665	896	0	0	2500	0	0	32665	0	0	27	
333052	10001	9483	341	0	0	0	0	0	9483	0	0	177	
333203	56919	56007	2003	0	0	1350	0	0	56007	34	0	225	
333650	37870	37486	1911	0	0	1650	0	0	37486	0	0	123	
333856	16943	16266	579	0	0	25	0	0	16266	0	0	123	
333940	6952	6856	138	0	0	42	0	0	6856	0	0	0	
334264	30698	29777	916	0	0	200	0	0	29777	0	0	205	
334648	18348	17827	193	0	0	0	0	0	17827	0	0	328	
334657	5331	5044	287	0	0	0	0	0	5044	0	0	0	
335346	25467	24769	177	0	0	0	0	0	24769	0	0	521	
335355	15743	14910	284	0	0	0	0	0	14910	0	0	549	
336147	12453	12156	180	0	0	0	0	0	12156	0	0	117	
336361	18156	17754	377	0	0	0	0	0	17754	0	0	25	
336576	12932	13125	-246	0	0	0	0	0	13125	0	0	53	
336950	2216	2225	3	0	0	12	0	0	2225	0	0	0	
337247	9997	9819	204	0	0	150	0	0	9819	0	0	124	
337340	18738	18607	245	0	0	185	0	0	18607	0	0	71	
338178	34899	34399	565	0	33	0	0	0	34399	0	0	-98	
338646	23013	22705	600	0	0	375	0	0	22705	0	0	83	
338851	8483	8896	97	0	0	600	0	0	8896	0	0	90	
338945	6160	6003	53	0	0	0	0	0	6003	0	0	104	
339054	7330	7285	143	0	0	180	0	0	7285	0	0	82	
339072	239053	242767	4897	0	0	7948	0	0	242767	0	0	-663	
339353	10099	10993	278	0	0	1200	0	17	11010	0	0	11	
339456	42226	42038	1218	0	0	1500	0	0	42038	0	0	470	
339607	100605	98502	1941	0	0	0	0	0	98502	0	0	162	
339773	254684	252426	1900	0	0	0	0	0	252426	0	0	358	
339858	3161759	2942960	85191	126779	0	0	0	0	2942960	1580	0	5249	
339876	6825	6792	42	0	0	0	0	0	6792	0	0	-9	
340135	93028	91903	3073	0	0	2535	0	0	91903	0	0	587	
340144	78600	76045	2048	0	75	0	0	0	76045	0	0	432	
340256	50700	50515	30	0	0	0	0	0	50515	0	0	155	
340443	14578	14345	308	0	0	75	0	0	14345	0	0	0	
340742	63544	62126	1060	0	0	0	0	0	62126	0	0	358	
340751	62215	64447	2385	0	0	5150	0	0	64447	0	0	533	
341310	46609	45947	560	0	0	0	0	0	45947	0	0	102	
342054	25449	23614	1183	0	0	0	0	0	23614	0	0	652	
342175	88211	85811	1894	0	0	0	0	0	85811	267	0	239	
342362	61478	58035	1853	0	0	0	0	0	58035	7	0	1583	
342410	124684	121362	2262	0	0	0	0	0	121362	0	0	1060	
342634	1583440	1564330	31822	0	0	16361	0	0	1564330	952	0	2697	
343051	13487	13099	338	0	0	0	0	0	13099	0	0	50	
343248	5422	5362	60	0	0	0	0	0	5362	0	0	0	
343257	3852	3787	34	0	0	40	0	0	3787	0	0	71	
343378	2406	2419	-13	0	0	0	0	0	2419	0	0	0	
343770	6742	6621	128	0	0	0	0	0	6621	0	0	-7	
343903	51249	50676	466	0	0	0	0	0	50676	0	0	107	
343958	7054	7531	264	0	0	762	0	21	7552	0	0	0	
344647	82469	80426	1724	0	0	950	0	0	80426	0	0	1269	
344816	41827	40901	1197	0	0	900	0	0	40901	0	0	629	
344852	8344	8164	209	0	0	270	0	0	8164	0	0	241	
345309	155469	152806	1914	0	0	0	0	0	152806	0	0	749	
345345	32512	31559	956	0	0	0	0	0	31559	0	0	-3	
345747	46590	45654	978	0	0	150	0	0	45654	0	0	108	
345756	40833	40711	202	0	0	70	0	0	40711	0	0	-10	
345877	24024	23412	583	0	0	0	0	0	23412	31	0	-2	
346379	12398	12339	78	0	0	55	0	0	12339	0	0	36	
346566	6302	6139	160	0	0	0	0	0	6139	0	0	3	
346771	17094	16868	226	0	0	0	0	0	16868	0	0	0	
347022	22952	22548	259	0	0	100	0	0	22548	0	0	245	
347639	21445	21284	124	0	0	0	0	0	21284	0	0	37	
347956	50239	47953	1343	0	1117	192	0	0	47953	0	0	18	
348159	12884	12665	181	0	0	0	0	0	12665	0	0	38	
348207	160271	155954	3687	0	0	0	0	0	155954	563	0	67	
348551	35818	35587	697	0	0	701	0	0	35587	0	0	235	
348720	63109	62500	1142	0	0	575	0	0	62500	45	0	-3	
349129	24014	23206	539	0	0	250	0	0	23206	0	0	519	
349343	19210	18881	1031	0	0	750	0	0	18881	0	0	48	
349370	60649	59956	753	0	0	264	0	0	59956	176	0	28	
350572	17987	17107	600	0	0	0	0	0	17107	0	0	280	
350657	3388	3307	66	0	0	0	0	0	3307	0	0	15	
350750	17903	17689	895	0	0	680	0	0	17689	0	0	-1	
351131	10063	9953	38	0	0	0	0	0	9953	0	0	72	
351560	26095	25712	383	0	0	0	0	0	25712	0	0	0	
351850	35191	35268	2032	0	0	2128	0	0	35268	0	0	19	
351878	12646	12416	187	0	0	0	0	0	12416	0	0	43	
352035	24296	24102	55	0	0	0	0	0	24102	0	0	139	
352370	13496	13435	61	0	0	0	0	0	13435	0	0	0	
352651	6221	6063	162	0	0	0	0	0	6063	0	0	-4	
352745	16389	16473	499	0	0	718	0	0	16473	0	0	135	
352772	1288517	1274618	24813	0	0	12406	0	0	1274618	0	0	1492	
