"IDRSSD"	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH311	RCFAH313	RCFAH314	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP845	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP851	RCFAP852	RCFAP853	RCFAP854	RCFAP855	RCFAP856	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ257	RCFAQ258	RCFD3368	RCFD3632	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP870	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH311	RCOAH313	RCOAH314	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP845	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP851	RCOAP852	RCOAP853	RCOAP854	RCOAP855	RCOAP856	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ257	RCOAQ258	RCON3368	RCON3632	RCOW3792	RCOW5310	RCOW5311	RCOW7205	RCOW7206	RCOWA223	RCOWH312	RCOWP793	RCOWP870	
796152																																																															15130	993	993	8.4219%	16.3738%	15.2991%	14137	92404	167860	804	0	8.3738%			6000	15.2991%	1	0	14941	0	0	0	804	0	0	0	0		0	0	14137	0	0	0	0	0	0	14137	0	0	0	0	0	0	0	0	0	993	0	0	0	0	167860	8137										
796451																																																															44791	1844	1844	9.5317%	24.7105%	23.6932%	42947	181263	450568	2040	0	16.7105%			1518	23.6932%	1	0	45499	512	0	0	2040	0	0	0	0		0	0	42947	0	0	0	0	0	0	42947	0	0	0	0	0	0	0	0	0	1844	0	512	0	0	451080	41941										
796572																																																															81426	7174	7174	11.4448%	14.2994%	13.0396%	74252	569435	648782	-31	0	6.2994%			55612	13.0396%	1	0	78392	802	302	1719	-31	0	0	0	0		0	0	75600	0	0	0	0	1348	1348	74252	0	0	0	0	1348	0	0	0	0	7174	0	4171	0	0	652953	22811										
796657																																																															12545	558	558	8.0257%	20.3540%	19.4487%	11987	61634	149357	1675	0	12.3540%			5200	19.4487%	1	0	13730	0	68	0	1675	0	0	0	0		0	0	11987	0	0	0	0	0	0	11987	0	0	0	0	0	0	0	0	0	558	0	68	0	0	149425	6855										
797140																																																															27525	2548	2548	10.1792%	13.5431%	12.2894%	24977	203240	245372	518	0	5.5431%			11493	12.2894%	1	0	27675	2180	0	0	518	0	0	0	0		0	0	24977	0	0	0	0	0	0	24977	0	0	0	0	0	0	0	0	0	2548	0	2180	0	0	247552	15664										
797467																																																															192659	17958	17958	9.2015%	13.1345%	11.9102%	174701	1466814	1898614	4988	0	5.1345%			183487	11.9102%	1	0	212350	24885	1813	3578	4988	0	0	0	0		0	0	177086	0	0	0	0	2385	2385	174701	0	0	0	0	2385	0	0	0	0	17958	0	32661	0	0	1931275	23875										
797775																																																															211040	12436	12490	12.9398%	21.2309%	19.9744%	198550	994022	1534416	1738	0	13.2309%			200	19.9744%	1	0	202648	2360	0	0	3471	0	0	-1733	0		0	0	198550	0	0	0	0	0	0	198550	0	0	0	0	0	0	0	0	0	12490	0	2360	54	0	1536776	200710										
798277																																																															21019	900	900	7.7353%	14.2049%	13.5967%	20119	147970	260092	31	0	6.2049%			3279	13.5967%	1	0	20568	0	0	251	31	0	0	0	0		0	0	20286	0	0	0	0	167	167	20119	0	0	0	0	167	0	0	0	0	900	0	418	0	0	260510	17258										
798512																																																															7351	397	397	10.3813%	23.1630%	21.9120%	6954	31736	66986	228	0	15.1630%			3000	21.9120%	1	0	7182	0	0	0	228	0	0	0	0		0	0	6954	0	0	0	0	0	0	6954	0	0	0	0	0	0	0	0	0	397	0	0	0	0	66986	3954										
799359																																																															2745	185	185	11.1000%	15.1040%	14.0861%	2560	18174	23063	0	0	7.1040%			2389	14.0861%	1	0	2843	210	73	0	0	0	0	0	0		0	0	2560	0	0	0	0	0	0	2560	0	0	0	0	0	0	0	0	0	185	0	283	0	0	23346	454										
