"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONC407	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONFT17	RCONFT18	RCONFT19	RCONFT20	RCONFT21	RCONFT22	RCONHK18	RCONHK19	RCONK102	RCONK103	RCONK104	RCONK192	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	OUTSTNG CRD CRD FEES & FIN CHRGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	DOES THE INSTITUTION HAVE ASSETS COV	LOANS AND LEASES COVERED BY LOSS SHA	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	PAST DUE AND NONACCRUAL LOANS AND LE	OTHER REAL ESTATE OWNED COVERED BY F	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	LS SHR FDIC CVRD LS SHAR PD 30 - 89	LS SHR FDIC CVRD LS SHAR PD 90	LS SHR FDIC CVRD LS SHAR NACRL	ASSET CVR LS SHR FDIC OREO PRTN PROT	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
20633					false			false			false	false		false		true	60715	false			false	false																	
20857					false			false			false	false		false		false		false			false	false																	
21256					false			false			false	false		false		false		false			false	false																	
21359					false			false			false	false		false		false		false			false	false																	
21658	0	1274																												0	0	0	0						
22048	3000	0			true	0	0	false			false	false		false		false		false			false	false																	
22543	1807	0																												0	0	0	0						
22552					false			false			false	false		false		false		false			false	false																	
22730					false			false			false	false		true	4655	false		false			false	false																	
22936					false			false			false	false		false		false		false			false	false																	
23456					false			false			false	false		false		false		false			false	false																	
23504	461112	0																												0	0	0	0						
23643					false			false			false	false		false		false		false			false	false																	
23755	790	406			true	0	0	false			false	true	182424	true	171	true	182424	false			false	false																	
24006	0	0																												0	0	0	0						
24378					false			false			false	false		false		false		false			false	false																	
24453					false			false			false	false		false		false		false			false	false																	
24659					false			false			false	false		false		false		false			false	false																	
24668	0	0																												0	0	0	0						
24949					false			false			false	false		false		true	172197	false			false	false																	
25357					false			false			false	false		false		false		false			false	false																	
25647	0	0																												0	0	0	0						
26176					false			false			false	false		false		true	404	false			false	false																	
26242					false			false			false	false		false		false		false			false	false																	
26457					false			false			false	false		false		false		false			false	false																	
26765					false			false			false	false		false		false		false			false	false																	
27070					false			false			false	false		false		false		false			false	false																	
27548	27331	0																												0	0	0	0						
27614					false			false			false	false		true	471	true	37969	false			false	false																	
27847					false			false			false	false		false		false		false			false	false																	
28013	0	0																												0	0	0	0						
28152	20157	0																												0	0	0	0						
28255					false			false			false	false		false		false		false			false	false																	
28406	59360	1286110																												0	0	0	0						
28675	0	0																												0	0	0	0						
28732					false			false			false	false		false		false		false			false	false																	
29476					false			false			false	false		false		false		false			false	false																	
29636	0	0																												0	0	0	0						
29878	0	0																												0	0	0	0						
30052					false			false			false	false		true	1539	false		false			false	false																	
30502	0	80563																												0	0	0	0						
30650					false			false			false	false		false		false		false			false	false																	
30810	10277161	0	3750888	0																										0	0	0	0	147576	0	184825			
31134	0	0																												0	0	0	0						
31255	0	0																												0	0	0	0						
31657					false			false			false	false		false		false		false			false	false																	
31826	0	0																												0	0	0	0						
31835					false			false			false	false		false		false		false			false	false																	
32234	30000	0			true	0	0	false			false	false		false		false		false			false	false																	
32766					false			false			false	false		false		false		false			false	false																	
32971					false			false			false	false		false		true	84594	false			false	false																	
33147	0	0																												0	0	0	0						
33259	0	338			true	0	0	false			false	false		false		false		false			false	false																	
33268	1647	0																												0	0	0	0						
33370					false			false			false	false		false		false		false			false	false																	
33839					false			false			false	false		true	3454	false		false			false	false																	
33857	3776	0																												0	0	0	0						
34425	0	0																												0	0	0	0				0	0	
34434	1209	1009			true	0	0	false			false	false		false		false		false			false	false																	
34452					false			false			false	false		false		false		false			false	false																	
34537	198647	0																												0	0	0	0				584	0	
34555	0	0																												0	0	0	0						
34742					false			true	8868	4379	false	false		true	12940	false		false			false	false																	
35057	1728	0																												0	0	0	0						
35301																																							
35570	1109274	0																												0	0	0	0						
35646					false			false			false	false		false		false		false			false	false																	
35879					false			false			false	false		false		true	29952	false			false	false																	
36456					false			false			false	false		false		false		false			false	false																	
36933					false			false			false	false		false		false		false			false	false																	
37051					false			false			false	false		false		false		false			false	false																	
37341					false			false			false	false		false		false		false			false	false																	
37435	8295	0																												0	0	0	0						
37640	16762	87257																												0	0	0	0				7	0	
37659	0	0																												0	0	0	0						
37949					false			false			false	false		false		false		false			false	false																	
38740					false			false			false	false		false		false		false			false	false																	
39327					false			false			false	false		false		false		false			false	false																	
39756	386	0																												0	0	0	0						
40033					false			false			false	false		false		false		false			false	false																	
40499	454952	0																												0	0	0	0				5850	0	
40855					false			false			false	false		true	1472	false		false			false	false																	
41245					false			false			false	false		false		false		false			false	false																	
41553					false			false			false	false		false		false		false			false	false																	
41629					false			false			false	false		false		false		false			false	false																	
41825	412	0																												0	0	0	0						
41937					false			false			false	false		true	39	true	27123	false			false	false																	
41955					false			false			false	false		false		false		false			false	false																	
42037					false			false			false	false		false		false		false			false	false																	
42354					false			false			false	false		false		false		false			false	false																	
42372					false			false			false	false		false		false		false			false	false																	
42420	1047669	0																												0	0	0	0						
42448	0	0																												0	0	0	0						
42457					false			false			false	false		false		false		false			false	false																	
43052					false			false			false	false		false		true	29985	false			false	false																	
43351					false			false			false	false		false		false		false			false	false																	
43856					false			false			false	false		true	9852	false		false			false	false																	
43959					false			false			false	false		false		false		false			false	false																	
44040					false			false			false	false		false		false		false			false	false																	
44433	0	0																												0	0	0	0						
44741					false			false			false	false		false		true	71833	false			false	false																	
44750					false			false			false	false		false		false		false			false	false																	
44929	0	0																												0	0	0	0						
45038	0	0																												0	0	0	0						
45047					false			false			false	false		false		false		false			false	false																	
45056					false			false			false	false		false		false		false			false	false																	
45430					false			false			false	false		false		false		false			false	false																	
45458					false			false			false	false		true	134	true	134	false			false	false																	
45551	0	0																												0	0	0	0						
45560	0	0																												0	0	0	0						
45775					false			false			false	false		false		false		false			false	false																	
46053					false			false			false	false		true	42844	true	53735	false			false	false																	
46941					false			false			false	false		false		false		false			false	false																	
47247	67508	3200																												0	0	0	0				60	0	
47256					false			false			false	false		true	228	true	19484	false			false	false																	
47452					false			false			false	false		false		false		false			false	false																	
47500					false			false			false	false		true	24979	true	26601	false			false	false																	
48057					false			false			false	false		true	533	true	13318	false			false	false																	
48150					false			false			false	false		false		false		false			false	false																	
48374	0	0																												0	0	0	0						
48440	523	0			true	0	0	false			false	false		true	8208	true	69141	false			false	false																	
49054					false			false			false	false		false		false		false			false	false																	
49148					false			false			false	false		false		false		false			false	false																	
49241					false			false			false	false		false		false		false			false	false																	
49652					false			false			false	false		false		true	5947	false			false	false																	
49858					false			false			false	false		false		false		false			false	false																	
49951					false			false			false	false		false		false		false			false	false																	
50144					false			false			false	false		false		false		false			false	false																	
50461	0	0																												0	0	0	0						
50872					false			false			false	false		false		false		false			false	false																	
51253	0	0																												0	0	0	0						
51356	0	0																												0	0	0	0						
51459					false			false			true	false		false		false		false			false	false						1601	0								81	0	
51842	0	0																												0	0	0	0						
52719	0	0																												0	0	0	0						
52951					false			false			false	false		false		false		false			false	false																	
53051					false			false			false	false		false		false		false			false	false																	
53752					false			false			false	false		false		false		false			false	false																	
54049					false			false			false	false		false		true	56105	false			false	false																	
54058	0	233																												0	0	0	0						
54441					false			false			false	false		false		false		false			false	false																	
54656	0	0																												0	0	0	0						
54973	51585	0																												0	0	0	0						
55336					false			false			false	false		false		false		false			false	false																	
55635					false			false			false	false		false		false		false			false	false																	
55653					false			false			false	false		false		false		false			false	false																	
55970					false			false			false	false		false		true	156158	false			false	false																	
56258					false			false			false	false		false		false		false			false	false																	
56351	0	0																												0	0	0	0				-5801	0	
56548	3223	0			true	0	0	false			false	false		false		true	148916	false			false	false																	
56557	100000	512203																												0	0	0	0						
56717					false			false			false	false		true	7438	true	122070	false			false	false																	
57040	0	0																												0	0	0	0						
57451					false			false			false	false		false		true	91620	false			false	false																	
58207					false			false			false	false		false		false		false			false	false																	
58225					false			false			false	false		false		false		false			false	false																	
58243	465824	0																												0	0	0	0						
58355	554	0			true	0	0	false			false	false		false		false		false			false	false																	
58551					false			false			false	false		false		false		false			false	false																	
58636					false			false			false	false		false		false		false			false	false																	
58757					false			false			false	false		false		false		false			false	false																	
58971	46253	0																												0	0	0	0						
59316	0	0																												0	0	0	0						
59352	0	0																												0	0	0	0						
59370					false			false			false	false		false		false		false			false	false																	
59754					false			false			false	false		false		false		false			false	false																	
60143																																					0	0	
60330	12128	0																												0	0	0	0						
60545	0	0																												0	0	0	0						
60554	0	0																												0	0	0	0						
60648					false			false			false	false		false		true	59797	false			false	false																	
61122	1499	0																												0	0	0	0						
61355	15364	0			true	0	0	true	19990	1879	false	false		false		true	558107	false			false	false																	
61476					false			false			false	false		true	16654	true	23528	false			false	false																	
61757	0	0																												0	0	0	0						
61832					false			false			false	false		false		false		false			false	false																	
61953					false			false			false	false		false		false		false			false	false																	
62044					false			false			false	false		false		true	1838	false			false	false																	
62110					false			false			false	false		false		false		false			false	false																	
62147					false			false			false	false		true	241	true	55315	false			false	false																	
62772	12633	0			true	0	0	false			false	true	2513	true	6584	true	1230	false			false	false																	
63050					false			false			false	false		false		false		false			false	false																	
63069																																							
63201					false			false			false	false		false		false		false			false	false																	
63573					false			false			false	false		false		true	49158	false			false	false																	
63733	0	0																												0	0	0	0						
63742	23206	0			true	0	0	false			false	false		true	1305	true	123531	false			false	false																	
63751	0	0																												0	0	0	0						
64150					false			true	12624	1373	false	false		false		false		false			false	false																	
64552	30328	0																												0	0	0	0						
64730					false			false			false	false		false		false		false			false	false																	
65205					false			false			false	false		true	747	true	747	false			false	false																	
65241					false			false			false	false		false		false		false			false	false																	
65513																																							
65559	0	0																												0	0	0	0						
65746	0	8292																												0	0	0	0						
65858	23432	0																												0	0	0	0						
66154					false			false			false	false		false		false		false			false	false																	
66275					false			false			false	false		false		true	183	false			false	false																	
66677	17677	0																												0	0	0	0				78	0	
67142					false			false			false	false		false		true	1111	false			false	false																	
67151	85057	0			true	0	0	false			false	false		false		false		false			false	false																	
67209	5785	0			true	0	4999	false			false	false		true	35881	true	51974	false			false	false																	
67254					false			false			false	false		false		false		false			false	false																	
67656	0	0																												0	0	0	0						
67870					false			false			false	false		false		true	1078	false			false	false																	
68448					false			false			false	false		false		true	21965	false			false	false																	
68671					false			false			false	false		false		false		false			false	false																	
68756	1962	0																												0	0	0	0						
68831	0	0																												0	0	0	0						
68840	5035	1563			true	1563	5035	false			false	false		false		true	156702	false			false	false																	
68859	1085	0			true	0	0	false			false	false		true	9500	false		false			false	false																	
69333	1160	0																												0	0	0	0						
69678					false			false			true	false		false		true	179470	false			false	false						655	0								3	0	
70058					false			false			false	false		false		false		false			false	false																	
70218	0	0																												0	0	0	0						
70414					false			false			false	false		false		true	128973	false			false	false																	
70638					false			false			false	false		false		false		false			false	false																	
70955					false			false			false	false		false		false		false			false	false																	
71073					false			false			false	false		false		false		false			false	false																	
71318	0	0																												0	0	0	0						
71457	6468	0			true	0	0	false			true	false		true	70674	true	13853	false			false	false						565	0								9	0	
71859					false			false			false	false		false		false		false			false	false																	
72258					false			false			false	false		false		false		false			false	false																	
72351					false			false			false	false		false		false		false			false	false																	
72454					false			false			false	false		false		false		false			false	false																	
72678					false			false			false	false		false		false		false			false	false																	
73116					false			false			false	false		false		true	1058	false			false	false																	
73152					false			false			false	false		false		false		false			false	false																	
73554					false			false			false	true	4520	true	716	true	5222	false			false	false																	
73956					false			false			false	false		false		false		false			false	false																	
74056	0	0																												0	0	0	0						
74140	13736	0																												0	0	0	0						
74403	30000	0																												0	0	0	0						
74449					false			false			false	false		false		false		false			false	false																	
75053					false			true	4026	201	false	false		false		true	119500	false			false	false																	
75259	3479	3479			true	0	0	true	26673	3479	false	false		false		true	194283	false			false	false																	
75446	1909	0			true	0	0	false			false	false		true	3577	true	10997	false			false	false																	
75455					false			false			false	false		false		false		false			false	false																	
75558					false			false			false	false		false		false		false			false	false																	
75633																																					0	24716	
75651					false			false			false	false		true	7548	false		false			false	false																	
76153	0	0																												0	0	0	0						
76443					false			false			false	false		false		true	33825	false			false	false																	
76854					false			false			false	false		false		false		false			false	false																	
77150	0	0																												0	0	0	0						
77253					false			false			false	false		false		false		false			false	false																	
77422					false			false			false	false		false		false		false			false	false																	
77851	55446	0																												0	0	0	0						
78157					false			false			false	false		false		false		false			false	false																	
78241					false			false			false	false		false		false		false			false	false																	
78559					false			false			false	false		false		false		false			false	false																	
79042	0	0																												0	0	0	0						
79127	0	0																												0	0	0	0						
79145	650	0			true	0	0	false			false	false		true	9545	true	145467	false			false	false																	
79257					false			false			false	false		false		false		false			false	false																	
79855	3303	0			true	0	0	false			false	false		false		false		false			false	false																	
80150					false			false			false	false		false		false		false			false	false																	
80374					false			false			false	false		false		false		false			false	false																	
80431					false			false			false	false		false		false		false			false	false																	
80552					false			false			false	false		false		false		false			false	false																	
80936	0	0																												0	0	0	0						
81175	1021	0			true	0	0	false			false	false		true	29605	true	142245	false			false	false																	
81429					false			false			false	false		false		false		false			false	false																	
82033					false			false			false	false		false		false		false			false	false																	
82257					false			false			false	false		false		false		false			false	false																	
82350					false			false			false	false		false		false		false			false	false																	
82659	0	0																												0	0	0	0						
83151					false			false			false	false		false		false		false			false	false																	
83236					false			false			false	false		false		false		false			false	false																	
83375					false			false			false	false		false		true	2799	false			false	false																	
83638																																							
83834	0	0																												0	0	0	0						
83852					false			false			false	false		false		false		false			false	false																	
83955					false			false			false	false		false		false		false			false	false																	
84046					false			false			false	false		false		false		false			false	false																	
84541					false			true	9232	2436	false	false		false		false		false			false	false																	
84804					false			false			false	false		false		false		false			false	false																	
