"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
	TOTAL EQUITY CAPITAL	TOTAL EQUITY CAPITAL, ADJ PREV YR	NET INCOME	CHANGES IN TOTAL EQUITY CAP.-MERGERS	OTH TRANS WITH STCK HLDRS INCL PRNT 	LESS CASH DIV DECLRD-COMMON STOCK	LESS CASH DIV DECLRD-PREFERRED STOCK	RESTATEMENTS DUE TO CORRECTIONS, ETC	EQUITY CAP: END BAL PREV YR (RESTAT)	SALE,CONVRSN,ACQUSTN,RETIRE: CAP STK	TREASURY STOCK TRANSACTIONS, NET	OTHER COMPREHENSIVE INCOME	
37	14482	14788	176	0	0	0	0	0	14788	0	0	-482	
242	5212	5496	168	0	0	337	0	0	5496	0	0	-115	
279	29133	28995	279	0	0	0	0	0	28995	1	0	-142	
354	1334	836	-11	0	0	0	0	0	836	511	0	-2	
457	5061	4926	205	0	0	69	0	0	4926	0	0	-1	
505	38128	37901	1132	0	0	245	0	0	37901	0	0	-660	
1155	21042	20917	819	0	0	450	0	0	20917	0	0	-244	
1351	25017	24783	592	0	0	294	0	0	24783	0	0	-64	
1454	76436	79379	2160	0	0	1500	0	0	79379	0	0	-3603	
1669	45495	45050	892	0	0	0	0	0	45050	0	0	-447	
1856	13677	13676	330	0	0	0	0	0	13676	0	0	-329	
2040	22479	22371	350	0	0	0	0	0	22371	0	0	-242	
2161	16517	16420	444	0	0	225	0	0	16420	0	0	-122	
2376	509012	491430	13320	0	0	0	0	0	491430	0	713	3549	
2554	1593	1628	52	0	0	75	0	0	1628	0	0	-12	
2732	90922	89962	1252	0	0	300	0	0	89962	0	0	8	
2750	7054	7155	161	0	0	121	0	0	7155	-66	0	-75	
3252	24484	24754	615	0	0	300	0	0	24754	0	0	-585	
3458	4601	4555	78	0	0	0	0	0	4555	0	0	-32	
3720	35464	35445	888	0	0	144	0	0	35445	0	0	-725	
3971	115206	114847	993	0	0	0	0	0	114847	0	0	-634	
4156	22210	22462	245	0	0	180	0	0	22462	0	0	-317	
4231	15657	16011	202	0	0	0	0	0	16011	0	0	-556	
4839	39929	40703	703	0	0	553	0	0	40703	0	0	-924	
5069	183055	181007	5496	0	0	2930	0	0	181007	0	0	-518	
5135	66873	65433	1722	0	0	0	0	0	65433	0	0	-282	
5210	145630	143288	4936	0	0	1405	0	0	143288	0	0	-1189	
5461	56520	57185	1521	0	0	314	0	0	57185	0	0	-1872	
5751	33721	33916	882	0	0	450	0	0	33916	0	0	-627	
6039	28832	28513	430	0	0	0	0	0	28513	0	0	-111	
6329	65658	63630	2664	0	0	600	0	0	63630	0	0	-36	
7009	74553	71225	5768	0	0	1700	0	0	71225	0	0	-740	
7045	18211	19394	362	0	0	0	0	0	19394	0	0	-1545	
7072	35066	34762	525	0	0	0	0	0	34762	0	0	-221	
7456	7683	7643	245	0	0	145	0	0	7643	0	0	-60	
7634	8921	9271	288	0	0	480	0	0	9271	0	0	-158	
8033	34195	33252	1385	0	0	400	0	0	33252	0	0	-42	
8462	20512	20978	596	0	0	201	0	0	20978	0	0	-861	
8631	6662	6675	90	0	0	40	0	0	6675	0	0	-63	
9357	82568	81672	2268	0	0	686	0	0	81672	0	0	-686	
9553	14131	14532	309	0	0	600	0	0	14532	0	0	-110	
9807	354602	349158	10349	0	0	3358	0	1	349159	0	0	-1548	
9955	18840	18751	516	0	0	250	0	0	18751	0	0	-177	
10250	36918	37553	1107	0	0	500	0	0	37553	0	0	-1242	
10849	25287	25911	345	0	0	120	0	0	25911	0	0	-849	
11145	22560	21972	740	0	0	0	0	0	21972	0	0	-152	
11640	43324	43152	1150	0	0	0	0	0	43152	0	0	-978	
11837	13262	13846	109	0	0	0	0	0	13846	0	0	-693	
12030	55219	52299	3027	0	0	0	0	0	52299	0	0	-107	
12142	20957	21290	960	0	0	0	0	0	21290	0	0	-1293	
12179	7819	7807	13	0	0	0	0	0	7807	0	0	-1	
12311	11105757	11313863	342545	0	0	406000	11174	0	11313863	14065	0	-147542	
12647	18164	17950	243	0	0	29	0	0	17950	0	0	0	
12656	1837	1812	25	0	0	0	0	0	1812	0	0	0	
12937	35017	34792	375	0	0	150	0	0	34792	0	0	0	
12946	148443	143639	7586	0	0	0	0	617	144256	0	0	-3399	
13103	259549	261466	4858	0	0	216	0	0	261466	0	0	-6559	
13251	4975	4942	185	0	0	150	0	0	4942	0	0	-2	
13457	6090	6055	52	0	0	0	0	0	6055	0	0	-17	
14052	6905	6869	165	0	0	101	0	0	6869	0	0	-28	
14155	21184	20295	1012	0	0	0	0	0	20295	0	0	-123	
14650	4324	4253	112	0	0	41	0	0	4253	0	0	0	
14753	4821	4963	-100	0	0	0	22	0	4963	0	0	-20	
14865	40542	40465	843	0	0	654	0	0	40465	0	0	-112	
14977	9064	9008	82	0	0	0	0	0	9008	0	0	-26	
16551	36498	37196	1144	0	0	1500	0	0	37196	0	0	-342	
16748	8672	8566	163	0	0	0	0	0	8566	0	0	-57	
17110	24348	21566	2782	0	0	0	0	0	21566	0	0	0	
17147	1414109	1404303	37896	0	0	10000	0	0	1404303	579	0	-18669	
17259	5522	5593	73	0	0	55	0	0	5593	0	0	-89	
17950	45201	46739	1152	0	0	213	0	0	46739	0	0	-2477	
17978	113856	113305	551	0	0	0	0	0	113305	0	0	0	
18050	54698	55826	2715	0	0	594	0	0	55826	0	0	-3249	
18135	23106	24058	189	0	0	0	0	0	24058	0	0	-1141	
18827	126944	123777	3842	0	0	0	0	0	123777	0	0	-675	
18836	17148	16981	294	0	0	88	0	0	16981	0	0	-39	
18854	76861	73718	6408	0	0	3265	0	0	73718	0	0	0	
19356	8548	8572	274	148	0	0	0	0	8572	0	0	-446	
19936	27164	26877	980	0	0	422	0	0	26877	0	0	-271	
19972	19484	19267	217	0	0	0	0	0	19267	0	0	0	
20053	12708	12463	355	0	0	0	0	0	12463	0	0	-110	
20633	29901	30196	408	0	0	162	0	0	30196	0	0	-541	
20857	15114	16265	595	0	0	848	0	0	16265	0	0	-898	
21256	1141	1149	16	0	0	0	0	0	1149	0	0	-24	
21359	5566	5788	155	0	0	268	0	0	5788	0	0	-109	
21658	16258	16512	496	0	0	353	0	0	16512	0	0	-397	
22048	19973	20152	790	0	0	308	0	0	20152	0	0	-661	
22543	13697	13755	-48	0	0	0	0	0	13755	0	0	-10	
22552	9003	9028	397	0	0	414	0	0	9028	0	0	-8	
22730	13522	13920	432	0	0	0	0	0	13920	0	0	-830	
22936	18192	18144	356	0	0	0	0	0	18144	4	0	-312	
23456	24559	14569	694	9924	0	0	0	0	14569	0	0	-628	
23504	505712	500896	13002	0	0	5000	0	0	500896	784	0	-3970	
23643	17436	18107	687	0	0	0	0	0	18107	0	0	-1358	
23755	17558	18207	363	0	0	175	0	0	18207	0	0	-837	
24006	196889	194864	2193	0	239	0	0	0	194864	0	0	-407	
24378	7279	7277	17	0	0	0	0	0	7277	0	0	-15	
