"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
37	61	84															18	730	7	851	1	322	4	99	0	0	1	256	false	true	
242	93	93													65	78	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
279			39	1694	24	2792	16	6532	65	1182	11	1391	3	625			6	308	2	227	1	383	40	506	0	0	0	0	false	false	
354			2	49	0	0	1	136	7	122	0	0	0	0			7	350	4	386	0	0	17	345	2	208	0	0	false	false	
457			12	469	12	1544	4	1148	46	1181	14	1491	13	5302			17	668	12	1839	6	1499	50	1267	9	1078	13	3177	false	false	
505			14	699	33	4365	36	16561	203	4784	37	3176	20	8171															false	false	
1155			43	1655	43	5259	42	13126	185	4456	45	4828	42	12050			14	629	13	1478	10	2815	47	1376	12	1568	7	1246	false	false	
1351			139	3495	19	2327	19	6917	218	3532	33	3759	11	4229			69	2564	28	3841	10	2766	136	2232	14	1850	0	0	false	false	
1454			46	1767	66	7078	51	18053	469	8139	64	6392	31	8007			7	221	5	668	5	1785	50	1303	10	964	4	1100	false	false	
