"IDRSSD"	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONF264	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	
824550	0	0	0	0	0	0	0	0	0	83	0	2269	480266	587452	0	0	0	0	0	461301	0	0	0	2891	2891	210	0	0	2681	0	0	0	0	0	0	0	0	-1127	15520	9183	0	0	0	30868	2078	0	3007	18196	36299	0	0	0	0	0	4812	0	0	10266	6909	31076	413050	0	0	0	0	0	15881	-1127	1814	736	0	-5738	0	0	0	0	0	1919	19	0	0	1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14622	0	0	0	14622	0	0	83	46025	83995	38049	446711	0	16799	19025	446711	482535	0	0	0	59640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
824653	0	0	0	0	0	0	0	0	0	0	0	224	73684	108905	0	0	0	0	0	71664	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	2461	5411	0	0	0	0	0	1118	318	5084	6034	0	750	0	0	0	0	0	0	1643	496	18244	51281	0	0	0	0	0	7109	15	93	692	182	-787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	584	0	0	0	584	0	0	0	9281	24173	18426	59860	0	4835	9213	59860	73908	0	11540	11540	9741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
824738	0	0	0	0	0	0	0	0	0	0	0	0	42602	62660	0	0	0	0	0	41818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3655	3737	0	0	0	0	0	0	255	0	9071	0	0	0	0	0	0	0	0	0	0	7366	34452	0	0	0	0	0	2003	0	45	335	0	-153	22	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	193	0	0	0	3700	13143	7366	36290	0	2629	3683	36290	42602	0	0	0	4767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
825146	0	0	0	0	0	0	0	0	0	661	0	6787	1682463	2696705	0	0	0	0	0	1574142	1561	19515	19515	6060	6060	0	0	0	6060	0	0	18996	154	0	0	0	0	0	49193	20643	0	0	0	0	0	0	8676	413199	499589	0	18941	0	0	0	1401	0	0	26633	13521	345651	1188337	0	0	0	0	0	149346	19151	9704	31172	2142	-75	8163	0	0	0	8163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72945	0	0	0	72945	0	0	661	498729	565922	349855	1401138	0	113184	174928	1401138	1689250	0	997	997	227611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
825454	0	0	0	0	0	0	0	0	0	0	0	716	117314	152004	0	0	0	0	0	131562	0	0	0	144	144	0	0	0	144	0	0	0	0	0	0	0	0	0	7155	1483	0	0	0	0	0	0	199	156	7401	953	0	0	0	0	0	0	0	0	253	43389	87920	0	0	0	0	0	6182	0	351	768	164	-1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	833	0	0	0	833	0	0	0	7662	9905	44506	93796	0	1981	22253	93796	118030	0	0	0	14681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
825548	0	0	0	0	0	0	0	0	0	0	0	0	155402	195380	0	0	0	0	0	105665	736	9200	9200	329	4112	0	0	0	4112	0	0	0	0	0	0	0	0	0	950	5171	0	0	0	0	0	0	2213	0	64361	0	6688	0	0	0	286	0	0	0	0	0	105665	0	0	0	0	0	9973	0	0	0	0	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5715	0	0	0	5715	0	0	0	950	69532	286	141353	0	13906	143	141353	155402	0	0	0	24431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
825753	0	0	0	0	0	0	0	0	0	0	0	3558	227863	306756	0	0	0	0	0	229844	0	0	0	110	110	0	0	0	110	0	0	0	0	0	0	0	0	0	6493	1648	0	0	0	0	0	0	713	6100	47326	2552	0	0	0	0	0	0	0	0	1508	44115	184221	0	0	0	0	0	15122	0	1127	2937	0	-5738	614	0	0	0	614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13720	60419	46667	196003	0	12084	23334	196003	231421	0	7000	7000	25681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
825847	0	0	0	0	0	0	0	0	0	0	0	0	153049	175422	0	0	0	0	0	154922	0	0	0	136	136	0	0	0	136	0	0	565	0	0	0	0	0	0	1091	4185	0	0	0	0	1479	0	134	0	5817	0	0	0	0	0	0	0	0	0	6055	13818	135049	0	0	0	0	0	6739	565	0	0	0	-859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1091	20204	15297	141359	0	4041	7649	141359	153049	0	4147	4147	15767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
825940	0	0	0	0	0	0	0	0	0	0	0	74	45815	69747	0	0	0	0	0	38795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	547	766	0	0	0	0	0	0	760	494	472	22721	2774	0	0	0	0	0	0	0	0	18757	20038	0	0	0	0	0	2456	0	234	508	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1275	3118	41478	24526	0	624	20739	24526	45889	0	1372	1372	6363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
825977	0	0	0	0	0	0	0	0	0	0	0	228	54950	89860	0	0	0	0	0	63336	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	4956	1443	0	0	0	0	0	0	236	8778	789	0	0	0	0	0	0	0	0	0	0	36272	27064	0	0	0	0	0	9169	0	134	1677	281	-680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177	177	0	0	177	0	0	0	0	0	0	0	1890	0	0	0	1890	0	0	0	13868	3909	36730	36031	0	782	18365	36031	55178	0	0	0	2662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
826255	0	0	0	0	0	0	0	0	0	0	0	371	20036	36394	0	0	0	0	0	10957	38	208	208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13478	0	0	0	0	0	0	490	419	4498	1121	3611	0	0	0	0	0	0	0	0	499	10457	0	0	0	0	0	1588	0	87	0	0	-143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	69	0	0	0	506	18756	1620	15846	0	3751	810	15846	20407	0	780	780	3572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
826451	0	0	0	0	0	0	0	0	0	0	94	760	23080	44249	0	0	0	0	0	12527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	631	0	0	0	0	0	0	908	39	7321	13491	555	0	0	0	0	226	0	0	0	4085	8442	0	0	0	0	0	2906	0	0	0	0	-150	44	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326	14395	17576	12173	0	2879	8788	12173	23840	0	6443	6443	4669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
826648	0	0	0	0	0	0	0	0	0	0	0	0	94965	131834	0	0	0	0	0	86109	0	0	0	229	229	0	0	0	229	0	0	0	0	0	0	0	0	0	585	5558	0	0	0	0	0	0	1073	0	12632	19194	0	0	0	0	0	0	0	0	0	22210	63899	0	0	0	0	0	5801	0	0	0	0	-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	696	0	0	0	696	0	0	0	585	18190	41404	70625	0	3638	20702	70625	94965	0	0	0	12206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
826956	0	0	0	0	0	0	0	0	0	0	0	0	482809	569054	0	0	0	0	0	466765	0	0	0	1545	1545	0	0	0	1545	0	0	978	0	0	0	0	0	0	2005	7751	0	0	0	0	0	0	3118	20187	50500	3004	9	0	0	0	0	0	0	0	14295	30613	421857	0	0	0	0	0	24227	978	80	2804	210	-1813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7259	0	0	0	7259	0	0	0	22272	75350	33827	450825	0	15070	16914	450825	482809	0	0	0	53401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
