"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
37		0	54																																	20	0	247								
242		0	19																																	0	0	2197								
279		6408	781																																	860	0	5111								
354		0	0																																	196	0	162								
457		895	0																																	2321	0	2314								
505		11366	16731																																	10691	1026	14785								
1155		4013	6272																																	22184	0	9231								
1351		126	456																																	3154	0	772								
1454		134	7448																																	8168	0	14921								
1669		1803	4981																																	3736	0	449								
1856		0	5057																																	4139	0	1741								
2040		6	1441																																	9753	0	2889								
2161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																5127	0	3732								
2376	181611	0	36010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																1995	0	1706								
2554		0	0																																	0	0	1639								
2732		10161	37855																																	37856	0	1376								
2750		266	1612																																	1377	0	8000								
3252		0	246																																	1739	0	6817								
3458		20	543																																	406	0	927								
3720	5000	1612	1423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																3069	0	2046								
3971		5778	77309																																	29694	0	26611								
4156		2729	5479																																	7206	0	5512								
4231		242	0																																	359	0	2934								
5069		11995	3990																																	90	0	0								
5135		820	3339																																	6234	0	23883								
5210	0	6813	50667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																43518	0	49505								
5461		778	8954																																	16241	0	13842								
5751		185	928																																	9636	0	8651								
6039	0	3663	14177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																2049	0	14102								
6329	0	18336	14733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																11514	0	13646								
7009		0	0																																	0	0	0								
