"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA243	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONJ472	RCONJ473	RCONJ474	RCONK219	RCONK220	RCONK221	RCONK222	RCONK223	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	BROKERED DEPS LT 100K GE 250K	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	BRKRD DEP 100000 - 250000 MAT LE 1 Y	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP 100000 - 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	
37	5329	0	5269	7720	0	18184	0	0	0	0	0	48744	0	345	4638	26994	1861	4508	16966	0	4407	12566	10011	10	3207	7687	3667	0	12915	48399	0	0	460	0	14232	329	0	0	10844	0	0	
242	4158	0	337	7829	0	12921	0	0	0	0	0	14798	0	1166	612	6270	3023	1873	4097	0	1270	2827	1591	582	356	580	104	307	12584	13632	0	0	255	0	1347	0	0	0	935	0	0	
279	19781	0	0	7274	0	23156	0	0	0	0	0	88431	0	0	0	32766	3146	12397	22731	0	8649	14082	8617	1418	8402	13021	9428	1887	23156	88431	0	0	4559	0	29611	3127	0	0	19047	2376	0	
354	1939	0	114	3509	0	3509	0	0	0	0	0	6599	0	925	309	2591	1288	0	2591	0	898	1693	0	0	206	575	0	0	3395	5674	0	0	0	0	781	0	0	0	781	0	0	
457	4522	0	548	5000	0	8107	0	0	0	0	0	25576	0	1638	1094	9141	9173	2385	7069	0	2399	4670	1781	291	445	1262	764	269	7559	23938	0	0	452	0	2740	0	0	0	1707	0	0	
505	128755	0	4196	14017	0	26115	0	0	147	611	0	314741	0	97681	86557	32149	138425	6913	26825	76	7609	19216	4933	391	4739	7773	2775	125	21919	217060	0	0	1769	464	11322	4090	228	0	8422	4089	0	
1155	748	3	3621	23786	0	106034	0	0	0	0	0	81350	0	1862	3277	45339	8349	13616	27381	0	25029	11529	6124	2657	13109	9527	2810	1468	102377	79488	33	0	5164	0	19717	7197	0	0	13707	4217	0	
1351	4248	0	9870	14431	0	28283	0	0	0	0	0	114874	0	6096	12466	48795	18007	10175	37812	0	11664	26148	10984	0	7508	26936	9380	0	18413	108778	0	0	3957	0	33381	10443	0	0	26759	7684	0	
1454	1120	0	11495	164175	0	284656	0	0	0	0	0	284962	680	25387	28058	50029	179256	25233	30451	0	17464	15498	11379	5688	32638	12185	6601	3133	273161	258895	0	0	7482	0	19719	34838	0	0	21000	2953	0	
1557	9051	0	2925	24067	0	34023	0	0	0	0	0	28807	0	2058	2510	11217	2544	1856	7889	0	3123	4766	2609	719	1811	2646	1538	0	31098	21794	0	4955	248	0	3542	2453	0	0	2150	2197	0	
1669	18072	5	18047	44154	0	97463	0	0	0	0	0	107734	0	357	18403	42129	24411	11399	32777	0	15160	18527	5782	2660	8769	7227	5632	1494	79303	107016	108	361	2169	0	18394	4728	0	0	12892	0	0	
1829	44776	0	33	87095	0	108940	0	0	235	595	0	232937	0	2539	2539	68039	81845	21984	30964	235	9408	21556	21449	15626	5577	13022	8044	11634	108907	230322	0	76	7843	360	26448	11829	360	0	11150	7449	0	
1856	1045	0	882	2864	0	5094	0	0	40322	40322	0	66558	0	539	0	63717	1696	0	18731	14571	5701	13030	26645	18341	0	0	100	0	4212	47844	0	18175	0	0	100	0	0	0	0	0	18424	
2040	12611	12	1729	18573	0	40610	0	0	34634	52807	0	131714	0	6663	3248	51835	57793	7353	14982	4276	7717	7265	18873	17980	1466	4994	1259	1757	38869	124575	0	476	1728	17673	7777	1699	17319	0	1402	4849	0	
2161	19467	0	8845	22094	0	57958	0	0	0	0	0	62135	0	10777	16258	12642	5633	7461	11242	0	3926	7316	1020	380	11351	12185	550	307	49113	51358	0	0	187	0	10351	14042	0	0	9494	14042	0	
2376	379676	0	9603	21729	0	48243	0	0	22888	22888	0	1326935	0	77484	79880	322401	436885	73571	232806	0	87498	148035	61748	25120	52543	89969	38091	7369	38640	1249451	0	0	24296	0	152770	35202	0	0	113782	25873	0	
2554	1716	0	161	170	0	6578	0	0	0	0	0	5366	38	678	0	3050	0	1	2579	0	646	1933	294	177	201	400	0	0	6417	4650	0	0	0	0	601	0	0	0	601	0	0	
2732	53172	0	12310	91874	0	152148	0	0	0	0	0	315852	0	11225	16547	51090	62256	15632	40882	0	15064	26494	9483	49	73766	66832	8736	0	139838	304627	0	0	5273	0	45154	104180	0	0	36327	104180	0	
